Name:,Samsung HLN Series DLP TV,,,,v7.48a,,,,,,,CURRENT DATA
Devices:,NECx2,7,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,0702,01 = 15-1994,02 - TV,EFC,USE,,,,,,,
Device Upgrade Code:,,,,Protocol Code:,,,,,,,,
Upgrade Code 0 = 12 BE (TV/0702),,,,Upgrade Protocol 0 = 00 5A (S3C8),,,,,,,,
5A 20 76 BE F9 31 1F 1F 1F 2F 0F B7 F7 BF 7F 37,,,,43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03,,,,,,,,
A7 B7 F7 2F 1F E9 3F FB 07 7B BB,,,,39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01,,,,,,,,
End,,,,33 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80,,,,,,,,
,,,,B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07,,,,,,,,
,,,,20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06,,,,,,,,
,,,,F6 01 36 F6 01 33 37 01 03 46 29 0D 46 29 01 8D,,,,,,,,
,,,,01 36 E4 20 1E E4 21 1F 37 01 EB F6 01 36 E6 28,,,,,,,,
,,,,C1 60 04 E6 12 01 8B E4,,,,,,,,
,,,,End,,,,Key Move Code:,,,229,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
0,121,,0,00 - 0,,Protocol ID,Fixed Data,,,,,
1,180,,1,01 - 1,,,,,,,,
2,184,,2,02 - 2,,,,,,,,
3,182,,3,03 - 3,,,,,,,,
4,053,,4,04 - 4,,,,,,,,
5,057,,5,05 - 5,,,,,,,,
6,055,,6,06 - 6,,,,,,,,
7,052,,7,07 - 7,,,,,,,,
8,056,,8,08 - 8,,,,,,,,
9,054,,9,09 - 9,,,,,,,,
VOL+,186,,vol up,10 - VOL+,,,,,,,,
VOL-,059,,vol down,11 - VOL-,,,,,,,,
Mute,058,,mute,12 - Mute,,,,,,,,
CH+,119,,channel up,13 - CH+,,,,,,,,
CH-,117,,channel down,14 - CH-,,,,,,,,
Power,183,,power,15 - Power,,,,,,,,
V.chip,235,,enter,,,,,,,,,
TV/Video,185,,tv/vcr,17 - TV/Video,,,,,,,,
Pre-CH,123,,last,18 - Pre-CH,,,,,,,,
Menu,247,,menu,19 - Menu,,,,,,,,
Scan,153,,program / guide,,,,,,,,,
S.Mode,091,,up arrow,41 - Cursor up,,,,,,,,
Sleep,187,,down arrow,42 - Cursor down,,,,,,,,
PIP,213,,left arrow,43 - Cursor left,,,,,,,,
Display,250,,right arrow,44 - Cursor right,,,,,,,,
Swap,217,,select,34 - Select,,,,,,,,
Locate,215,,sleep,22 - Sleep,,,,,,,,
Aspect,022,,pip,23 - PIP,,,,,,,,
DNIe,072,,display,24 - Display,,,,,,,,
P.Mode,085,,swap,25 - Swap,,,,,,,,
Still,167,,move,26 - Locate,,,,,,,,
PIP CH -,155,,play,,,,,,,,,
PIP CH +,151,,pause,,,,,,,,,
Size,090,,rewind,,,,,,,,,
Select,069,,fast fwd,,,,,,,,,
Surround,070,,stop,,,,,,,,,
Add/Erase,249,,record,,,,,,,,,
Source,212,,exit,,,,,,,,,
MTS,181,,surround,,,,,,,,,
Fav.CH,102,,input,,,,,,,,,
+100,219,,+100,,,,,,,,,
Cursor up,119,,fav/scan,,,,,,,,,
Cursor down,117,,device button,,,,,,,,,
Cursor left,059,,next track,,,,,,,,,
Cursor right,186,,prev track,,,,,,,,,
Discrete ON,001,,shift-left,,,,,,,,,
Discrete OFF,253,,shift-right,,,,,,,,,
Antenna,251,,pip freeze,,,,,,,,,
Video 1,177,,slow,,,,,,,,,
Video 2,013,,eject,,,,,,,,,
Video 3,017,,slow+,,,,,,,,,
S-Video 1,192,,slow-,,,,,,,,,
S-Video 2,019,,x2,,,,,,,,,
S-Video 3,175,,center,,,,,,,,,
