Name:,Philips TV,,,,v8.31,,,,,,,CURRENT DATA
Devices:,RC-5,0,100,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,86,NO,,,,,,,
Setup:,0081,05 = RCU810,02 - TV,OBC,USE,1F 5F 5F,1,,,,,
RCU810 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 30 40 (TV/0081) Philips TV (KM v8.31),,,,,,,,,,,,
E8 11 76 BE F6 F9 1F 5F 5F BC B8 C8 7C 78 CC C4 74 8C A8 AC 6C 88 B4 B0 B9 BD 1C 74 51 49 41 4D 45 B5,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 84 F3 30 40 A4«bass +: from linux» ¦85 F3 30 40 A0«bass -: from linux» ¦B4 F3 30 40 74«prev <->last channel & 2 dig: from linux»¦94 F3 30 40 60«tint-: from linux»  ¦B5 F3 30 40 80«tint+: from linux»  ¦A9 F3 30 40 A5«right +: ofc 86_ from IR» ¦AA F3 30 40 A9«lefft -: ofc 85_ from IR» ¦90 F3 30 40 B1«menu off»  ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 E8 (S3C8+) RC-5 (KM v8.31),,,,,,,,,,,,
40 9A 31 8B 0F C5 81 10 08 06 01 C2 01 A4 01 C2 01 A4 DE 2C 08 06 56 C0 03 09 01 76 00 01 6B 09 87 10 03 B6 C1 20 97 10 03 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,214,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,000,,0,00 - num 0,ok,Protocol ID,Fixed Data,,,,,
num 1,001,,1,01 - num 1,ok,,,,,,,
num 2,002,,2,02 - num 2,ok,,,,,,,
num 3,003,,3,03 - num 3,ok,,,,,,,
num 4,004,,4,04 - num 4,ok,,,,,,,
num 5,005,,5,05 - num 5,ok,,,,,,,
num 6,006,,6,06 - num 6,ok,,,,,,,
num 7,007,,7,07 - num 7,ok,,,,,,,
num 8,008,,8,08 - num 8,ok,,,,,,,
num 9,009,,9,09 - num 9,ok,,,,,,,
vol up,016,,vol up,10 - vol up,ok,,,,,,,44 - bass +
vol down,017,,vol down,11 - vol down,ok,,,,,,,41 - bass -
mute,013,,mute,12 - mute,"from linux,OK",,,,,,,
channel up,032,,channel up,13 - channel up,"from linux,OK",,,,,,,
channel down,033,,channel down,14 - channel down,"from linux,OK",,,,,,,
TXT <-> TV,060,,on/off,20 - power off_ stand by,"from linux,OK",,,,,,,
