Name:,NEC Plasma,,,,v8.31,,,,,,,CURRENT DATA
Devices:,NEC1 Combo (Official),24,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1056,24 = URC-881x / 801x / 601x,02 - TV,OBC,USE,E7,2,,,,,
URC-881x / 801x / 601x Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 04 20 (TV/1056) NEC Plasma (KM v8.31),,,,,,,,,,,,
B6 00 DE FE 25 E7 E7 FC 18 55 18 95 18 15 E7 7C E7 BC E7 3C E7 28 E7 C4 00 00 18 BF 18 3F 18 6F 18 EF E7 72 E7 5C E7 D2 E7 B2 E7 D2 E7 32 E7 DC E7 F2 18 0F E7 52 18 87 E7 4A,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 B6 (S3C8+) NEC1 Combo (Official) (KM v8.31),,,,,,,,,,,,
43 8B 12 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 E4 05 06 60 06 20 10 46 29 0D 8D 01 49,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
Power Off (Discrete),192,24,0,00 - Power Off (Discrete),Discrete,Protocol ID,Fixed Data,,,,,
Power On,008,,1,05 - Video 1 (BNC),Discrete,,,,,,,
Video Toggle,010,,2,06 - Video 2 (RCA),,,,,,,,
DVD/HD Toggle,028,24,3,07 - Video 3 (SVID),,,,,,,,
RGB/PC Toggle,088,,4,08 - RGB/PC 1 (BNC),,,,,,,,
Video 1 (BNC),085,,5,09 - RGB/PC 2 (HD15),Discrete,,,,,,,
Video 2 (RCA),086,,6,10 - RGB/PC 3 (DVI),Discrete,,,,,,,
Video 3 (SVID),087,,7,11 - DVD 1 (RCA),Discrete,,,,,,,
RGB/PC 1 (BNC),193,24,8,12 - DVD 2 (BNC),"Discrete, N/A if BNC = HD",,,,,,,
RGB/PC 2 (HD15),194,24,9,,Discrete,,,,,,,
RGB/PC 3 (DVI),195,24,vol up,27 - vol up,Discrete,,,,,,,
DVD 1 (RCA),235,24,vol down,28 - vol down,Discrete,,,,,,,
DVD 2 (BNC),220,24,mute,29 - mute,"Discrete, N/A if BNC = RGB/PC",,,,,,,
Display,015,,channel up,,,,,,,,,
Wide/Format,173,24,channel down,,,,,,,,,
exit,197,24,power,01 - power on,,,,,,,,
enter/OK,181,24,enter,16 - enter/OK,,,,,,,,
menu,180,24,tv/vid,,,,,,,,,
up arrow,176,24,prev,,,,,,,,,
down arrow,177,24,menu,17 - menu,,,,,,,,
left arrow,178,24,guide,17 - menu,,,,,,,,
right arrow,179,24,up arrow,18 - up arrow,,,,,,,,
proceed,196,24,down arrow,19 - down arrow,,,,,,,,
sleep,030,,left arrow,20 - left arrow,,,,,,,,
pointer,201,24,right arrow,21 - right arrow,,,,,,,,
Zoom +,202,24,select,22 - proceed,,,,,,,,
Zoom -,203,24,sleep,23 - sleep,,,,,,,,
vol up,002,,pip,,,,,,,,,
vol down,003,,info,13 - display,,,,,,,,
mute,009,,swap,14 - Wide/Format,,,,,,,,
contr +,070,,move,,,,,,,,,
cont -,071,,play,,,,,,,,,
color +,072,,pause,,,,,,,,,
color -,073,,rewind,,,,,,,,,
Brt +,074,,fwd,,,,,,,,,
Brt -,075,,stop,,,,,,,,,
Tint +,076,,record,,,,,,,,,
Tint -,077,,exit,15 - exit,,,,,,,,
Sharp +,078,,surround,,,,,,,,,
Sharp -,079,,input,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav,,,,,,,,,
,,,device button,,,,,,,,,
,,,f fwd,,,,,,,,,
,,,f rew,,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,M4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
All functions validated as working with NEC 42VM5,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
