Name:,JVC Plasma Display Discrete Commands,,,,v8.25,,,,,,,CURRENT DATA
Devices:,JVC,31,,,,,,,,,,
Manual:,,0 = 1-byte,0 = 1-byte,88,YES,,,,,,,
Setup:,1053,99 = 15-2117 / 15-2116,02 - TV,OBC,USE,07,1,,,,,
15-2117 / 15-2116 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 04 1D (TV/1053) JVC Plasma Display Discrete Commands (KM v8.25),,,,,,,,,,,,
34 00 D4 F8 65 07 00 74 B4 00 B8 00 00 00 00 00 84 04 A8 14 98 D5 68 E4 08 88 98 F2 35,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 34 (S3C8+) JVC (KM v8.25),,,,,,,,,,,,
43 8B 11 8B 19 C5 C9 80 20 08 08 01 07 00 F4 01 07 03 03 73 50 10 7C 08 2A 00 00 00 5A 95 20 0D 20 0D 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,205,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
video a,209,,0,,,Protocol ID,Fixed Data,,,,,
video b,210,,1,00 - video a,,,,,,,,
component Input,225,,2,01 - video b,,,,,,,,
rgb,226,,3,,,,,,,,,
vol up,222,,4,03 - rgb,,,,,,,,
vol down,223,,5,,,,,,,,,
mute,234,,6,,,,,,,,,
power,215,,7,,,,,,,,,
display,084,,8,,,,,,,,,
aspect,083,,9,,,,,,,,,
menu,230,,vol up,04 - vol up,,,,,,,,
up arrow,233,,vol down,05 - vol down,,,,,,,,
down arrow,216,,mute,06 - mute,,,,,,,,
left arrow,239,,channel up,,,,,,,,,
right arrow,238,,channel down,,,,,,,,,
sub menu,176,,power,07 - power,,,,,,,,
,,,enter,,,,,,,,,
aux A input,226,,tv/video,,,,,,,,,
aux B input,224,,last,,,,,,,,,
,,,menu,10 - menu,,,,,,,,
Power Off,218,,guide,15 - sub menu,,,,,,,,
Power On,221,,up arrow,11 - up arrow,,,,,,,,
,,,down arrow,12 - down arrow,,,,,,,,
,,,left arrow,13 - left arrow,,,,,,,,
,,,right arrow,14 - right arrow,,,,,,,,
,,,select,,,,,,,,,
,,,sleep,,,,,,,,,
,,,pip,,,,,,,,,
,,,info,08 - display,,,,,,,,
,,,swap,09 - aspect,,,,,,,,
,,,move,,,,,,,,,
,,,play,,,,,,,,,
,,,pause,,,,,,,,,
