Name:,TV Samsung CT29Z7P_CT32Z7P_CT34Z7P,,,,v8.33,,,,,,,CURRENT DATA
Devices:,NECx2,7,7,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,0060,99 = 15-2117 / 15-2116,02 - TV,EFC,USE,31 1F 1F,1,,,,,
15-2117 / 15-2116 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 00 3C (TV/0060) TV Samsung CT29Z7P_CT32Z7P_CT34Z7P (KM v8.33),,,,,,,,,,,,
5A 13 7E FE FE 81 31 1F 1F 1F 2F 0F B7 F7 BF 7F A7 37 07 B7 F7 2F 1F 3F D1 3B FF 67 FB 9B 7B BB 3D,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 0C F3 00 3C 0B«PIP Size: PIP Size» ¦0F F3 00 3C 59«BBE: BBE or Turbo on/off» ¦0B F3 00 3C 33«PIP Channel Down: PIP Channel Down»¦0D F3 00 3C B3«PIP Channel Up: PIP Channel Up» ¦0E F3 00 3C 2B«S.Mode: Sound Mode» ¦10 F3 00 3C EB«P.Mode: Picture Mode»  ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NECx2 (KM v8.33),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,229,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
Num 0,121,,0,00 - num 0,Number 0,Protocol ID,Fixed Data,,,,,
Num 1,180,,1,01 - num 1,Number 1,,,,,,,
Num 2,184,,2,02 - num 2,Number 2,,,,,,,
Num 3,182,,3,03 - num 3,Number 3,,,,,,,
Num 4,053,,4,04 - num 4,Number 4,,,,,,,
Num 5,057,,5,05 - num 5,Number 5,,,,,,,
Num 6,055,,6,06 - num 6,Number 6,,,,,,,
Num 7,052,,7,07 - num 7,Number 7,,,,,,,
Num 8,056,,8,08 - num 8,Number 8,,,,,,,
Num 9,054,,9,09 - num 9,Number 9,,,,,,,
"""+100""",219,,vol up,12 - vol up,"Plus 100 channels, for cable",,,,,,,
Pre-Ch,123,,vol down,13 - vol down,Previus Chanel,,,,,,,
Vol Up,186,,mute,14 - mute,Volumen UP,,,,,,,
Vol Down,059,,channel up,15 - Channel Up,Volumen Down,,,,,,,
Mute,058,,channel down,16 - channel down,Mute,,,,,,,
Channel Up,119,,power,17 - power,Principal Channel UP,,,,,,,
Channel Down,117,,enter,18 - TV/Component,Principal Channel Down,,,,,,,
Power,183,,tv/video,19 - TV/Video,Main Power,,,,,,,
TV/Component,171,,last,11 - Pre-Ch,TV/Component Source,,,,,,,
TV/Video,185,,menu,20 - menu,TV/Video,,,,,,,
Menu,247,,guide,21 - Add/Erase,Menu,,,,,,,
Add/Erase,249,,up arrow,15 - Channel Up,Add/Erase (Channel Programing),,,,,,,
Equalizer,132,,down arrow,16 - Channel Down,Equalizer,,,,,,,
P.size,022,,left arrow,13 - Vol Down,"Screen Zoom (normal, zoom 1, zoom 2, Wide)",,,,,,,
P.Mode,085,,right arrow,12 - Vol Up,Picture Mode,,,,,,,
S.Mode,091,,select,22 - Equalizer,Sound Mode,,,,,,,
MTS,181,,sleep,28 - sleep,MTS,,,,,,,
BBE,200,,pip,30 - PIP ON/OFF,BBE or Turbo on/off,,,,,,,
Sleep,187,,info,29 - display,Sleep,,,,,,,
Display,250,,swap,31 - pip swap,Display,,,,,,,
PIP ON/OFF,213,,move,32 - PIP Locate,PIP On/Off,,,,,,,
PIP Swap,217,,play,33 - PIP Size,PIP Swap,,,,,,,
PIP Locate,215,,pause,27 - BBE,PIP Locate,,,,,,,
PIP Size,090,,rewind,34 - PIP Channel Down,PIP Size,,,,,,,
PIP Channel Down,155,,fast fwd,35 - PIP Channel Up,PIP Channel Down,,,,,,,
PIP Channel Up,151,,stop,25 - S.Mode,PIP Channel Up,,,,,,,
PIP Source,212,,record,24 - P.Mode,PIP Source,,,,,,,
PIP Still,214,,exit,26 - MTS,PIP Still,,,,,,,
R. Surf,024,,surround,,R. Surf,,,,,,,
,,,input,,,,,,,,,
,,,+100,"10 - ""+100""",,,,,,,,
,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,next track,,,,,,,,,
,,,prev track,,,,,,,,,
