Name:,Toshiba 30HF83 TV (URC-8911),,,,v9.16,,,,,,,,CURRENT DATA
Devices:,NEC1,64,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,1156,27 = URC-9910 / 8910 / UEI HTPro,02 - TV,EFC,USE,00 FD FD,1,No,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade/Key Move Code:,,,,,,,,,,,,,
Upgrade Code 0 = 04 84 (TV/1156) Toshiba 30HF83 TV (URC-8911) (KM v9.16),,,,,,,,,,,,,
5A 03 7E FE 8D 00 FD FD A7 87 F7 27 07 B7 FE 0F 17 BE 3E 47 67 6E E3 C7 E5 77 17,,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,,
 2D F3 04 84 81«Discrete On»  ¦2F F3 04 84 D5«Picture Size» ,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v9.16),,,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,228,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,181,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,1F
num 1,185,,1,01 - num 1,,,,,,,,,15
num 2,183,,2,02 - num 2,,,,,,,,,16
num 3,187,,3,03 - num 3,,,,,,,,,17
num 4,180,,4,04 - num 4,,,,,,,,,19
num 5,184,,5,05 - num 5,,,,,,,,,1A
num 6,182,,6,06 - num 6,,,,,,,,,1B
num 7,186,,7,07 - num 7,,,,,,,,,1C
num 8,053,,8,08 - num 8,,,,,,,,,1D
num 9,057,,9,09 - num 9,,,,,,,,,1E
vol up,247,,vol up,10 - vol up,,,,,,,,,04
vol down,246,,vol down,11 - vol down,,,,,,,,,05
mute,117,,mute,12 - mute,,,,,,,,,08
channel up,251,,channel up,13 - channel up,,,,,,,,,06
channel down,250,,channel down,14 - channel down,,,,,,,,,07
power,119,,power,15 - power,,,,,,,,,03
enter,122,,enter,16 - enter,,,,,,,,,18
tv/vcr,,,tv/vid,38 - TV/Video,,,,,,,,,20
last (prev ch),122,,prev,17 - last (prev ch),,,,,,,,,38
menu,189,,menu,18 - menu,,,,,,,,,14
program guide,,,guide,29 - Ch Scan,,,,,,,,,36
up arrow,191,,up arrow,19 - up arrow,,,,,,,,,31
down arrow,195,,down arrow,20 - down arrow,,,,,,,,,32
left arrow,248,,left arrow,21 - left arrow,,,,,,,,,33
right arrow,249,,right arrow,22 - right arrow,,,,,,,,,34
select,065,,select,23 - select,,,,,,,,,35
sleep,021,,sleep,24 - sleep,,,,,,,,,30
pip on/off,,,pip,,,,,,,,,,3A
display,244,,info,25 - display,,,,,,,,,13
pip swap,,,swap,,,,,,,,,,3C
pip move,,,move,,,,,,,,,,3B
play,,,play,,,,,,,,,,0C
pause,,,pause,,,,,,,,,,0F
rewind,,,rewind,,,,,,,,,,0B
fast fwd,,,fwd,,,,,,,,,,0D
stop,,,stop,,,,,,,,,,0E
record,,,record,,,,,,,,,,10
exit,229,,exit,26 - exit,,,,,,,,,37
surround,,,,,,,,,,,,,
input toggle,,,,,,,,,,,,,
+100,,,,,,,,,,,,,
fav/scan,,,,,,,,,,,,,
device button,,,,,,,,,,,,,
next track,,,f fwd,,,,,,,,,,2A
prev track,,,f rew,,,,,,,,,,29
shift-left,,,,,,,,,,,,,
shift-right,,,,,,,,,,,,,
pip freeze,,,,,,,,,,,,,
slow,,,,,,,,,,,,,
eject,,,,,,,,,,,,,
slow+,,,,,,,,,,,,,
slow-,,,,,,,,,,,,,
x2,,,,,,,,,,,,,
center,,,,,,,,,,,,,
rear,,,,,,,,,,,,,
,,,phantom1,,,,,,,,,,3D
Scroll,143,,phantom2,,,,,,,,,,3E
Picture Size,100,,phantom3,,,,,,,,,,3F
Ch Scan,121,,,,,,,,,,,,
Favorite,125,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
POP On/Off,105,,,,,,,,,,,,
POP Swap,107,,,,,,,,,,,,
POP Ch-,043,,,,,,,,,,,,
POP Ch+,039,,setup,,,,,,,,,,02
POP Source,042,,light,,,,,,,,,,39
POP Direct Ch,214,,home theater,,,,,,,,,,24
POP Freeze,036,,M1,39 - Discrete On,,,,,,,,,2D
TV/Video,058,,M2,,,,,,,,,,2E
,,,M3,28 - Picture Size,,,,,,,,,2F
Discrete On,006,,,,,,,,,,,,
