Name:,Akai PDP4225M Plasma,,,,v8.38,,,,,,,CURRENT DATA
Devices:,NEC1,64,189,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,0824,27 = URC-9910 / 8910 / UEI HTPro,02 - TV,EFC,USE,20 FD 42,1,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 03 38 (TV/0824) Akai PDP4225M Plasma (KM v8.38),,,,,,,,,,,,
5A 03 7C F6 71 20 FD 42 F7 0F 77 8F 4F CF B7 67 37 D7 57 97 3D 07 87 15 C7,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 0C F3 03 38 27«play»¦0F F3 03 38 27«pause»  ¦0B F3 03 38 47«rewind» ¦0D F3 03 38 C7«fwd» ¦0E F3 03 38 65«stop»¦2A F3 03 38 E7«f.fwd/next track»¦29 F3 03 38 CD«f.rew/prev track»¦25 F3 03 38 07«L1»  ¦26 F3 03 38 FD«L2»  ¦27 F3 03 38 B5«L3»  ¦28 F3 03 38 F4«L4»  ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v8.38),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,181,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,185,,1,01 - num 1,,,,,,,,
num 2,183,,2,02 - num 2,,,,,,,,
num 3,187,,3,03 - num 3,,,,,,,,
num 4,180,,4,04 - num 4,,,,,,,,
num 5,184,,5,05 - num 5,,,,,,,,
num 6,182,,6,06 - num 6,,,,,,,,
num 7,186,,7,07 - num 7,,,,,,,,
num 8,053,,8,08 - num 8,,,,,,,,
num 9,057,,9,09 - num 9,,,,,,,,
vol +,117,,vol up,10 - vol +,,,,,,,,
vol -,058,,vol down,11 - vol -,,,,,,,,
TV:Mute,121,,mute,12 - TV:Mute,,,,,,,,
channel up,054,,channel up,13 - channel up,,,,,,,,
channel down,056,,channel down,14 - channel down,,,,,,,,
TV:Power,052,,power,15 - TV:Power,,,,,,,,
TV:Menu,119,,enter,,,,,,,,,
program/guide,,,tv/vid,22 - TV/Vid,,,,,,,,
display/info,250,,prev,,,,,,,,,
exit,,,menu,16 - TV:Menu,,,,,,,,
up arrow,123,,guide,,,,,,,,,
down arrow,116,,up arrow,18 - up arrow,,,,,,,,
left arrow,120,,down arrow,19 - down arrow,,,,,,,,
right arrow,118,,left arrow,20 - left arrow,,,,,,,,
select,,,right arrow,21 - right arrow,,,,,,,,
enter,,,select,,,,,,,,,
TV/Vid,249,,sleep,23 - sleep,,,,,,,,
last/prev ch,,,pip,31 - pip on/off,,,,,,,,
sleep,171,,info,17 - display/info,,,,,,,,
