Name:,1010 Sony TV,,,,v7.37,,,,,,,CURRENT DATA
Devices:,Sony 12/15,1,3,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,57,NO,,,,,,,
Setup,1010,99 = URC-6131 PVR Extender,03 - VCR,OBC,USE,,,,,,,
Device Upgrade Code:,,,,Protocol Code:,,,,,,,,
Upgrade code 0 = 23 F2 (VCR/1010),,,,Upgrade protocol 0 = 00 CA (S3C8+),,,,,,,,
CA 00 F4 12 CC 00 F9 80 C0 00 90 00 80 40 C0 20,,,,3A 8A 31 8B 14 F5 15 05 07 02 58 01 18 01 2C 01,,,,,,,,
A0 60 E0 10 48 C8 28 08 88 A8 73 A4 1C 08 88 FC,,,,18 57 D0 04 B0 01 18 00 03 08 05 76 06 01 6B 04,,,,,,,,
1C F3 73 FC B3 33,,,,20 01 10 C0 10 C0 FB 03 E6 12 08 8D 01 49,,,,,,,,
End,,,,End,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Key Move Code:,,,226,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
0,009,0,0,00 - 0,,Protocol ID,Fixed Data,,,,,
1,000,0,1,01 - 1,,,,,,,,
2,001,0,2,02 - 2,,,,,,,,
3,002,0,3,03 - 3,,,,,,,,
4,003,0,4,04 - 4,,,,,,,,
5,004,0,5,05 - 5,,,,,,,,
6,005,0,6,06 - 6,,,,,,,,
7,006,0,7,07 - 7,,,,,,,,
8,007,0,8,08 - 8,,,,,,,,
9,008,0,9,09 - 9,,,,,,,,
VOL +,018,0,vol up,10 - VOL +,,,,,,,,
VOL -,019,0,vol down,11 - VOL -,,,,,,,,
MUTE,020,0,mute,12 - MUTE,,,,,,,,
CH +,016,0,channel up,13 - CH +,,,,,,,,
CH -,017,0,channel down,14 - CH -,,,,,,,,
POWER,021,0,power,15 - POWER,,,,,,,,
ENTER,011,0,enter,,,,,,,,,
TV/VCR,037,0,tv/vid,17 - TV/VCR,,,,,,,,
LAST,059,0,prev,,,,,,,,,
MENU,096,0,menu,,,,,,,,,
GUIDE,014,0,guide,32 - Text,,,,,,,,
Up,116,0,up arrow,13 - CH +,,,,,,,,
Down,117,0,down arrow,14 - CH -,,,,,,,,
Left,052,0,left arrow,,,,,,,,,
Right,051,0,right arrow,,,,,,,,,
SELECT,101,0,select,31 - Power on (discrete),,,,,,,,
SLEEP,054,0,angle/sleep,,,,,,,,,
PIP,091,0,pip,,,,,,,,,
DISPLAY,058,0,info,,,,,,,,,
SWAP,095,0,swap,,,,,,,,,
MOVE,094,0,move,,,,,,,,,
Power on (discrete),056,0,play,,,,,,,,,
Text,063,0,pause,36 - Yellow,,,,,,,,
Text off,056,0,rewind,,,,,,,,,
Red,076,1,fast fwd,,,,,,,,,
Green,077,1,stop,,,,,,,,,
Yellow,078,1,record,,,,,,,,,
Blue,079,1,exit,33 - Text off,,,,,,,,
Time,052,1,surround,,,,,,,,,
,,0,audio/CC,,,,,,,,,
,,0,+100,,,,,,,,,
,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,advance,36 - Yellow,,,,,,,,
,,,replay,32 - Text,,,,,,,,
,,,next track,,,,,,,,,
,,,prev track,,,,,,,,,
,,,PVR menu,37 - Blue,,,,,,,,
,,,subtitle,,,,,,,,,
,,,slow,,,,,,,,,
,,,thumbs up,35 - Green,,,,,,,,
,,,thumbs down,34 - Red,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
