Name:,Samsung HLP5063 DLP TV,,,,v8.37,,,,,,,CURRENT DATA
Devices:,NECx2,7,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,0000,27 = URC-9910 / 8910 / UEI HTPro,01 - Cable,EFC,USE,31 1F 1F,1,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 60 00 (Cable/0000) Samsung HLP5063 DLP TV (KM v8.37),,,,,,,,,,,,
5A 18 7E FC 28 3F 31 1F 1F 1F 2F 0F B7 F7 BF 37 07 B7 F7 2F 1F 83 A7 95 7F BD 3B 3F FB 0B 7B,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 2D F3 60 00 81«DVD» ¦2E F3 60 00 A1«VCR» ¦2F F3 60 00 21«Cable»  ¦25 F3 60 00 49«DNIe»¦26 F3 60 00 69«PC»  ¦27 F3 60 00 01«STB» ¦28 F3 60 00 41«TV»  ¦9F F3 60 00 2E«HDMI»¦95 F3 60 00 DE«Audio-Video 1»¦96 F3 60 00 28«Audio-Video 2»¦97 F3 60 00 C8«Audio-Video 3»¦99 F3 60 00 5E«S-video 1» ¦9A F3 60 00 48«S-video 2» ¦9B F3 60 00 20«S-video 3» ¦9C F3 60 00 9E«Component 1»  ¦9D F3 60 00 EE«Component 2»  ¦9E F3 60 00 AE«DVI» ¦86 F3 60 00 B3«pip Channel +»¦87 F3 60 00 33«pip Channel -»¦83 F3 60 00 66«discrete on»  ¦A0 F3 60 00 27«Antenna»¦B8 F3 60 00 67«channel add/erase»  ¦B0 F3 60 00 E6«discrete off» ¦BA F3 60 00 EB«Picture Mode» ¦BC F3 60 00 2B«Sound Mode»¦BB F3 60 00 FF«MTS» ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NECx2 (KM v8.37),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,121,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,47 - HDMI
num 1,180,,1,01 - num 1,,,,,,,,37 - Audio-Video 1
num 2,184,,2,02 - num 2,,,,,,,,38 - Audio-Video 2
num 3,182,,3,03 - num 3,,,,,,,,39 - Audio-Video 3
num 4,053,,4,04 - num 4,,,,,,,,40 - S-video 1
num 5,057,,5,05 - num 5,,,,,,,,41 - S-video 2
num 6,055,,6,06 - num 6,,,,,,,,42 - S-video 3
num 7,052,,7,07 - num 7,,,,,,,,43 - Component 1
num 8,056,,8,08 - num 8,,,,,,,,44 - Component 2
num 9,054,,9,09 - num 9,,,,,,,,46 - DVI
vol up,186,,vol up,10 - vol up,,,,,,,,
vol down,059,,vol down,11 - vol down,,,,,,,,
mute,058,,mute,12 - mute,,,,,,,,
channel up,119,,channel up,13 - channel up,,,,,,,,29 - pip Channel +
channel down,117,,channel down,14 - channel down,,,,,,,,28 - pip Channel -
power,183,,power,15 - power,,,,,,,,30 - discrete on
menu,247,,enter,57 - +100,,,,,,,,
display/info,250,,tv/vid,22 - source,,,,,,,,45 - Antenna
up arrow,119,,prev,23 - last/prev ch,,,,,,,,51 - channel add/erase
down arrow,117,,menu,16 - menu,,,,,,,,
