Name:,AKAI Samsung Rear Projection,,,,v8.27,,,,,,,CURRENT DATA
Devices:,NECx2,7,7,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1060,05 = RCU810,02 - TV,EFC,USE,31 1F 1F,1,,,,,
RCU810 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 34 13 (TV/1060) AKAI Samsung Rear Projection (KM v8.27),,,,,,,,,,,,
5A 20 7A BE FD 31 1F 1F 1F 2F 0F B7 F7 E6 66 37 07 A7 F9 1B DE F9 79 59 B9 7F EB 2B,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 30 F3 34 13 3F«sleep»  ¦3C F3 34 13 DE«D Video 1» ¦3D F3 34 13 5E«D SVideo»  ¦3E F3 34 13 9E«D Component 1»¦3F F3 34 13 EE«D Component 2»,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC2 (KM v8.27),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,214,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,121,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,180,,1,01 - num 1,,,,,,,,
num 2,184,,2,02 - num 2,,,,,,,,
num 3,182,,3,03 - num 3,,,,,,,,
num 4,053,,4,04 - num 4,,,,,,,,
num 5,057,,5,05 - num 5,,,,,,,,
num 6,055,,6,06 - num 6,,,,,,,,
num 7,052,,7,07 - num 7,,,,,,,,
num 8,056,,8,08 - num 8,,,,,,,,
num 9,054,,9,09 - num 9,,,,,,,,
vol up,186,,vol up,10 - vol up,,,,,,,,
vol down,059,,vol down,11 - vol down,,,,,,,,
mute,058,,mute,12 - mute,,,,,,,,
channel up,119,,channel up,13 - channel up,,,,,,,,
channel down,117,,channel down,14 - channel down,,,,,,,,
power,183,,on/off,40 - D power off,,,,,,,,
input,185,,enter,,,,,,,,,
last (prev ch),123,,tv/vcr,,,,,,,,,
menu,247,,go back,17 - last (prev ch),,,,,,,,
picture mode,085,,menu,18 - menu,,,,,,,,
up arrow,197,,guide,20 - up arrow,,,,,,,,
down arrow,201,,up arrow,20 - up arrow,,,,,,,,
left arrow,200,,down arrow,21 - down arrow,,,,,,,,
right arrow,199,,left arrow,22 - left arrow,,,,,,,,
select,,,right arrow,23 - right arrow,,,,,,,,
sleep,187,,select,39 - select,,,,,,,,
display,250,,sleep,24 - sleep,,,,,,,,
pause,167,,pip on/off,19 - picture mode,,,,,,,,
BBE,070,,info,25 - display,,,,,,,,
Add/Erase Channel,249,,pip swap,34 - Sound Mode,,,,,,,,
Function - Caption,216,,pip move,,,,,,,,,
Function - VChip,235,,play,,,,,,,,,
MTS,181,,pause,,,,,,,,,
still,167,,rewind,,,,,,,,,
Auto Focus,136,,fast fwd,,,,,,,,,
Sound Mode,091,,stop,,,,,,,,,
Surf,024,,record,,,,,,,,,
clear,088,CLEAR,clear,36 - clear,,,,,,,,
picture size,022,,surround,,,,,,,,,
+100,219,,input,16 - input,,,,,,,,
select,218,,+100,,,,,,,,,
,,,fav/scan,,,,,,,,,
D power off,253,,device button,41 - D power on,,,,,,,,
D power on,001,,next track,,,,,,,,,
D Video 1,188,,prev track,,,,,,,,,
D video 3,076,,shift-left,,,,,,,,,
D SVideo,192,,shift-right,,,,,,,,,
D Component 1,190,,pip freeze,,,,,,,,,
D Component 2,061,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,42 - D Video 1,,,,,,,,
,,,phantom2,44 - D SVideo,,,,,,,,
,,,phantom3,45 - D Component 1,,,,,,,,
,,,phantom4,46 - D Component 2,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,code search,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,macro4,,,,,,,,,
