Name:,Hitachi Ultravision RPTV,,,,v7.14,,,,,,,CURRENT DATA
Devices:,NEC1,80,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup,1145,99 = 15-2117 / 15-2116,02 - TV,EFC,USE,,,,,,,
Device Upgrade/Key Move Code:,,,,Protocol Code:,,,,,,,,
Upgrade code 0 = 04 79 (TV/1145),,,,Upgrade protocol 0 = 00 5A (S3C8+),,,,,,,,
5A 0E 7E FE 5E 81 00 F5 F5 B7 57 2F 67 E7 17 85,,,,43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03,,,,,,,,
35 AF F7 F1 71 31 B1 77 8B D9 E5 79 65 A5 8B,,,,39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01,,,,,,,,
KeyMoves,,,,46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80,,,,,,,,
88 F3 04 79 BB B8 F3 04 79 3B 94 F3 04 79 DB 93,,,,B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07,,,,,,,,
F3 04 79 7B A7 F3 04 79 1F AA F3 04 79 83 AB F3,,,,20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06,,,,,,,,
04 79 03,,,,F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D,,,,,,,,
End,,,,01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28,,,,,,,,
,,,,C1 60 04 E6 12 01 8B E4,,,,,,,,
,,,,End,,,,Key Move Code:,,,205,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
0,052,,0,00 - 0,,Protocol ID,Fixed Data,,,,,
1,056,,1,01 - 1,,,,,,,,
2,054,,2,02 - 2,,,,,,,,
3,058,,3,03 - 3,,,,,,,,
4,244,,4,04 - 4,,,,,,,,
5,248,,5,05 - 5,,,,,,,,
6,246,,6,06 - 6,,,,,,,,
7,250,,7,07 - 7,,,,,,,,
8,180,,8,08 - 8,,,,,,,,
9,184,,9,09 - 9,,,,,,,,
VOL +,119,,vol up,10 - VOL +,,,,,,,,
VOL -,120,,vol down,11 - VOL -,,,,,,,,
MUTE,059,,mute,12 - mute,,,,,,,,35 - Video 2
CH +,249,,channel up,13 - CH +,,,,,,,,
CH -,245,,channel down,14 - CH -,,,,,,,,
POWER,122,,power,15 - power,,,,,,,,
TV ON,022,,enter,25 - SELECT,,,,,,,,
TV OFF,026,,tv/video,32 - Picture,,,,,,,,
ANT A/B,057,,last,19 - LAST,,,,,,,,36 - Video 3
LAST,055,,menu,20 - menu,,,,,,,,37 - Video 4
MENU,107,,guide,program guide,,,,,,,,
Cursor Up,133,,up arrow,21 - Cursor Up,,,,,,,,
Cursor Down,137,,down arrow,22 - Cursor Down,,,,,,,,
Cursor Left,139,,left arrow,23 - Cursor Left,,,,,,,,
Cursor Right,135,,right arrow,24 - Cursor Right,,,,,,,,
SELECT,086,,select,25 - select,,,,,,,,
SLEEP,121,,sleep,26 - sleep,,,,,,,,
PIP,229,,pip,27 - PIP,,,,,,,,
PIP Change,186,,info,33 - INFO,,,,,,,,34 - Video 1
PIP Freeze,201,,swap,31 - pip swap,,,,,,,,28 - PIP Change
PIP Mode,231,,move,30 - PIP Mode,,,,,,,,
PIP SWAP,233,,play,play,,,,,,,,
Picture,230,,pause,pause,,,,,,,,
INFO,117,,rewind,rewind,,,,,,,,
Video 1,217,,fast fwd,fast fwd,,,,,,,,
Video 2,215,,stop,stop,,,,,,,,
Video 3,219,,record,record,,,,,,,,
Video 4,212,,exit,39 - exit,,,,,,,,
Video 5,024,,surround,surround,,,,,,,,
Exit,196,,input,input toggle,,,,,,,,
,,,+100,+100,,,,,,,,
,,,fav/scan,fav/scan,,,,,,,,
,,,device button,device button,,,,,,,,
,,,shift-up,shift-up,,,,,,,,
,,,shift-down,shift-down,,,,,,,,
,,,shift-left,shift-left,,,,,,,,
,,,shift-right,shift-right,,,,,,,,
,,,freeze,29 - pip freeze,,,,,,,,
,,,slow,slow,,,,,,,,
,,,eject,eject,,,,,,,,
,,,slow+,slow+,,,,,,,,
,,,slow-,slow-,,,,,,,,
