Name:,Hitachi LE32H405,,,,v9.22,,,,,,,,CURRENT DATA
Devices:,NEC1,80,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,1145,99 = RCA RCRP05B,02 - TV,OBC,USE,00 F5 F5,1,No,,,,,
RCA RCRP05B Device Upgrade/Key Move Code:,,,,,,,,,,,,,
Upgrade Code2 0 = 14 79 (TV/1145) Hitachi LE32H405 (KM v9.22),,,,,,,,,,,,,
00 5A 24 7E FE 8E FA 8E 38 00 81 00 F5 F5 B7 57 2F 67 E7 17 35 6F F1 71 31 B1 8B AF D9 85 05 91 43 5B BB FB CB 70 1B E3 F7 EF B0 E1 77 09 37 7B,,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,,
 35 F0 04 14 79 8B 56«select» ,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v9.22),,,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,439,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
1,013,,0,09 - 0,,Protocol ID,Fixed Data,,,,,,1F
2,014,,1,00 - 1,,,,,,,,,15
3,015,,2,01 - 2,,,,,,,,,16
4,028,,3,02 - 3,,,,,,,,,17
5,029,,4,03 - 4,,,,,,,,,19
6,030,,5,04 - 5,,,,,,,,,1A
7,031,,6,05 - 6,,,,,,,,,1B
8,004,,7,06 - 7,,,,,,,,,1C
9,005,,8,07 - 8,,,,,,,,,1D
0,012,,9,08 - 9,,,,,,,,,1E
-,017,,vol up,29 - vol up,,,,,,,,,04
sleep,019,,vol down,30 - vol down,,,,,,,,,05
up,112,,mute,28 - mute,,,,,,,,,33
down,113,,channel up,31 - ch up,,,,,,,,,06
left,115,,channel down,32 - ch down,,,,,,,,,07
right,114,,power,33 - power,,,,,,,,,03
select,046,,,,,,,,,,,,
menu,083,,,,,,,,,,,,
exit,100,,last,27 - last,,,,,,,,,08
hdmi1,061,,menu,17 - menu,,,,,,,,,2E
hdmi2,032,,guide,,,,,,,,,,21
hdmi3,037,,up arrow,12 - up,,,,,,,,,29
hdmi4,039,,down arrow,13 - down,,,,,,,,,2A
tv,118,,left arrow,14 - left,,,,,,,,,2B
comp,034,,right arrow,15 - right,,,,,,,,,2C
av,033,,ok,16 - select,,,,,,,,,2D
rgb,044,,,,,,,,,,,,
last,010,,pip on/off,37 - p.mode,,,,,,,,,38
mute,011,,info,34 - info,,,,,,,,,13
vol up,018,,pip swap,38 - s.mode,,,,,,,,,39
vol down,021,,pip move,,,,,,,,,,3A
ch up,025,,play,23 - tv,,,,,,,,,0C
ch down,024,,pause,19 - hdmi1,,,,,,,,,0F
power,023,,rewind,21 - hdmi3,,,,,,,,,0B
info,016,,fast fwd,24 - comp,,,,,,,,,0D
input,009,,stop,20 - hdmi2,,,,,,,,,0E
aspect,111,,record,26 - rgb,,,,,,,,,10
p.mode,094,,exit,18 - exit,,,,,,,,,14
s.mode,095,,,,,,,,,,,,
time,242,,input,35 - input,,,,,,,,,30
c.c.,120,,dash,10 - -,,,,,,,,,20
mts/sap,008,,fav,43 - fav ch,,,,,,,,,22
ch list,241,,,,,,,,,,,,
fav ch,056,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
