Name:,Samsung LNS4096D,,,,v9.22,,,,,,,,CURRENT DATA
Devices:,NECx2,7,7,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,1060,99 = RCA RCRP05B,02 - TV,OBC,USE,31 1F 1F,1,No,,,,,
RCA RCRP05B Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code2 0 = 14 24 (TV/1060) Samsung LNS4096D (KM v9.22),,,,,,,,,,,,,
00 5A 20 7E FE 3E DA 80 20 00 81 31 1F 1F 1F 2F 0F B7 F7 BF A7 7F F9 79 59 B9 E9 37 4B FB B3 33 BD 27 28 68 DE EE 9E DD 07 5B 2E,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NECx2 (KM v9.22),,,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,439,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,017,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,1F
num 1,004,,1,01 - num 1,,,,,,,,,15
num 2,005,,2,02 - num 2,,,,,,,,,16
num 3,006,,3,03 - num 3,,,,,,,,,17
num 4,008,,4,04 - num 4,,,,,,,,,19
num 5,009,,5,05 - num 5,,,,,,,,,1A
num 6,010,,6,06 - num 6,,,,,,,,,1B
num 7,012,,7,07 - num 7,,,,,,,,,1C
num 8,013,,8,08 - num 8,,,,,,,,,1D
num 9,014,,9,09 - num 9,,,,,,,,,1E
vol up,007,,vol up,10 - vol up,,,,,,,,,04
vol down,011,,vol down,11 - vol down,,,,,,,,,05
mute,015,,mute,12 - mute,,,,,,,,,33
channel up,018,,channel up,13 - channel up,,,,,,,,,06
channel down,016,,channel down,14 - channel down,,,,,,,,,07
power,002,,power,15 - power,,,,,,,,,03
menu,026,,,25 - enter,,,,,,,,,
CH.MGR,107,,,,,,,,,,,,
FAV CH,068,,last,27 - last/prev ch,,,,,,,,,08
exit,045,,menu,16 - menu,,,,,,,,,2E
up arrow,096,,guide,,,,,,,,,,21
down arrow,097,,up arrow,20 - up arrow,,,,,,,,,29
left arrow,101,,down arrow,21 - down arrow,,,,,,,,,2A
right arrow,098,,left arrow,22 - left arrow,,,,,,,,,2B
WISELINK,140,,right arrow,23 - right arrow,,,,,,,,,2C
enter,104,,ok,25 - enter,,,,,,,,,2D
SOURCE,001,,,39 - sleep,,,,,,,,,
last/prev ch,019,,pip on/off,38 - pip on/off,,,,,,,,,38
P.SIZE,062,,info,35 - info,,,,,,,,,13
S.MODE,043,,pip swap,,,,,,,,,,39
P.MODE,040,,pip move,,,,,,,,,,3A
MTS,000,,play,41 - Freeze,,,,,,,,,0C
SRS,110,,pause,49 - ANTENNA,,,,,,,,,0F
prev ch,019,,rewind,44 - AV2,,,,,,,,,0B
caption,037,,fast fwd,48 - HDMI-2,,,,,,,,,0D
info,031,,stop,43 - AV1,,,,,,,,,0E
pip ch+,050,,record,,,,,,,,,,10
pip ch-,051,,exit,19 - exit,,,,,,,,,14
pip on/off,032,,,,,,,,,,,,
SLEEP,003,,input,26 - SOURCE,,,,,,,,,30
DNET,141,,dash,34 - Caption,,,,,,,,,20
Freeze,066,,fav,18 - FAV CH,,,,,,,,,22
Caption,037,,,,,,,,,,,,
AV1,132,,,,,,,,,,,,
AV2,235,,,,,,,,,,,,
COMP1,134,,,,,,,,,,,,
COMP2,136,,,,,,,,,,,,
HDMI-1,139,,,,,,,,,,,,
HDMI-2,233,,,,,,,,,,,,
ANTENNA,027,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,phantom1,,,,,,,,,,3F
,,,phantomF1,,,,,,,,,,F1
,,,phantomF2,,,,,,,,,,F2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,setup,,,,,,,,,,02
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,macro1,,,,,,,,,,34
