Name:,TV/0346 (1346),,,,v7.37,,,,,,,CURRENT DATA
Devices:,Manual Settings,223,,,,,,,,,,
Manual:,B0,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup,1346,99 = URC-6131 PVR Extender,03 - VCR,OBC,USE,,,,,,,
Device Upgrade Code:,,,,Protocol Code:,,,,,,,,
Upgrade code 0 = 25 42 (VCR/1346),,,,Upgrade protocol 0 = 00 B0 (S3C8+),,,,,,,,
B0 00 B4 16 FE 40 F9 04 80 C0 A0 E0 90 D0 B0 F0,,,,44 8F 11 8B 19 B5 85 90 38 08 08 00 F8 00 E4 00,,,,,,,,
88 C8 B8 F8 98 BE 80 E6 FF B8 F8 F4 B4 E6 FF 9A,,,,F8 00 E4 1B 44 00 F8 04 F0 00 00 00 D6 C4 E6 06,,,,,,,,
86 FE BE E6 DE 9E,,,,BF E6 05 FF 8D 01 46,,,,,,,,
End,,,,End,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Key Move Code:,,,229,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
0,254,,0,00 - 0,,Protocol ID,Fixed Data,,,,,
1,252,,1,01 - 1,,,,,,,,
2,250,,2,02 - 2,,,,,,,,
3,248,,3,03 - 3,,,,,,,,
4,246,,4,04 - 4,,,,,,,,
5,244,,5,05 - 5,,,,,,,,
6,242,,6,06 - 6,,,,,,,,
7,240,,7,07 - 7,,,,,,,,
8,238,,8,08 - 8,,,,,,,,
9,236,,9,09 - 9,,,,,,,,
vol up,210,,vol up,,,,,,,,,
vol down,208,,vol down,,,,,,,,,
mute,174,,mute,,,,,,,,,
channel up,226,,channel up,13 - Channel UP,,,,,,,,
channel down,224,,channel down,14 - Channel DOWN,,,,,,,,
