Name:,NEC PX-42XM2A/S Plasma,,,,v8.31,,,,,,,CURRENT DATA
Devices:,NEC1 Combo (Official),24,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1056,02 = URC-7800 / 6800,02 - TV,OBC,USE,E7,2,,,,,
URC-7800 / 6800 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 14 20 (TV/1056) NEC PX-42XM2A/S Plasma (KM v8.31),,,,,,,,,,,,
B6 00 BA 5E 3F E7 E7 FC E7 7C E7 BC E7 3C 18 55 18 95 18 15 E7 28 18 C4 E7 C7 E7 AC E7 2C 18 EF E7 DC 18 87 E7 D2 E7 DC 18 0F E7 5C E7 4A 18 07 E7 F2 E7 72 E7 B2 E7 32,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,
Upgrade Protocol 0 = 00 B6 (S3C8) NEC1 Combo (Official) (KM v8.31),,,,,,,,,,,,
43 8B 12 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 E4 05 06 60 06 20 10 46 29 0D 8D 01 36,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,230,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
VOLUME +,002,24,0,04 - Off,,Protocol ID,Fixed Data,,,,,
VOLUME –,003,24,1,31 - RGB/PC1,,,,,,,,
MUTE,009,24,2,32 - RGB/PC2,,,,,,,,
On Discrete or On/Off in some models,008,,3,33 - RGB/PC3,,,,,,,,
Off,192,24,4,20 - Video1,,,,,,,,
Display,015,,5,21 - Video2,,,,,,,,
CLEAR,025,24,6,22 - Video3,,,,,,,,
DVD/HD,028,24,7,44 - DVD1,,,,,,,,
Sleep,030,,8,43 - DVD2,,,,,,,,
AUTO ADJUST,031,,9,07 - DVD/HD,,,,,,,,
Contrast +,070,24,vol up,,,,,,,,,
Contrast -,071,24,vol down,,,,,,,,,
Color +,072,24,mute,,,,,,,,,
Color -,073,24,channel up,39 - ZOOM +,,,,,,,,
Brightness +,074,24,channel down,40 - ZOOM –,,,,,,,,
Brightness -,075,24,power,03 - On Discrete or On/Off in some models,,,,,,,,
Tint +,076,24,enter,35 - PROCEED,,,,,,,,
Tint -,077,24,tv/vcr,,,,,,,,,
Sharpness +,078,24,prev ch,,,,,,,,,
Sharpness -,079,24,menu,29 - Menu,,,,,,,,
Video1,085,,prog/guide,09 - AUTO ADJUST,,,,,,,,
Video2,086,,up arrow,25 - Arrow U,,,,,,,,
Video3,087,,down arrow,26 - Arrow D,,,,,,,,
Video,010,,left arrow,27 - Arrow L,,,,,,,,
Wide,173,24,right arrow,28 - Arrow R,,,,,,,,
Arrow U,176,24,select,35 - PROCEED,,,,,,,,
Arrow D,177,24,sleep,08 - Sleep,,,,,,,,
Arrow L,178,24,pip on/off,24 - Wide,,,,,,,,
Arrow R,179,24,display,05 - Display,,,,,,,,
Menu,180,24,pip swap,,,,,,,,,
OK,181,24,pip move,,,,,,,,,
RGB/PC1,193,24,play,,,,,,,,,
RGB/PC2,194,24,pause,,,,,,,,,
RGB/PC3,195,24,rewind,,,,,,,,,
RGB/PC,088,24,fast fwd,,,,,,,,,
PROCEED,196,24,stop,,,,,,,,,
Exit,197,24,record,,,,,,,,,
ID SELECT,200,24,exit,36 - Exit,,,,,,,,
POINTER,201,24,surround,,,,,,,,,
ZOOM +,202,24,input,,,,,,,,,
ZOOM –,203,24,+100,,,,,,,,,
MULTI,204,24,fav/scan,,,,,,,,,
SELECT,205,24,device button,,,,,,,,,
DVD2,220,,next track,,,,,,,,,
DVD1,235,24,prev track,,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,discreteON,,,,,,,,,
,,,discreteOFF,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,1L,,,,,,,,,
,,,2L,,,,,,,,,
,,,3L,,,,,,,,,
,,,4L,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
This file is tailored around the PX-42XM2A/S Plasma. It is possible that it,,,,,,,,,,,,,
covers other NEC plasmas as well.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
