Name:,Hitachi CT2647 TV,,,,v8.32,,,,,,,CURRENT DATA
Devices:,pid: 00 15,22,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,56,NO,,,,,,,
Setup:,0151,27 = URC-9910 / 8910 / UEI HTPro,02 - TV,EFC,USE,97,1,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 00 97 (TV/0151) Hitachi CT2647 TV (KM v8.32),,,,,,,,,,,,
15 00 F0 0B 97 FD F5 ED E5 DD D5 CD C5 BD B5 1D 7D 55 15 75 5D 35 3D,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 15 (S3C8+) pid: 00 15 (KM v8.32),,,,,,,,,,,,
37 85 11 8B 0F 05 05 06 01 E0 01 D5 01 E0 05 98 45 97 63 7A F6 01 46 F6 01 46 C6 F8 85 EC F6 01 58 E4 1E 1C E4 1F 1D 56 28 FB 76 03 01 EB 08 46 2A 40 F6 01 04 FB 03 46 29 01 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,165,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,101,,1,01 - num 1,,,,,,,,
num 2,037,,2,02 - num 2,,,,,,,,
num 3,229,,3,03 - num 3,,,,,,,,
num 4,164,,4,04 - num 4,,,,,,,,
num 5,100,,5,05 - num 5,,,,,,,,
num 6,036,,6,06 - num 6,,,,,,,,
num 7,228,,7,07 - num 7,,,,,,,,
num 8,167,,8,08 - num 8,,,,,,,,
num 9,103,,9,09 - num 9,,,,,,,,
vol up,170,,vol up,10 - vol up,,,,,,,,
vol down,169,,vol down,11 - vol down,,,,,,,,
mute,104,,mute,12 - mute,,,,,,,,
channel up,106,,channel up,13 - channel up,,,,,,,,
channel down,105,,channel down,14 - channel down,,,,,,,,
power,168,,power,15 - power,,,,,,,,
menu,,,enter,,,,,,,,,
program/guide,,,tv/vid,,,,,,,,,
