Name:,Fujitsu Plasma P-42HHA(VHA)40_P50XHA40_55XHA40,,,,v9.20,,,,,,,,CURRENT DATA
Devices:,Fujitsu,132,138,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,2000,01 = 15-1994,02 - TV,EFC,USE,00 D7 39 DE AE,2,No,,,,,
15-1994 Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 17 D0 (TV/2000) Fujitsu Plasma P-42HHA(VHA)40_P50XHA40_55XHA40 (KM v9.20),,,,,,,,,,,,,
F8 00 40 81 00 D7 39 DE AE 00 00 00 00 CE 00 AE 02,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Key Move Code:,,,229,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
PWR TOGGLE,000,138,0,,,Protocol ID,Fixed Data,,,,,,1F
PWR ON,001,138,1,,,,,,,,,,15
PWR OFF,002,138,2,,,,,,,,,,16
DISPLAY,008,138,3,,,,,,,,,,17
WIDTHS,016,138,4,,,,,,,,,,19
NORMAL WIDE,018,138,5,,,,,,,,,,1A
WIDE-1,019,138,6,,,,,,,,,,1B
WIDE-2,020,138,7,,,,,,,,,,1C
ZOOM-1,021,138,8,,,,,,,,,,1D
ZOOM-2,022,138,9,,,,,,,,,,1E
`Left_Arrow,032,138,vol up,,,,,,,,,,04
`Right_Arrow,033,138,vol down,,,,,,,,,,05
MENU,034,138,mute,37 - mute,,,,,,,,,08
CURS UP,035,138,channel up,,,,,,,,,,06
`Down_Arrow,036,138,channel down,,,,,,,,,,07
OK,038,138,power,,,,,,,,,,03
PICTURE MODE,068,138,enter,,,,,,,,,,12
PIX MEM,072,138,tv/vcr,,,,,,,,,,18
Mem-1,080,138,last,,,,,,,,,,13
Mem-2,081,138,menu,12 - menu,,,,,,,,,29
Mem-3,082,138,program / guide,,,,,,,,,,28
Mem-4,083,138,up arrow,,,,,,,,,,31
Mem-5,084,138,down arrow,,,,,,,,,,32
Mem-6,085,138,left arrow,,,,,,,,,,33
Mem-7,086,138,right arrow,,,,,,,,,,34
Mem-8,087,138,select,,,,,,,,,,35
VID 1,064,139,sleep,,,,,,,,,,2C
VID 1 = Composite Input,064,139,pip,,,,,,,,,,2D
VID 2,065,139,display,,,,,,,,,,2A
VID 2 = S-Video Input,065,139,swap,,,,,,,,,,2F
VID 3,066,139,move,,,,,,,,,,2E
VID 4,067,139,play,,,,,,,,,,0C
VID-5=HDMI input,068,139,pause,,,,,,,,,,0F
RGB1 / DVI-D,104,139,rewind,,,,,,,,,,0B
RGB2,105,139,fast fwd,,,,,,,,,,0D
VOL+,016,140,stop,,,,,,,,,,0E
VOL DN,017,140,record,,,,,,,,,,10
MUTE,018,140,exit,,,,,,,,,,2B
,,,surround,,,,,,,,,,30
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,phantom1,,,,,,,,,,3A
,,,phantom2,,,,,,,,,,3B
,,,phantom3,,,,,,,,,,3C
,,,phantom4,,,,,,,,,,3D
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,setup,,,,,,,,,,02
,,,light,,,,,,,,,,20
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,1s,,,,,,,,,,21
,,,2s,,,,,,,,,,22
,,,3s,,,,,,,,,,23
,,,4s,,,,,,,,,,24
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,discreteON,,,,,,,,,,3E
,,,discreteOFF,,,,,,,,,,3F
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
