Name:,Samsung-TX-P27xx,,,,v9.08,,,,,,,CURRENT DATA
Devices:,NECx2,7,7,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1024,99 = URC-6131 PVR,01 - Cable,OBC,USE,31 1F 1F,1,Yes,,,,
URC-6131 PVR Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 04 00 (Cable/1024) Samsung-TX-P27xx (KM v9.08),,,,,,,,,,,,
5A 19 7E FE C2 81 31 1F 1F 1F 2F 0F B7 F7 BF A7 07 E9 37 7F 4B F9 79 59 B9 EB 93 3B 43,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
" 26 F3 04 00 3F«Sleep: Sleep menu»  ¦2F F3 04 00 41«Mode DevSelect: selects:tv,stb,vcr,cable,dvd»  ¦20 F3 04 00 83«PicSize: Picture size: normal, zoom»  ¦37 F3 04 00 FF«Multichannel TV Stereo: Multichannel TV audio:stereo,Mono,SAP»¦9F F3 04 00 E6«DiscreteOff: works!»¦95 F3 04 00 66«DiscreteOn: works!» ¦92 F3 04 00 05«Antena2: maybe this for tv-tuner input»  ",,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NECx2 (KM v9.08),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,898,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
Multichannel TV Stereo,000,,0,17 - 0,"Multichannel TV audio:stereo,Mono,SAP",Protocol ID,Fixed Data,,,,,46 - DiscreteOff
TV/Vid,001,,1,04 - 1,"Circular video source toggle (ant,cbl,vcr…)",,,,,,,47 - DiscreteOn
Power,002,,2,05 - 2,Power toggle,,,,,,,
Sleep,003,,3,06 - 3,Sleep menu,,,,,,,
1,004,,4,08 - 4,,,,,,,,
2,005,,5,09 - 5,,,,,,,,
3,006,,6,10 - 6,,,,,,,,
VOL+,007,,7,12 - 7,,,,,,,,
4,008,,8,13 - 8,,,,,,,,
5,009,,9,14 - 9,,,,,,,,
6,010,,vol up,07 - VOL+,,,,,,,,
VOL-,011,,vol down,11 - VOL-,,,,,,,,
7,012,,mute,15 - mute,,,,,,,,
8,013,,channel up,18 - CH+,,,,,,,,
9,014,,channel down,16 - CH-,,,,,,,,
Mute,015,,power,02 - power,,,,,,,,
CH-,016,,enter,26 - Antena,,,,,,,,34 - Antena2
0,017,,tv/vid,01 - TV/Vid,,,,,,,,
CH+,018,,prev,19 - PrevCH,,,,,,,,
PrevCH,019,,menu,20 - menu,Flip back to previous channel,,,,,,,
Menu,026,,guide,23 - PicMode,TV main menu (Exit exits),,,,,,,
Info,031,,up arrow,35 - Up,Display info,,,,,,,
100+,035,,down arrow,36 - Down,UQ file (I didn't learn it),,,,,,,
PicMode,040,,left arrow,39 - Left,Picture mode menu,,,,,,,
SoundMode,043,,right arrow,37 - Right,Sound mode menu (not used),,,,,,,
ReturnFromMenu,045,,select,40 - EnterConfirmMenuItem,Exits main TV menu,,,,,,,
Antena,054,,angle/sleep,03 - Sleep,"obc27-no, try 54 and 95",,,,,,,
Ret after surf delay,061,,pip,41 - Mode DevSelect,return to last ch after preset delay,,,,,,,
PicSize,062,,info,21 - Info,"Picture size: normal, zoom",,,,,,,
dvd-a,067,,swap,28 - PicSize,no as possible comp input,,,,,,,
REW,069,,move,,"for vcr,dvd - ignore",,,,,,,
Stop,070,,play,,"for vcr,dvd - ignore",,,,,,,
Play-Pause,071,,pause (yellow),,"for vcr,dvd - ignore",,,,,,,
FWD,072,,rewind,,"for vcr,dvd - ignore",,,,,,,
Antena2,095,,fast fwd,,maybe this for tv-tuner input,,,,,,,
Up,096,,stop,,Navigation buttons,,,,,,,
Down,097,,record,,Navigation buttons,,,,,,,
Right,098,,exit,25 - ReturnFromMenu,Navigation buttons,,,,,,,
Turbo,100,,surround,,"Turbo sound on,off (not used)",,,,,,,
Left,101,,audio/CC,00 - Multichannel TV Stereo,Navigation buttons,,,,,,,
EnterConfirmMenuItem,104,,+100,,confirm change of item from Menu,,,,,,,
Mode DevSelect,125,,fav/scan,,"selects:tv,stb,vcr,cable,dvd",,,,,,,
Video-1,132,,device button,,not working,,,,,,,
