Name:,Panasonic CT-36HX40B hd tv.xls,,,,v8.06,,,,,,,CURRENT DATA
Devices:,Panasonic,128,0,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,2000,05 = RCU810,02 - TV,EFC,USE,,,,,,,
RCU810 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 37 BF (TV/2000),,,,,,,,,,,,
C9 15 72 AA FE E9 FE BF FB FE FF FB 7B B3 D3 53 43 13 63 B5 B5 D3 53 7B FB 5F 25 85 BF DF 7F 3F 83,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 2D F3 37 BF 45 2E F3 37 BF 59 2F F3 37 BF 19 25 F3 37 BF E3 26 F3 37 BF D9 27 F3 37 BF C5,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 C9 (S3C8+),,,,,,,,,,,,
45 91 51 8B 12 8F 44 08 08 00 DA 00 C6 00 DA 02 7B 90 C9 06 D0 03 54 E6 0C E8 60 03 20 01 E4 08 09 B4 03 09 20 10 F6 01 46 F6 01 0A FB 0D 00 0C EB F4 C6 3E 00 00 B0 4A F6 01 0A AF,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,214,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,249,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,117,,1,01 - num 1,,,,,,,,
num 2,121,,2,02 - num 2,,,,,,,,
num 3,119,,3,03 - num 3,,,,,,,,
num 4,123,,4,04 - num 4,,,,,,,,
num 5,116,,5,05 - num 5,,,,,,,,
num 6,120,,6,06 - num 6,,,,,,,,
num 7,118,,7,07 - num 7,,,,,,,,
num 8,122,,8,08 - num 8,,,,,,,,
num 9,245,,9,09 - num 9,,,,,,,,
vol up,213,,vol up,10 - vol up,also right arrow,,,,,,,
vol down,217,,vol down,11 - vol down,also left arrow,,,,,,,
mute,151,,mute,12 - mute,,,,,,,,
channel up,148,,channel up,13 - channel up,also up arrow,,,,,,,
channel down,152,,channel down,14 - channel down,also down arrow,,,,,,,
power,024,,on/off,15 - power,ON/OFF,,,,,,,
enter,,,enter,,,,,,,,,
tv/vcr,,,tv/vcr,,,,,,,,,
last (prev ch),154,,go back,16 - last (prev ch),R-TUNE,,,,,,,
menu,103,,menu,17 - menu,ACTION,,,,,,,
program guide,,,guide,,,,,,,,,
up arrow,,,up arrow,13 - channel up,,,,,,,,
down arrow,,,down arrow,14 - channel down,,,,,,,,
left arrow,,,left arrow,11 - vol down,,,,,,,,
right arrow,,,right arrow,10 - vol up,,,,,,,,
select,,,select,17 - menu,,,,,,,,
sleep,,,sleep,,,,,,,,,
pip on/off,232,,pip on/off,27 - split/size pip,,,,,,,,
display,025,,info,19 - display,RECALL,,,,,,,
pip swap,230,,pip swap,20 - pip swap,,,,,,,,
pip move,202,,pip move,,,,,,,,,
play,,,play,29 - video 2,,,,,,,,
pause,,,pause,31 - video 4,,,,,,,,
rewind,,,rewind,28 - video 1,,,,,,,,
fast fwd,,,fast fwd,30 - video 3,,,,,,,,
stop,,,stop,,,,,,,,,
record,,,record,32 - power on,,,,,,,,
exit,,,clear,,,,,,,,,
surround,,,surround,,,,,,,,,
input toggle,184,,input,22 - input toggle,TV/VIDEO,,,,,,,
+100,,,+100,,,,,,,,,
fav/scan,,,fav/scan,,,,,,,,,
device button,,,device button,,,,,,,,,
next track,,,next track,,,,,,,,,
prev track,,,prev track,,,,,,,,,
shift-left,,,shift-left,,,,,,,,,
shift-right,,,shift-right,,,,,,,,,
pip freeze,228,,pip freeze,,,,,,,,,
slow,,,slow,,,,,,,,,
eject,,,eject,,,,,,,,,
slow+,,,slow+,,,,,,,,,
slow-,,,slow-,,,,,,,,,
x2,,,x2,,,,,,,,,
center,,,center,,,,,,,,,
rear,,,rear,,,,,,,,,
search pip,021,,phantom1,,,,,,,,,
pip ch. up,196,,phantom2,,,,,,,,,
pip ch. down,200,,phantom3,,,,,,,,,
split/size pip,235,,phantom4,,,,,,,,,
video 1,185,,phantom5,,n/a on original remote,,,,,,,
video 2,183,,phantom6,,n/a on original remote,,,,,,,
video 3,187,,phantom7,,n/a on original remote,,,,,,,
video 4,180,,phantom8,,n/a on original remote,,,,,,,
power on,022,,phantom9,,n/a on original remote,,,,,,,
power off,026,,phantom10,,n/a on original remote,,,,,,,
component 1,,,setup,,cannot find code,,,,,,,
component 2,,,light,,cannot find code,,,,,,,
reset,018,,theater,,WARNING!!! (see note!!!),,,,,,,
,,,M1,18 - pip on/off,,,,,,,,
,,,M2,26 - pip ch. down,,,,,,,,
,,,M3,21 - pip move,,,,,,,,
