Name:,SA Explorer 8300 HD,,,,v8.33,,,,,,,CURRENT DATA
Devices:,Panasonic (old),27,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,66,NO,,,,,,,
Setup:,1877,27 = URC-9910 / 8910 / UEI HTPro,01 - Cable,EFC,USE,90 90 90,1,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 67 55 (Cable/1877) SA Explorer 8300 HD (KM v8.33),,,,,,,,,,,,
00 02 7E FE 3E E1 90 90 90 07 87 47 BB 7B E3 73 13 43 D3 C3 23 33 9F 63 37 B3 CF A3 97 17 2F AF C9,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 00 (S3C8+) Panasonic (old) (KM v8.33),,,,,,,,,,,,
28 60 31 8B 12 D5 45 05 06 01 A4 01 90 01 A4 04 E2 C4 CC 06 90 06 7C 60 06 08 06 56 C0 03 09 01 87 10 03 90 C1 97 10 03 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,214,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,090,,1,01 - num 1,,,,,,,,
num 2,086,,2,02 - num 2,,,,,,,,
num 3,088,,3,03 - num 3,,,,,,,,
num 4,084,,4,04 - num 4,,,,,,,,
num 5,091,,5,05 - num 5,,,,,,,,
num 6,087,,6,06 - num 6,,,,,,,,
num 7,089,,7,07 - num 7,,,,,,,,
num 8,085,,8,08 - num 8,,,,,,,,
num 9,218,,9,09 - num 9,,,,,,,,
vol up,250,,vol up,10 - vol up,,,,,,,,
vol down,246,,vol down,11 - vol down,,,,,,,,
mute,248,,mute,12 - mute,,,,,,,,
channel up,215,,channel up,13 - channel up,,,,,,,,
channel down,217,,channel down,14 - channel down,,,,,,,,
power,021,,power,15 - power,,,,,,,,
menu,182,,enter,25 - enter,,,,,,,,
program/guide,025,,tv/vid,26 - Video Source,,,,,,,,
display/info,154,,prev,27 - last/prev ch,,,,,,,,
exit,123,,menu,16 - menu,,,,,,,,
up arrow,024,,guide,17 - program/guide,,,,,,,,
down arrow,148,,up arrow,20 - up arrow,,,,,,,,
left arrow,020,,down arrow,21 - down arrow,,,,,,,,
right arrow,027,,left arrow,22 - left arrow,,,,,,,,
select,155,,right arrow,23 - right arrow,,,,,,,,
enter,068,,select,24 - select,,,,,,,,
Video Source,151,,sleep,,,,,,,,,
last/prev ch,153,,pip,,,,,,,,,
,,,info,18 - display/info,,,,,,,,
play,052,,swap,,,,,,,,,
pause,023,,move,,,,,,,,,
rewind,118,,play,28 - play,,,,,,,,
fast fwd,122,,pause,29 - pause,,,,,,,,
stop,059,,rewind,30 - rewind,,,,,,,,
record,055,,fwd,31 - fast fwd,,,,,,,,
f.fwd/next track,057,,stop,32 - stop,,,,,,,,
f.rew/prev track,053,,record,33 - record,,,,,,,,
,,,exit,19 - exit,,,,,,,,
pip on/off,180,,surround,,,,,,,,,
pip swap,187,,input,,,,,,,,,
pip move,183,,+100,,,,,,,,,
,,,fav/scan,,,,,,,,,
pip chnl +,121,,device button,,,,,,,,,
pip chnl -,181,,f fwd,,,,,,,,,
A,117,,f rew,,,,,,,,,
B,058,,com/skip,,,,,,,,,
C,054,,shift-right,,,,,,,,,
Settings,182,,pip freeze,,,,,,,,,
List,249,,slow,,,,,,,,,
Live,216,,eject,,,,,,,,,
Help,119,,slow+,,,,,,,,,
Day +,149,,slow-,,,,,,,,,
Day -,090,,x2,,,,,,,,,
Page +,057,,center,,,,,,,,,
Page -,053,,rear,,,,,,,,,
*,149,,phantom1,,,,,,,,,
#,184,,phantom2,,,,,,,,,
Black Button,084,,phantom3,,,,,,,,,
Skip Back,245,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
