Name:,Sony DHG-M55CV/A,,,,v6.12b,,CURRENT DATA
Devices:,Sony20,26,114,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,
Setup,1055,18 = 15-2104,01 - Cable,OBC,USE,,
15-2104 Device Upgrade Code (23 bytes):,,,,,,,
Upgrade code 0 = 04 1F (Cable/1055),,,,,,,
DE 15 3C FE 71 58 4E 00 08 88 58 90 D0 1C 76 4E,,,,,,,
CE AE 2E 6E 5C 38 D8,,,,,,,
End,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Protocol Code:,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Functions,OBC,byte2,Buttons,Functions,Notes,Device Combiner (max 16):,
num 0,009,,0,00 - num 0,,Protocol ID,Fixed Data
num 1,000,,1,01 - num 1,,,
num 2,001,,2,02 - num 2,,,
num 3,002,,3,03 - num 3,,,
num 4,003,,4,04 - num 4,,,
num 5,004,,5,05 - num 5,,,
num 6,005,,6,06 - num 6,,,
num 7,006,,7,07 - num 7,,,
num 8,007,,8,08 - num 8,,,
num 9,008,,9,09 - num 9,,,
vol up,,,vol up,vol up,,,
vol down,,,vol down,vol down,,,
mute,,,mute,mute,,,
channel up,016,,channel up,10 - channel up,,,
channel down,017,,channel down,11 - channel down,,,
power,026,,power,12 - power,,,
*,010,,enter,00 - *,,,
#,011,,tv/vcr,14 - #,,,
last (prev ch),,,last,last (prev ch),,,
menu,056,,menu,15 - menu,,,
program guide,110,,guide,16 - program guide,,,
up arrow,114,,up arrow,17 - up arrow,,,
down arrow,115,,down arrow,18 - down arrow,,,
left arrow,117,,left arrow,19 - left arrow,,,
right arrow,116,,right arrow,20 - right arrow,,,
select,118,,select,21 - select,,,
sleep,,,sleep,sleep,,,
pip on/off,,,pip on/off,pip on/off,,,
display,058,,info,22 - display,,,
pip swap,,,pip swap,pip swap,,,
pip move,,,pip move,pip move,,,
play,026,,play,play,,,
pause,025,,pause,pause,,,
rewind,027,,rewind,25 - rewind,,,
fast fwd,028,,fast fwd,26 - fast fwd,,,
stop,024,,stop,stop,,,
record,,,record,record,,,
exit,,,exit,exit,,,
surround,,,surround,surround,,,
input toggle,037,,input,input toggle,,,
cable,021,,+100,,,,
fwd,075,,fav/scan,,,,
back,076,,device button,,,,
full tv,099,,shift-up,,,,
viewer,100,,shift-down,,,,
shortcut,108,,shift-left,,,,
fav,111,,shift-right,,,,
,,,pip freeze,,,,
,,,slow,,,,
,,,eject,,,,
,,,slow+,,,,
,,,slow-,,,,
,,,X2,,,,
,,,center,,,,
,,,rear,,,,
,,,Phantom1,,,,
,,,Phantom2,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Line Notes:,,,,Free-form Notes:,,,
,,,,2002-12-07: Adapted by Pete Thomas from 15-1994 version of Sony DHG-M55CVŠobtained from groups.yahoo.com/group/jp1 files area.ŠRevisions: sub-device from 144 to 114 (based on learned codes)Špower definition (OBC 026) addedŠremote type 1994 to 2104,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,EOF Marker - DO NOT DELETE
