Name:,Amino STB v3,,,,v9.08a,,,,,,,CURRENT DATA
Devices:,Manual Settings,13,0,,,,,,,,,
Manual:,01FF,2 = after cmd,MSB,88,NO,,,,,,,
Setup:,2000,99 = URC-6131 PVR,14 - Video Acc,OBC,USE,0D 00,2,No,,,,
URC-6131 PVR Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 0F D0 (Video Acc/2000) Amino STB v3 (KM v9.08a),,,,,,,,,,,,
FF 00 BA 9E 44 69 0D 00 0C 48 02 AE 03 BF 04 C0 05 D1 06 E2 07 F3 08 04 09 15 0A 26 11 AE 14 D1 01 9D 12 BF 17 04 0B 37 15 E2 19 26 16 F3 18 15 0D 59 1D 6A 1B 48 1A 37 1C 59,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,
Upgrade Protocol 0 = 01 FF (S3C8+) Custom Protocol for Video Acc/2000 Amino STB v3 (KM v9.08a),,,,,,,,,,,,
2E 5E 22 8B 17 8F 84 10 08 08 00 87 00 73 00 87 00 73 98 21 01 95 00 00 03 B1 03 14 68 06 F6 FF 2F B6 03 04 F0 C6 F6 FF 2F F6 01 0A 7B F8 AF 1C 22 F6 01 4C 69 06 46 06 F0 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,0,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,012,48,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,002,AE,1,01 - num 1,,,,,,,,
num 2,003,BF,2,02 - num 2,,,,,,,,
num 3,004,C0,3,03 - num 3,,,,,,,,
num 4,005,D1,4,04 - num 4,,,,,,,,
num 5,006,E2,5,05 - num 5,,,,,,,,
num 6,007,F3,6,06 - num 6,,,,,,,,
num 7,008,04,7,07 - num 7,,,,,,,,
num 8,009,15,8,08 - num 8,,,,,,,,
num 9,010,26,9,09 - num 9,,,,,,,,
100,013,59,vol up,,,,,,,,,
