Name:,Pioneer Voyager BD-V3500 Digital Cable Box (Time-Warner),,,,v7.07,,,,,,,CURRENT DATA
Devices:,Panasonic (old),27,27,27,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,66,NO,,,,,,,
Setup,1477,01 = 15-1994,01 - Cable,EFC,USE,,,,,,,
Device Upgrade/Key Move Code:,,,,Protocol Code:,,,,,,,,
Upgrade code 0 = 05 C5 (Cable/1477),,,,Upgrade protocol 0 = 00 00 (S3C8),,,,,,,,
00 00 F6 FE FC F9 90 90 90 9A 0A 8A 4A CA 2A AA,,,,28 60 31 8B 12 D5 45 05 06 01 A4 01 90 01 A4 04,,,,,,,,
6A EA 1A 06 86 46 BA 7A E2 B2 72 CE A2 96 16 2E,,,,E2 C4 CC 06 90 06 7C 60 06 08 06 56 C0 03 09 01,,,,,,,,
AE 9E 62 42 D2 C2 22 32 B6 12 6E EE 36,,,,87 10 03 90 C1 97 10 03 8D 01 33,,,,,,,,
KeyMoves,,,,End,,,,,,,,
14 F3 05 C5 FA 21 F3 05 C5 F6 22 F3 05 C5 0E 23,,,,,,,,,,,,
F3 05 C5 8E,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Key Move Code:,,,229,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
digit 1,098,,0,09 - digit 0,,Protocol ID,Fixed Data,,,,,
digit 2,094,,1,00 - digit 1,,,,,,,,
digit 3,096,,2,01 - digit 2,,,,,,,,
digit 4,092,,3,02 - digit 3,,,,,,,,
digit 5,099,,4,03 - digit 4,,,,,,,,
digit 6,095,,5,04 - digit 5,,,,,,,,
digit 7,097,,6,05 - digit 6,,,,,,,,
digit 8,093,,7,06 - digit 7,,,,,,,,
digit 9,226,,8,07 - digit 8,,,,,,,,
digit 0,222,,9,08 - digit 9,,,,,,,,
VOL+,002,,vol up,10 - VOL+,,,,,,,,
VOL-,254,,vol down,11 - VOL-,,,,,,,,
MUTE,000,,mute,12 - MUTE,,,,,,,,
CH+,223,,channel up,13 - CH+,,,,,,,,
CH-,225,,channel down,14 - CH-,,,,,,,,
POWER,029,,power,15 - POWER,,,,,,,,
SETTINGS MENU,190,,enter,,,,,,,,,
GUIDE,033,,tv/vcr,38 - BYPASS,,,,,,,,
INFO,162,,last,30 - LAST,,,,,,,,
PAGE+,065,,menu,16 - SETTINGS MENU,,,,,,,,
PAGE-,061,,program / guide,17 - GUIDE,,,,,,,,
UP ARROW,032,,up arrow,21 - UP ARROW,,,,,,,,
DOWN ARROW,156,,down arrow,22 - DOWN ARROW,,,,,,,,
LEFT ARROW,028,,left arrow,23 - LEFT ARROW,,,,,,,,
RIGHT ARROW,035,,right arrow,24 - RIGHT ARROW,,,,,,,,
SELECT/OK,163,,select,25 - SELECT/OK,,,,,,,,
EXIT,131,,sleep,,,,,,,,,
A-TRIANGLE,125,,pip,39 - HELP,,,,,,,,
B-SQUARE,066,,display,18 - INFO,,,,,,,,
C-CIRCLE,062,,swap,19 - PAGE+,,,,,,,,
LAST,161,,move,20 - PAGE-,,,,,,,,
FAV,221,,play,32 - PLAY,,,,,,,,
PLAY,060,,pause,33 - PAUSE,,,,,,,,
PAUSE,031,,rewind,35 - REWIND,,,,,,,,
STOP,067,,fast fwd,36 - FAST FORWARD,,,,,,,,
REWIND,126,,stop,34 - STOP,,,,,,,,
FAST FORWARD,130,,record,37 - RECORD,,,,,,,,
RECORD,063,,exit,26 - EXIT,,,,,,,,
BYPASS,159,,surround,,,,,,,,,
HELP,127,,input,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav/scan,31 - FAV,,,,,,,,
,,,device button,,,,,,,,,
,,,shift-up,,,,,,,,,
,,,shift-down,,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
