Name:,Maxplus 2100s,,,,v9.14,,,,,,,CURRENT DATA,
Devices:,NEC1,1,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,2000,99 = URC-6131 PVR,01 - Cable,OBC,USE,00 7F 7F,1,No,,,,,
URC-6131 PVR Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 07 D0 (Cable/2000) Maxplus 2100s (KM v9.14),,,,,,,,,,,,,
5A 00 FE 3E B4 69 00 7F 7F 8F 7F BF 9F DF 5F 1F EF AF 2F 17 D7 3F 57 97 FF F7 67 B7 77 57 97 D7 17 E7 87 4F 47 7D 1D BD,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v9.14),,,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,226,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
0,014,,0,00 - 0,,Protocol ID,Fixed Data,,,,,,1F
1,001,,1,01 - 1,,,,,,,,,15
2,002,,2,02 - 2,,,,,,,,,16
3,006,,3,03 - 3,,,,,,,,,17
4,004,,4,04 - 4,,,,,,,,,19
5,005,,5,05 - 5,,,,,,,,,1A
6,007,,6,06 - 6,,,,,,,,,1B
7,008,,7,07 - 7,,,,,,,,,1C
8,010,,8,08 - 8,,,,,,,,,1D
9,011,,9,09 - 9,,,,,,,,,1E
BLUE,029,,vol up,31 - VOL_UP,,,,,,,,,04
CH_DOWN,022,,vol down,30 - VOL_DOWN,,,,,,,,,05
CH_UP,021,,mute,20 - mute,,,,,,,,,08
COLOR,031,,channel up,12 - CH_UP,,,,,,,,,06
EPG,024,,channel down,11 - CH_DOWN,,,,,,,,,07
EXIT,017,,power,26 - STDBY,,,,,,,,,03
GREEN,065,,enter,,,,,,,,,,12
GROUP,019,,tv/vid,,,,,,,,,,13
INFO,025,,prev,,,,,,,,,,23
MENU,016,,menu,19 - menu,,,,,,,,,21
MUTE,003,,guide,14 - EPG,,,,,,,,,14
OK,018,,up arrow,12 - CH_UP,,,,,,,,,31
PAGE_DOWN,013,,down arrow,11 - CH_DOWN,,,,,,,,,32
PAGE_UP,030,,left arrow,30 - VOL_DOWN,,,,,,,,,33
PAUSE,026,,right arrow,31 - VOL_UP,,,,,,,,,34
RED,071,,select,21 - OK,,,,,,,,,35
STDBY,000,,angle/sleep,,,,,,,,,,26
TV_RAD,012,,pip,,,,,,,,,,2F
TV_SAT,015,,info,18 - INFO,,,,,,,,,18
UHF,028,,swap,,,,,,,,,,20
VOL_DOWN,020,,move,,,,,,,,,,30
VOL_UP,023,,play,,,,,,,,,,0C
YELLOW,066,,pause (yellow),32 - YELLOW,,,,,,,,,0F
stop,,,rewind,,,,,,,,,,0B
record,,,fast fwd,,,,,,,,,,0D
f.fwd/next track,,,stop,,,,,,,,,,0E
f.rew/prev track,,,record,,,,,,,,,,10
+100,,,exit,15 - exit,,,,,,,,,24
pip on/off,,,,,,,,,,,,,
pip swap,,,,,,,,,,,,,
pip move,,,,,,,,,,,,,
pip freeze,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,next track,23 - PAGE_UP,,,,,,,,,2B
,,,prev track,22 - PAGE_DOWN,,,,,,,,,2A
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,slow,,,,,,,,,,2E
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,phantom1,,,,,,,,,,3D
