Name:,Pioneer-Cable-BDV1000,,,,v9.19,,,,,,,,CURRENT DATA
Devices:,Panasonic (old),27,27,27,,,,,,,,,
Manual:,,0 = 1-byte,0 = 1-byte,66,NO,,,,,,,,
Setup:,1477,07 = URC-9800 / 8800,01 - Cable,EFC,DON'T USE,90 90 90,1,No,,,,,
URC-9800 / 8800 Device Upgrade/Key Move Code:,,,,,,,,,,,,,
Upgrade Code 0 = 05 C5 (Cable/1477) Pioneer-Cable-BDV1000 (KM v9.19),,,,,,,,,,,,,
00 00 FC DE CC 61 90 90 90 9B 0B 8B 4B CB 2B AB 6B EB 1B 07 87 47 BB 7B E3 33 73 FB 63 33 9F 43 D3 C3 23 F7 8F 0F 13,,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,,
 A5 F3 05 C5 8F«c»,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 00 (P8/740) Panasonic (old) (KM v9.19),,,,,,,,,,,,,
05 0E 31 80 0F F4 B2 01 30 05 06 02 08 04 3E 62 70 C0 05 5A 44 60 A5 60 29 03 AA 85 5B 16 5D 4C 00 FF,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,195,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,214,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,13
num 1,090,,1,01 - num 1,,,,,,,,,1C
num 2,086,,2,02 - num 2,,,,,,,,,14
num 3,088,,3,03 - num 3,,,,,,,,,0C
num 4,084,,4,04 - num 4,,,,,,,,,1D
num 5,091,,5,05 - num 5,,,,,,,,,15
num 6,087,,6,06 - num 6,,,,,,,,,0D
num 7,089,,7,07 - num 7,,,,,,,,,1E
num 8,085,,8,08 - num 8,,,,,,,,,16
num 9,218,,9,09 - num 9,,,,,,,,,0E
vol up,250,,vol up,10 - vol up,,,,,,,,,06
