Name:,Motorola DCT2244 Cable,,,,v9.01,,,,,,,CURRENT DATA
Devices:,GI Cable,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,08,NO,,,,,,,
Setup:,0244,01 = 15-1994,01 - Cable,EFC,USE,,1,,,,,
15-1994 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 00 F4 (Cable/0244) Motorola DCT2244 Cable (KM v9.01),,,,,,,,,,,,
C4 08 6E FE FC 49 48 C8 28 D0 30 02 28 C8 D8 F8 78 B8 38 8C 98 0C 2C AC 6C EC 88 CC 48,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 C4 (S3C8) GI Cable (KM v9.01),,,,,,,,,,,,
43 8B 01 8B 12 CC 4D 00 08 00 FA 08 B6 00 FA 04 51 C3 3C 11 94 08 B6 20 11 08 03 F6 80 36 08 04 F0 C0 56 C0 F0 04 04 C0 60 C0 56 C0 F0 06 C0 10 F6 80 36 8D 01 33 1C 08 C0 C0 10 04 1A FA AF,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,229,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,018,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,014,,1,01 - num 1,,,,,,,,
num 2,016,,2,02 - num 2,,,,,,,,
num 3,012,,3,03 - num 3,,,,,,,,
num 4,019,,4,04 - num 4,,,,,,,,
num 5,015,,5,05 - num 5,,,,,,,,
num 6,017,,6,06 - num 6,,,,,,,,
num 7,013,,7,07 - num 7,,,,,,,,
num 8,146,,8,08 - num 8,,,,,,,,
num 9,142,,9,09 - num 9,,,,,,,,
vol up,080,,vol up,10 - vol up,,,,,,,,
vol down,076,,vol down,11 - vol down,,,,,,,,
mute,083,,mute,12 - mute,,,,,,,,
channel up,140,,channel up,13 - channel up,,,,,,,,
channel down,147,,channel down,14 - channel down,,,,,,,,
power,144,,power,,,,,,,,,
menu,206,,enter,25 - enter,,,,,,,,
program/guide,050,,tv/vcr,26 - tv/vcr,,,,,,,,
display/info,044,,last,27 - last/prev ch,,,,,,,,
exit,080,,menu,16 - menu,,,,,,,,
up arrow,051,,program / guide,17 - program/guide,,,,,,,,
down arrow,047,,up arrow,20 - up arrow,,,,,,,,
left arrow,049,,down arrow,21 - down arrow,,,,,,,,
right arrow,045,,left arrow,22 - left arrow,,,,,,,,
select,078,,right arrow,23 - right arrow,,,,,,,,
enter,034,,select,24 - select,,,,,,,,
tv/vcr,083,,sleep,,,,,,,,,
last/prev ch,076,,pip,,,,,,,,,
sleep,,,display,18 - display/info,,,,,,,,
play,204,,swap,,,,,,,,,
pause,205,,move,,,,,,,,,
rewind,209,,play,28 - play,,,,,,,,
fast fwd,207,,pause,29 - pause,,,,,,,,
stop,211,,rewind,30 - rewind,,,,,,,,
record,046,,fast fwd,31 - fast fwd,,,,,,,,
f.fwd/next track,,,stop,32 - stop,,,,,,,,
f.rew/prev track,,,record,33 - record,,,,,,,,
+100,,,exit,19 - exit,,,,,,,,
pip on/off,,,surround,,,,,,,,,
pip swap,,,input,,,,,,,,,
pip move,,,+100,,,,,,,,,
pip freeze,,,fav/scan,,,,,,,,,
fav,079,,device button,,,,,,,,,
help,048,,next track,,,,,,,,,
HD Zoom,034,,prev track,,,,,,,,,
page up,176,,shift-left,,,,,,,,,
