Name:,Relook Mutant 400S,,,,v9.07,,,,,,,CURRENT DATA
Devices:,StreamZap,2,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,77,NO,,,,,,,
Setup:,2001,06 = URC-7560 / 7562,01 - Cable,OBC,USE,FB,1,No,,,,
URC-7560 / 7562 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 0F D1 (Cable/2001) Relook Mutant 400S (KM v9.07),,,,,,,,,,,,
23 00 F6 3C 2D FB 3C 3A 36 30 2E 28 24 22 1E 18 0A 0C 4E 14 12 56 66 6A 5C 00 5A 72 06 60 60,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,
Upgrade Protocol 0 = 01 23 (S3C8+) StreamZap (KM v9.07),,,,,,,,,,,,
43 8C 11 8B 13 85 85 10 08 06 01 A6 01 92 01 A6 01 92 A3 34 01 A6 00 00 10 04 C0 03 08 00 27 0D 03 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,224,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,033,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,034,,1,01 - num 1,,,,,,,,
num 2,036,,2,02 - num 2,,,,,,,,
num 3,039,,3,03 - num 3,,,,,,,,
num 4,040,,4,04 - num 4,,,,,,,,
num 5,043,,5,05 - num 5,,,,,,,,
num 6,045,,6,06 - num 6,,,,,,,,
num 7,046,,7,07 - num 7,,,,,,,,
num 8,048,,8,08 - num 8,,,,,,,,
num 9,051,,9,09 - num 9,,,,,,,,
Left arrow,057,,vol up,11 - right arrow,,,,,,,,
right arrow,058,,vol down,10 - Left arrow,,,,,,,,
OK,063,,mute,24 - mute,,,,,,,,
Up arrow,053,,channel up,13 - Up arrow,,,,,,,,
Down arrow,054,,channel down,14 - Down arrow,,,,,,,,
power,020,,power,15 - power,,,,,,,,
menu,,,auto,,,,,,,,,
EPG,012,,tv/vcr,,,,,,,,,
Files,018,,prev ch,,,,,,,,,
Bookmark,,,menu,,,,,,,,,
Fav,017,,guide,,,,,,,,,
P/PG +,,,up arrow,18 - Fav,,,,,,,,
P/PG -,,,down arrow,12 - OK,,,,,,,,
Vol +,,,left arrow,17 - Files,,,,,,,,
Vol -,,,right arrow,19 - info,,,,,,,,
slow,,,enter,,,,,,,,,
info,006,,sleep,,,,,,,,,
rcl,010,,pip on/off,,,,,,,,,
play,,,display,,,,,,,,,
pause,015,,pip swap,,,,,,,,,
rewind,060,,pip move,,,,,,,,,
fast fwd,,,play,,,,,,,,,
stop,,,pause,21 - pause,,,,,,,,
record,015,,rewind,22 - rewind,,,,,,,,
repeat,,,fast fwd,,,,,,,,,
Alt Audio,,,stop,,,,,,,,,
red,,,record,23 - record,,,,,,,,
green,,,exit,,,,,,,,,
yellow,,,surround,,,,,,,,,
blue,,,av,20 - rcl,,,,,,,,
mute,024,,+10,16 - EPG,,,,,,,,
exit,,,fav/scan,,,,,,,,,
multifeed,,,device button,,,,,,,,,
subtitle,,,next track,,,,,,,,,
,,,sp/lp,,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,a,,,,,,,,,
,,,b,,,,,,,,,
,,,c,,,,,,,,,
,,,color+ ($_vol+),,,,,,,,,
,,,color- ($_vol-),,,,,,,,,
,,,bright+ ($_ch+),,,,,,,,,
,,,bright- ($_ch-),,,,,,,,,
,,,d,,,,,,,,,
,,,e,,,,,,,,,
,,,f,,,,,,,,,
,,,g,,,,,,,,,
,,,h,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,discreteON,,,,,,,,,
,,,descreteOFF,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
