Name:,Dish Network,,,,v9.19,,,,,,,,CURRENT DATA
Devices:,Dish Network,,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,56,NO,,,,,,,,
Setup:,1775,18 = 15-2104,03 - VCR,EFC,USE,00 00,1,No,,,,,
15-2104 Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 26 EF (VCR/1775) Dish Network (KM v9.19),,,,,,,,,,,,,
02 1F 3A FE 7E C1 00 00 68 78 08 40 6C 2C 50 68 78 70 60 40 00 0C 80 C4 C8 84 7C 48,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 02 (S3C8+) Dish Network (KM v9.19),,,,,,,,,,,,,
2B 5C 21 8B 14 B7 59 05 06 00 C5 03 32 00 C5 05 73 0B F2 00 C5 0B F2 05 02 8D 01 46,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,224,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,240,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,1F
num 1,146,,1,01 - num 1,,,,,,,,,15
num 2,114,,2,02 - num 2,,,,,,,,,16
num 3,210,,3,03 - num 3,,,,,,,,,17
num 4,019,,4,04 - num 4,,,,,,,,,19
num 5,243,,5,05 - num 5,,,,,,,,,1A
num 6,083,,6,06 - num 6,,,,,,,,,1B
num 7,147,,7,07 - num 7,,,,,,,,,1C
num 8,115,,8,08 - num 8,,,,,,,,,1D
