Name:,Fortec Star Lifetime,,,,v8.17,,,,,,,CURRENT DATA
Devices:,NEC1,32,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1786,99 = 15-2117 / 15-2116,07 - SAT,OBC,USE,00 FB FB,1,,,,,
15-2117 / 15-2116 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 76 FA (SAT/1786),,,,,,,,,,,,
5A 1A 76 F8 D8 81 00 FB FB CF 4F 8F AF 2F 0F 67 77 37 AF 2F 4F CF F7 E5 15 55 D7,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 30 F3 76 FA 07 2F F3 76 FA 87,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,205,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,009,0,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,000,0,1,01 - num 1,,,,,,,,
num 2,001,0,2,02 - num 2,,,,,,,,
num 3,002,0,3,03 - num 3,,,,,,,,
num 4,003,0,4,04 - num 4,,,,,,,,
num 5,004,0,5,05 - num 5,,,,,,,,
num 6,005,0,6,06 - num 6,,,,,,,,
num 7,006,0,7,07 - num 7,,,,,,,,
num 8,007,0,8,08 - num 8,,,,,,,,
num 9,008,0,9,09 - num 9,,,,,,,,
vol up,012,0,vol up,10 - vol up,,,,,,,,
vol down,013,0,vol down,11 - vol down,,,,,,,,
mute,014,0,mute,12 - mute,,,,,,,,
channel up,010,0,channel up,13 - channel up,,,,,,,,
channel down,011,0,channel down,14 - channel down,,,,,,,,
power,015,0,power,15 - power,,,,,,,,
Exit,017,0,enter,18 - Info,,,,,,,,
OK,025,0,tv/video,25 - sat,,,,,,,,
Info,020,0,last,,,,,,,,,
menu,019,0,menu,19 - menu,,,,,,,,
signal,030,0,guide,,,,,,,,,
up arrow,010,0,up arrow,13 - channel up,,,,,,,,
down arrow,011,0,down arrow,14 - channel down,,,,,,,,
left arrow,013,0,left arrow,23 - left arrow,,,,,,,,
right arrow,012,0,right arrow,24 - right arrow,,,,,,,,
sat,016,0,select,17 - OK,,,,,,,,
Audio,031,0,sleep,26 - Audio,,,,,,,,
f1,087,0,pip,,,,,,,,,
f2,088,0,info,,,,,,,,,
f3,085,0,swap,,,,,,,,,
OK,025,0,move,,,,,OK,,,,
play,,0,play,28 - f2,,,,,,,,
pause,,0,pause,,,,,,,,,
rewind,,0,rewind,27 - f1,,,,,,,,
fast fwd,,0,fast fwd,29 - f3,,,,,,,,
stop,,0,stop,,,,,,,,,
record,,0,record,,,,,,,,,
exit,,0,exit,16 - exit,,,,,,,,
surround,,0,surround,,,,,,,,,
input toggle,,0,input,,,,,,,,,
+100,,0,+100,20 - signal,,,,,,,,
fav/scan,,0,fav/scan,,,,,,,,,
device button,,0,device button,,,,,,,,,
next track,,0,next track,,,,,,,,,
prev track,,0,prev track,,,,,,,,,
shift-left,,0,shift-left,,,,,,,,,
shift-right,,0,shift-right,,,,,,,,,
pip freeze,,0,freeze,,,,,,,,,
slow,,0,slow,,,,,,,,,
eject,,0,eject,,,,,,,,,
slow+,,0,slow+,,,,,,,,,
slow-,,0,slow-,,,,,,,,,
X2,,0,x2,,,,,,,,,
center,,0,center,,,,,,,,,
rear,,0,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,DiscreteON,,,,,,,,,
,,,DiscreteOFF,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,my system,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
