Name:,Hughes HIRD Satellite UNIT2,,,,v8.09,,,,,,,CURRENT DATA
Devices:,NEC1,12,251,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,0749,99 = URC-6131 PVR,07 - SAT,OBC,USE,,,,,,,
URC-6131 PVR Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 02 ED (SAT/0749),,,,,,,,,,,,
5A 00 BE BE C1 20 CF 20 DE 5E 9E 1E EE 6E AE 2E CE 4E BE 3E 56 76 36 E6 96 0E 66 F6 D6 16 B6 8E,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,226,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,132,,0,00 - num 0,All,Protocol ID,Fixed Data,,,,,
num 1,133,,1,01 - num 1,Movies,,,,,,,
num 2,134,,2,02 - num 2,Sports,,,,,,,
num 3,135,,3,03 - num 3,News,,,,,,,
num 4,136,,4,04 - num 4,,,,,,,,
num 5,137,,5,05 - num 5,,,,,,,,
num 6,138,,6,06 - num 6,,,,,,,,
num 7,139,,7,07 - num 7,,,,,,,,
num 8,140,,8,08 - num 8,,,,,,,,
num 9,141,,9,09 - num 9,,,,,,,,
channel up,130,,vol up,,,,,,,,,
channel down,131,,vol down,,,,,,,,,
power,149,,mute,,,,,,,,,
action,142,,channel up,10 - channel up,,,,,,,,
exit,143,,channel down,11 - channel down,,,,,,,,
last (prev ch),150,,power,12 - power,,,,,,,,
fav / list,145,,enter,13 - action,,,,,,,,
guide / menu,146,,tv/vid,,,,,,,,,
up arrow,153,,prev,15 - last (prev ch),,,,,,,,
down arrow,144,,menu,16 - fav / list,,,,,,,,
left arrow,148,,guide,17 - guide / menu,,,,,,,,
right arrow,151,,up arrow,18 - up arrow,,,,,,,,
select,152,,down arrow,19 - down arrow,,,,,,,,
info,147,,left arrow,20 - left arrow,,,,,,,,
,,,right arrow,21 - right arrow,,,,,,,,
,,,select,22 - select,,,,,,,,
,,,angle/sleep,,,,,,,,,
,,,pip,,,,,,,,,
,,,info,23 - info,,,,,,,,
,,,swap,,,,,,,,,
,,,move,,,,,,,,,
,,,play,,,,,,,,,
,,,pause,,,,,,,,,
,,,rewind,,,,,,,,,
,,,fast fwd,,,,,,,,,
,,,stop,,,,,,,,,
,,,record,,,,,,,,,
,,,exit,14 - exit,,,,,,,,
