Name:,Star Choice DSR-530 Addr #0,,,,v8.38,,,,,,,CURRENT DATA
Devices:,GI 4DTV Official,,,,,,,,,,,
Manual:,,0 = 1-byte,0 = 1-byte,28,NO,,,,,,,
Setup:,1869,99 = URC-6131 PVR,07 - SAT,OBC,USE,,2,,,,,
URC-6131 PVR Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 07 4D (SAT/1869) Star Choice DSR-530 Addr #0 (KM v8.38),,,,,,,,,,,,
A4 00 FE FE FE FE C1 D8 E4 0C EC 74 E4 B4 CC 14 F0 64 D0 24 C8 AC D0 6C F8 8C DC 1C D8 DC F0 BC E4 2C E0 F4 D4 9C E8 D4 D8 18 CC C4 EC E4 E0 58 D4 94 C0 38 C0 F8 E8 44 DC 7C CC 84 F4 C4 EC 08 F8 F0 C0 04 C4 54 E8 4C F4 A4 F8 B8 F0 28 F4 88 C8 C8 D0 68 EC E8 DC 48 E0 A8 C4,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 A4 (S3C8+) GI 4DTV Official (KM v8.38),,,,,,,,,,,,
3D 91 02 8B 12 CC 45 00 06 01 F4 01 E0 01 F4 05 C8 C3 3C 09 C4 03 D4 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,0,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,036,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,015,,1,01 - num 1,,,,,,,,
num 2,017,,2,02 - num 2,,,,,,,,
num 3,018,,3,03 - num 3,,,,,,,,
num 4,023,,4,04 - num 4,,,,,,,,
num 5,025,,5,05 - num 5,,,,,,,,
num 6,027,,6,06 - num 6,,,,,,,,
num 7,010,,7,07 - num 7,,,,,,,,
num 8,009,,8,08 - num 8,,,,,,,,
num 9,014,,9,09 - num 9,,,,,,,,
vol up,007,,vol up,10 - vol up,,,,,,,,
vol down,004,,vol down,11 - vol down,,,,,,,,
mute,002,,mute,12 - mute,,,,,,,,
channel up,011,,channel up,13 - channel up,,,,,,,,
channel down,016,,channel down,14 - channel down,,,,,,,,
power,006,,power,15 - power,,,,,,,,
enter,028,,enter,16 - enter,,,,,,,,
tv/vcr,037,,tv/vid,17 - tv/vcr,,,,,,,,
last (prev ch),024,,prev,18 - last (prev ch),,,,,,,,
menu,020,,menu,19 - menu,,,,,,,,
program guide,030,,guide,20 - program guide,,,,,,,,
up arrow,035,,up arrow,21 - up arrow,,,,,,,,
down arrow,032,,down arrow,22 - down arrow,,,,,,,,
left arrow,029,,left arrow,23 - left arrow,,,,,,,,
right arrow,001,,right arrow,24 - right arrow,,,,,,,,
select,028,,select,25 - select,,,,,,,,
info,039,,angle/sleep,,,,,,,,,
play,046,,pip,,,,,,,,,
pause,044,,info,26 - info,,,,,,,,
rewind,041,,swap,,,,,,,,,
fast fwd,040,,move,,,,,,,,,
stop,045,,play,27 - play,,,,,,,,
record,042,,pause,28 - pause,,,,,,,,
exit,022,,rewind,29 - rewind,,,,,,,,
PVR menu,021,,fast fwd,30 - fast fwd,,,,,,,,
skip forward,047,,stop,31 - stop,,,,,,,,
