Name:,Dreambox,,,,v9.19,,,,,,,,CURRENT DATA
Devices:,XMP (JP1),26,0,,,1,,,,,,,
Manual:,01 6C,2 = after cmd,MSB,88,NO,,,,,,,,
Setup:,1237,99 = Dreambox,07 - SAT,OBC,USE,0E 0F 44 1A 00 00 00,1,No,,,,,
Dreambox Device Upgrade/Key Move Code:,,,,,,,,,,,,,
Upgrade Code 0 = 0C B7 (SAT/1237) Dreambox (KM v9.19),,,,,,,,,,,,,
6C 00 FE FE FD 0E 0F 44 1A 00 00 00 00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 50 51 28 20 53 21 22 23 24 25 26 40 41 42 43 27,,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,,
 27 F3 04 B7 45«text»¦10 F3 04 B7 54«help»¦20 F3 04 B7 52«lame! (esc)»  ¦8C F3 04 B7 31«SHIFT-GREEN: toggleIndexmark»¦8B F3 04 B7 30«SHIFT-RED: indexSeekPrev» ¦8D F3 04 B7 33«SHIFT-BLUE: indexSeekNext»,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,,
Upgrade Protocol 0 = 01 6C (S3C8) XMP (JP1) (KM v9.19),,,,,,,,,,,,,
43 8B 71 8B 05 00 00 69 01 67 08 0A F0 C0 04 0A C0 60 C0 0E 04 07 C0 88 C0 B6 C8 08 CF 10 09 6B 05 E4 0A 09 B0 0A C0 C5 F6 80 4E 6C 08 48 0D C6 F8 13 D7 F6 01 45 49 0D F6 01 0A FB 02 6A F0 46 08 80 08 C8 7B E2 37 5E 3F 46 08 10 00 C0 56 C0 0F 56 07 F0 44 C0 07 6C 03 F6 80 63 C6 F8 17 F1 F6 01 45 3C 04 F6 80 73 F6 80 73 6E 3A F7 1C 12 8D 01 39 F6 80 6E F1 C6 C7 26 56 C2 0F 6B 09 C6 F8 00 3E F6 01 45 2A F7 AF,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,224,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,000,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,1F
num 1,001,,1,01 - num 1,,,,,,,,,15
num 2,002,,2,02 - num 2,,,,,,,,,16
num 3,003,,3,03 - num 3,,,,,,,,,17
num 4,004,,4,04 - num 4,,,,,,,,,19
num 5,005,,5,05 - num 5,,,,,,,,,1A
num 6,006,,6,06 - num 6,,,,,,,,,1B
num 7,007,,7,07 - num 7,,,,,,,,,1C
num 8,008,,8,08 - num 8,,,,,,,,,1D
num 9,009,,9,09 - num 9,,,,,,,,,1E
back <,081,,vol up,13 - vol+,,,,,,,,,04
forward >,080,,vol down,14 - vol-,,,,,,,,,05
power,015,,mute,32 - tv_stop,,,,,,,,,0E
vol+,010,,bouquet+,17 - bouquet+,,,,,,,,,06
vol-,011,,bouquet-,18 - bouquet-,,,,,,,,,07
mute,068,,power,12 - power,,,,,,,,,03
lame! (esc),082,,,,,,,,,,,,
bouquet+,013,,back (av),10 - back <,,,,,,,,,11
bouquet-,014,,,,,,,,,,,,
info,040,,dream (menu),20 - dream (menu),,,,,,,,,14
dream (menu),032,,audio,21 - audio,,,,,,,,,25
audio,038,,up arrow,23 - arrow up,,,,,,,,,21
video,039,,down arrow,24 - arrow down,,,,,,,,,22
arrow up,033,,left arrow,25 - arrow left,,,,,,,,,23
arrow down,034,,right arrow,26 - arrow right,,,,,,,,,24
arrow left,035,,ok,27 - ok,,,,,,,,,12
arrow right,036,,,,,,,,,,,,
ok,037,,,,,,,,,,,,
red,064,,info,19 - info,,,,,,,,,13
green,065,,,,,,,,,,,,
yellow,066,,,,,,,,,,,,
blue,067,,green (play),29 - green,,,,,,,,37 - SHIFT-GREEN,0C
tv_stop,012,,yellow (pause),30 - yellow,,,,,,,,,0F
radio,083,,red (rewind),28 - red,,,,,,,,36 - SHIFT-RED,0B
text,069,,blue (fast fwd),31 - blue,,,,,,,,39 - SHIFT-BLUE,0D
help,084,,tv (stop),,,,,,,,,,08
SHIFT-RED,048,,radio (record),33 - radio,indexSeekPrev,,,,,,,,28
SHIFT-GREEN,049,,video,22 - video,toggleIndexmark,,,,,,,,26
SHIFT-YELLOW,050,,,,,,,,,,,,
SHIFT-BLUE,051,,,,indexSeekNext,,,,,,,,
SHIFT-MUTE,052,,forward (-/--),11 - forward >,,,,,,,,,18
SHIFT-RADIO,053,,,,,,,,,,,,
discrete_off,180,,,,,,,,,,,,
discrete_on,232,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,shift-bouquet+,,,,,,,,,,86
,,,shift-bouquet-,,,,,,,,,,87
