Name:,Dreambox 8000,,,,v9.19,,,,,,,,CURRENT DATA
Devices:,XMP (UEI),26,49,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,1651,99 = URC-7555 / 7556,07 - SAT,EFC5,USE,3A 1F 44 1A,2,No,,,,,
URC-7555 / 7556 Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 3E 73 (SAT/1651) Dreambox 8000 (KM v9.19),,,,,,,,,,,,,
6C 47 7E FE DA FE B1 3A 1F 44 1A 0A 00 0B 00 44 00 0D 00 0E 00 0F 00 51 00 50 00 20 00 21 00 22 00 23 00 24 00 25 00 30 00 31 00 32 00 33 00 34 00 35 00 40 00 41 00 42 00 43 00 28 00 28 00 54 00 52 00 0C 00 53 00 5C 00,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Key Move Code:,,,999,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,19141,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,1F
num 1,17093,,1,01 - num 1,,,,,,,,,15
num 2,23237,,2,02 - num 2,,,,,,,,,16
num 3,21189,,3,03 - num 3,,,,,,,,,17
num 4,10949,,4,04 - num 4,,,,,,,,,19
num 5,08901,,5,05 - num 5,,,,,,,,,1A
num 6,15045,,6,06 - num 6,,,,,,,,,1B
num 7,12997,,7,07 - num 7,,,,,,,,,1C
num 8,35525,,8,08 - num 8,,,,,,,,,1D
num 9,33477,,9,09 - num 9,,,,,,,,,1E
vol up,39621,,vol up,10 - vol up,,,,,,,,,04
vol down,37573,,vol down,11 - vol down,,,,,,,,,05
mute,10437,,mute,12 - mute,,,,,,,,,08
bouq+,25285,,channel up,13 - bouq+,,,,,,,,,06
bouq-,31429,,channel down,14 - bouq-,,,,,,,,,07
power,29381,,power,15 - power,,,,,,,,,03
help,43205,,,,,,,,,,,,
OK,09157,,,,,,,,,,,,
stop,43973,,back,27 - exit,,,,,,,,,2B
play,50117,,menu,24 - menu,,,,,,,,,22
FFWD,54213,,guide,26 - info/display,,,,,,,,,2D
rewind,52165,,up arrow,28 - up arrow,,,,,,,,,31
pause,56261,,down arrow,29 - down arrow,,,,,,,,,32
record,41925,,left arrow,30 - left arrow,,,,,,,,,33
menu,19397,,right arrow,31 - right arrow,,,,,,,,,34
TV,27333,,ok,17 - OK,,,,,,,,,35
info/display,35781,,,,,,,,,,,,
exit,55493,,,,,,,,,,,,
up arrow,17349,,info,26 - info/display,,,,,,,,,29
down arrow,23493,,,,,,,,,,,,
left arrow,21445,,,,,,,,,,,,
right arrow,11205,,play,19 - play,,,,,,,,,0C
radio,53445,,pause,22 - pause,,,,,,,,,0F
yellow/A,22725,,rewind,21 - rewind,,,,,,,,,0B
blue/B,20677,,fast fwd,20 - FFWD,,,,,,,,,0D
red/C,18629,,stop,18 - stop,,,,,,,,,0E
green/D,16581,,record,23 - record,,,,,,,,,10
<,49349,,,,,,,,,,,,
>,51397,,,,,,,,,,,,
Off,42949,,AV,38 - >,,,,,,,,,21
On,34245,,-/--,37 - <,,,,,,,,,18
fichier,59589,,fav,41 - fichier,,,,,,,,,24
audio,15301,,radio,32 - radio,,,,,,,,,23
Text,12485,,skip+,,,,,,,,,,14
video,13253,,skip-,,,,,,,,,,13
,,,,,,,,,,,,,
,08389,,,,,,,,,,,,
,14533,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,bright+,,,,,,,,,,86
,,,bright-,,,,,,,,,,87
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,phantom1,,,,,,,,,,2E
,,,phantom2,,,,,,,,,,2F
,,,phantom3,,,,,,,,,,30
,,,phantom4,,,,,,,,,,36
,,,phantom5,,,,,,,,,,37
,,,phantom6,,,,,,,,,,38
,,,phantom7,,,,,,,,,,39
,,,phantom8,,,,,,,,,,3A
,,,phantom9,,,,,,,,,,3B
,,,phantom10,,,,,,,,,,3C
,,,magic,,,,,,,,,,02
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,yellow,33 - yellow/A,,,,,,,,,27
,,,blue,34 - blue/B,,,,,,,,,28
,,,red,35 - red/C,,,,,,,,,25
,,,green,36 - green/D,,,,,,,,,26
,,,PPV,25 - TV,,,,,,,,,2C
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,subt,,,,,,,,,,20
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,colour+,,,,,,,,,,84
,,,colour-,,,,,,,,,,85
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,[?],16 - help,,,,,,,,,2A
,,,phantom11,,,,,,,,,,3D
,,,phantom12,,,,,,,,,,3E
,,,phantom13,,,,,,,,,,3F
,,,phantom14,,,,,,,,,,40
,,,phantom15,,,,,,,,,,41
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
