Name:,D-Smart NEXT YE-9950 CIS,,,,v9.09,,,,,,,CURRENT DATA
Devices:,NEC1,0,80,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,2000,99 = URC-8060 (Euro Kameleon),07 - SAT,OBC,USE,20 FF F5,1,No,,,,
URC-8060 (Euro Kameleon) Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 07 D0 (SAT/2000) D-Smart NEXT YE-9950 CIS (KM v9.09),,,,,,,,,,,,
5A 00 FE F2 BC 91 20 FF F5 CF 3F DF 5F 9F 1F EF 6F AF 2F 07 FD E7 F7 0F FF 8F 77 57 B7 D7 37 3D 27 DD C7 47 A7 87 A7 8D,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v9.09),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,729,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
Power,000,,0,10 - 0,,Protocol ID,Fixed Data,,,,,
1,003,,1,01 - 1,,,,,,,,
2,004,,2,02 - 2,,,,,,,,
3,005,,3,03 - 3,,,,,,,,
4,006,,4,04 - 4,,,,,,,,
5,007,,5,05 - 5,,,,,,,,
6,008,,6,06 - 6,,,,,,,,
7,009,,7,07 - 7,,,,,,,,
8,010,,8,08 - 8,,,,,,,,
9,011,,9,09 - 9,,,,,,,,
0,012,,vol up,13 - VOL+,,,,,,,,
b-mail,002,,vol down,14 - VOL-,,,,,,,,
help,023,,mute,15 - mute,yardim,,,,,,,
VOL+,031,,channel up,16 - CH+,ses+,,,,,,,
VOL-,064,,channel down,17 - CH-,ses-,,,,,,,
Mute,024,,power,00 - power,,,,,,,,
CH+,016,,back,,kanal+,,,,,,,
CH-,015,,tv/sat,,kanal-,,,,,,,
Up,017,,pp,,,,,,,,,
Down,021,,menu,23 - menu,,,,,,,,
Left,018,,guide,29 - guide,,,,,,,,
Right,020,,up arrow,18 - Up,,,,,,,,
Select,019,,down arrow,19 - Down,OK,,,,,,,
Menu,014,,left arrow,20 - Left,,,,,,,,
Info,067,,right arrow,21 - Right,,,,,,,,
red,028,,ok,22 - select,,,,,,,,
green,029,,sleep,,,,,,,,,
yellow (subtitles),026,,pip on/off,,(altyazi),,,,,,,
blue,030,,info,24 - Info,,,,,,,,
guide,027,,fav,31 - favorites,rehber,,,,,,,
inter aktif,013,,pip move,,,,,,,,,
favorites,068,,play,,favori,,,,,,,
D-Smart,001,,pause,,,,,,,,,
Geri,065,,rewind,,,,,,,,,
+,078,,fast fwd,,,,,,,,,
mozaik,079,,stop,,,,,,,,,
f.rew/prev track,,,record,,,,,,,,,
+100,,,exit,,,,,,,,,
pip on/off,,,surround,,,,,,,,,
pip swap,,,subtitle,27 - yellow (subtitles),,,,,,,,
pip move,,,-/--,34 - +,,,,,,,,
pip freeze,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,next track,,,,,,,,,
,,,prev track,,,,,,,,,
,,,red,25 - red,,,,,,,,
,,,green,26 - green,,,,,,,,
,,,blue,28 - blue,,,,,,,,
,,,yellow,27 - yellow (subtitles),,,,,,,,
,,,eject,,,,,,,,,
,,,color+ ($_vol+),,,,,,,,,
,,,color- ($_vol-),,,,,,,,,
,,,bright+ ($_ch+),,,,,,,,,
,,,bright- ($_ch-),,,,,,,,,
,,,teletext hold,,,,,,,,,
,,,teletext mix,,,,,,,,,
,,,teletext on,,,,,,,,,
,,,teletext off,,,,,,,,,
,,,teletext expand,,,,,,,,,
,,,teletext index,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,discreteON,,,,,,,,,
,,,discreteOFF,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,M4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
