Name:,DRD222RD Satellite Upgrade,,,,v7.53,,,,,,,CURRENT DATA
Devices:,RCA,4,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,48,NO,,,,,,,
Setup:,0872,05 = RCU810,07 - SAT,EFC,USE,,,,,,,
RCU810 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 13 57 (SAT/0872),,,,,,,,,,,,
AF 0E 32 BE E1 4F 2D 2C 2A 27 3C 08 1A F4 06 59 58 56 57,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 AF (S3C8+),,,,,,,,,,,,
28 60 11 8B 12 95 45 04 08 00 FA 03 D4 00 FA 01 E0 0F 8C 07 D0 07 BC 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,214,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
Num 0,147,,0,00 - Num 0,,Protocol ID,Fixed Data,,,,,
Num 1,139,,1,01 - Num 1,,,,,,,,
Num 2,163,,2,02 - Num 2,,,,,,,,
Num 3,155,,3,03 - Num 3,,,,,,,,
Num 4,115,,4,04 - Num 4,,,,,,,,
Num 5,107,,5,05 - Num 5,,,,,,,,
Num 6,131,,6,06 - Num 6,,,,,,,,
Num 7,123,,7,07 - Num 7,,,,,,,,
Num 8,211,,8,08 - Num 8,,,,,,,,
Num 9,203,,9,09 - Num 9,,,,,,,,
Channel Up,043,,vol up,,,,,,,,,
Channel Down,051,,vol down,,,,,,,,,
Power,099,,mute,,,,,,,,,
Go Back,251,,channel up,10 - Channel Up,,,,,,,,
Menu,082,,channel down,11 - Channel Down,,,,,,,,
Guide,226,,on/off,12 - Power,,,,,,,,
Up Arrow,200,,enter,,,,,,,,,
Down Arrow,208,,tv/vcr,,,,,,,,,
Left Arrow,128,,go back,13 - Go Back,,,,,,,,
Right Arrow,120,,menu,14 - Menu,,,,,,,,
Select,109,,guide,15 - Guide,,,,,,,,
Info,179,,up arrow,16 - Up Arrow,,,,,,,,
Clear,002,,down arrow,17 - Down Arrow,,,,,,,,
,,,left arrow,18 - Left Arrow,,,,,,,,
,,,right arrow,19 - Right Arrow,,,,,,,,
,,,select,20 - Select,,,,,,,,
,,,sleep,,,,,,,,,
,,,pip on/off,,,,,,,,,
,,,info,21 - Info,,,,,,,,
,,,pip swap,,,,,,,,,
,,,pip move,,,,,,,,,
,,,play,,,,,,,,,
,,,pause,,,,,,,,,
,,,rewind,,,,,,,,,
,,,fast fwd,,,,,,,,,
,,,stop,,,,,,,,,
,,,record,,,,,,,,,
,,,clear,22 - Clear,,,,,,,,
,,,surround,,,,,,,,,
,,,input,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,next track,,,,,,,,,
,,,prev track,,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
