Name:,SAT/1076,,,,v6.00,,
Devices:,RC-6,39,,,,,
Manual:,58,0 = 1-byte,MSB,,NO,,
Setup,1076,02 = URC-7800/6800,07 - SAT,OBC,USE,,
,,,,,,,
URC-7800/6800 Device Upgrade Code (25 bytes):,,,,,,,
Upgrade code 0 = 04 34 (SAT/1076),,,,,,,
58 13 20 2A FC FD 80 27 CE CF 0C 83 43 54 4E 5C,,,,,,,
CB 55 84 CD CC 58 59 5A 5B,,,,,,,
End,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Protocol Code (n/a):,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Functions,OBC,byte2,Buttons,Functions,Notes,Device Combiner (max 16):,
num 0,000,,0,00 - num 0,,Protocol ID,Fixed Data
num 1,001,,1,01 - num 1,,,
num 2,002,,2,02 - num 2,,,
num 3,003,,3,03 - num 3,,,
num 4,004,,4,04 - num 4,,,
num 5,005,,5,05 - num 5,,,
num 6,006,,6,06 - num 6,,,
num 7,007,,7,07 - num 7,,,
num 8,008,,8,08 - num 8,,,
num 9,009,,9,09 - num 9,,,
Volume UP,,,vol up,,,,
Volume DOWN,,,vol down,,,,
MUTE,013,,mute,,,,
Channel UP,088,,channel up,42 - Page up,,,
Channel DOWN,089,,channel down,43 - Page down,,,
POWER,012,,power,15 - POWER,,,
ENTER,,,enter,,,,
TV/VCR,067,,tv/vcr,17 - TV/VCR,,,
PREV,131,,prev ch,18 - PREV,,,
MENU,084,,menu,19 - MENU,,,
GUIDE,204,,prog/guide,20 - GUIDE,,,
Arrow UP,088,,up arrow,21 - Arrow UP,,,
Arrow DOWN,089,,down arrow,22 - Arrow DOWN,,,
Arrow LEFT,090,,left arrow,23 - Arrow LEFT,,,
Arrow RIGHT,091,,right arrow,24 - Arrow RIGHT,,,
SELECT,092,,select,25 - SELECT,,,
SLEEP,,,sleep,,,,
(pip on/off),,,pip on/off,30 - Favorites,,,
INFO,203,,display,28 - INFO,,,
Themes,205,,pip swap,,,,
Favorites,132,,pip move,29 - Themes,,,
Alt Audio,078,,play,,,,
(pause),,,pause,,,,
(rewind),,,rewind,,,,
(fast fwd),,,fast fwd,,,,
(stop),,,stop,,,,
(record),,,record,,,,
EXIT,085,,exit,37 - EXIT,,,
(surround),,,surround,31 - Alt Audio,,,
(input),,,input,,,,
(+100),,,+100,,,,
(device button),,,,,,,
Page up,206,,device button,42 - F-FWD,,,
Page down,207,,shift-up,43 - F-REW,,,
,,,shift-down,,,,
,,,shift-left,,,,
,,,shift-right,,,,
,,,pip freeze,,,,
,,,slow,,,,
,,,eject,,,,
,,,slow+,,,,
,,,slow-,,,,
,,,X2,,,,
,,,center,,,,
,,,rear,,,,
,,,Phantom1,,,,
,,,Phantom2,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Line Notes:,,,,Free-form Notes:,,,
[SAT-1076 (2047)] [URC-7800] [OBC],,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,EOF Marker - DO NOT DELETE
