Name:,Ariza Ultra 400 (cyclone pro/enforcer plus),,,,v8.28,,,,,,,CURRENT DATA
Devices:,NEC1,32,159,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,0868,99 = URC-9960 (OFA Kameleon),07 - SAT,EFC,USE,20 FB 06,1,,,,,
URC-9960 (OFA Kameleon) Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 03 64 (SAT/0868) Ariza Ultra 400 (cyclone pro/enforcer plus) (KM v8.28),,,,,,,,,,,,
5A 00 BE FE E1 20 FB 06 1D C7 47 87 FD 7D BD DD 5D 9D B7 37 FF 77 B7 37 D7 97 F7 27 4F CF 57 D7 97 5F,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v8.28),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,170,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,244,,1,01 - num 1,,,,,,,,
num 2,248,,2,02 - num 2,,,,,,,,
num 3,246,,3,03 - num 3,,,,,,,,
num 4,165,,4,04 - num 4,,,,,,,,
num 5,169,,5,05 - num 5,,,,,,,,
num 6,167,,6,06 - num 6,,,,,,,,
num 7,164,,7,07 - num 7,,,,,,,,
num 8,168,,8,08 - num 8,,,,,,,,
num 9,166,,9,09 - num 9,,,,,,,,
vol up,118,,vol up,,,,,,,,,
vol down,116,,vol down,,,,,,,,,
mute,180,,mute,,,,,,,,,
channel up,119,,channel up,13 - channel up,,,,,,,,
channel down,123,,channel down,14 - channel down,,,,,,,,
power,181,,power,15 - power,,,,,,,,
menu,121,,enter,,,,,,,,,
epg,056,,input,26 - tv/radio,,,,,,,,
info,251,,last,25 - recall,,,,,,,,
