Name:,Prosat satellite all model,,,,v8.05,,,,,,,CURRENT DATA
Devices:,RECS80 (45),5,0,01,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,36,NO,,,,,,,
Setup:,1601,24 = URC-881x / 801x / 601x,07 - SAT,OBC,USE,,,,,,,
URC-881x / 801x / 601x Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 36 41 (SAT/1601),,,,,,,,,,,,
45 1D 7E FE 71 40 94 80 9C 34 20 84 54 3C 74 38 60 78 58 5C 24 64 40 70 7C,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 45 (S3C8+),,,,,,,,,,,,
3D 92 11 8B 0E C5 41 05 06 00 4E 09 7F 00 4E 0E 70 ED 85 08 00 C0 C0 C0 03 CF C0 03 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,043,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,053,,1,01 - num 1,,,,,,,,
num 2,045,,2,02 - num 2,,,,,,,,
num 3,037,,3,03 - num 3,,,,,,,,
num 4,029,,4,04 - num 4,,,,,,,,
num 5,052,,5,05 - num 5,,,,,,,,
num 6,044,,6,06 - num 6,,,,,,,,
num 7,036,,7,07 - num 7,,,,,,,,
num 8,028,,8,08 - num 8,,,,,,,,
num 9,051,,9,09 - num 9,,,,,,,,
vol up,026,,vol up,10 - vol up,,,,,,,,
vol down,031,,vol down,11 - vol down,,,,,,,,
mute,024,,mute,12 - mute,,,,,,,,
channel up,050,,channel up,13 - channel up,,,,,,,,
channel down,055,,channel down,14 - channel down,,,,,,,,
power,030,,power,15 - power,,,,,,,,
last (prev ch),,,enter,28 - audio,,,,,,,,
menu,039,,tv/vid,27 - tv/radio,,,,,,,,
surf (guide),034,,prev,,,,,,,,,
up arrow,040,,menu,16 - menu,,,,,,,,
down arrow,042,,guide,17 - surf (guide),,,,,,,,
left arrow,049,,up arrow,18 - up arrow,,,,,,,,
right arrow,033,,down arrow,19 - down arrow,,,,,,,,
ok (select),041,,left arrow,20 - left arrow,,,,,,,,
sleep,,,right arrow,21 - right arrow,,,,,,,,
pip on/off,,,select,22 - ok (select),,,,,,,,
info,054,,sleep,,,,,,,,,
pip swap,,,pip,,,,,,,,,
pip move,,,info,23 - info,,,,,,,,
play,,,swap,,,,,,,,,
pause,,,move,,,,,,,,,
rewind,,,play,,,,,,,,,
fast fwd,,,pause,,,,,,,,,
stop,,,rewind,,,,,,,,,
record,,,fwd,,,,,,,,,
no (esc/exit),048,,stop,,,,,,,,,
surround,,,record,,,,,,,,,
input toggle,,,exit,24 - no (esc/exit),,,,,,,,
+100,,,surround,,,,,,,,,
fav/scan,,,input,,,,,,,,,
device button,,,+100,,,,,,,,,
prf+,035,,fav,,,,,,,,,
prf-,032,,device button,,,,,,,,,
tv/radio,047,,f fwd,25 - prf+,,,,,,,,
audio,038,,f rew,26 - prf-,,,,,,,,
audio,,,shift-left,,,,,,,,,
slow,,,shift-right,,,,,,,,,
eject,,,pip freeze,,,,,,,,,
slow+,,,slow,,,,,,,,,
slow-,,,eject,,,,,,,,,
x2,,,slow+,,,,,,,,,
center,,,slow-,,,,,,,,,
rear,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
