Hex OBC codes for Starchoice remotes, with multiple addresses

Until now, only the defualt code of 000 is default
in the remote or the available upgrades.
With this data you can create an upgrade for 001,002, and 003,
as well as 000.

Address Delta is the difference from one address to
another, in this case 000, where you would XOR the OBCs for
address 000 with the Address Delta to arrive at the OBCs
for the new address (you don't think I manually sampled all keys with
all addresses, do you?) .

The Protocol ID is A4, a two byte protocol.

 000      001      002      003     Address
00 00    00 B8    00 5C    00 E4    Address Delta
D8 E4    D8 5C    D8 B8    D8 00    0=0
0C EC    0C 54    0C B0    0C 08    1=1
74 E4    74 5C    74 B8    74 00    2=2
B4 CC    B4 74    B4 90    B4 28    3=3
14 F0    14 48    14 AC    14 14    4=4
64 D0    64 68    64 8C    64 34    5=5
24 C8    24 70    24 94    24 2C    6=6
AC D0    AC 68    AC 8C    AC 34    7=7
6C F8    6C 40    6C A4    6C 1C    8=8
8C DC    8C 64    8C 80    8C 38    9=9
1C D8    1C 60    1C 84    1C 3C    VOL+=10
DC F0    DC 48    DC AC    DC 14    VOL-=11
BC E4    BC 5C    BC B8    BC 00    MUTE=12
2C E0    2C 58    2C BC    2C 04    CH+=13
F4 D4    F4 6C    F4 88    F4 30    CH-=14
9C E8    9C 50    9C B4    9C 0C    POWER=16
C4 EC    C4 54    C4 B0    C4 08    ENTER=23
E4 E0    E4 58    E4 BC    E4 04    LAST=24
58 D4    58 6C    58 88    58 30    TV/VCR=25 (source)
D4 D8    D4 60    D4 84    D4 3C    MENU=26 (options)
18 CC    18 74    18 90    18 28    SURROUND=27 (info)
C4 EC    C4 54    C4 B0    C4 08    SELECT=28
94 C0    94 78    94 9C    94 24    DISPLAY=29 (go back)
5C C0    5C 78    5C 9C    5C 24    EXIT=30 (view/exit)
A4 F8    A4 40    A4 A4    A4 1C    PIP_ON/OFF=31(interests)
04 C4    04 7C    04 98    04 20    PIP_SWAP=32 (help)
B8 F0    B8 48    B8 AC    B8 14    PIP_MOVE=33 (next/future)
84 F4    84 4C    84 A8    84 10    PROG/GUIDE=34
38 C0    38 78    38 9C    38 24    ARROW_UP=35
F8 E8    F8 50    F8 B4    F8 0C    ARROW_DOWN=36
44 DC    44 64    44 80    44 38    ARROW_LEFT=37
7C CC    7C 74    7C 90    7C 28    ARROW_RIGHT=38
78 D8    78 60    78 84    78 3C    (BROWSE)
4C F4    4C 4C    4C A8    4C 10    (PPV)

