Name:,RCA DRD486RH,,,,v8.24,,,,,,,CURRENT DATA
Devices:,RCA,7,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,48,NO,,,,,,,
Setup:,1392,24 = URC-881x / 801x / 601x,07 - SAT,EFC,USE,7F,1,,,,,
URC-881x / 801x / 601x Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 35 70 (SAT/1392) RCA DRD486RH (KM v8.24),,,,,,,,,,,,
AF 0B 3E FE F1 7F 2D 2C 2A 58 06 1A 56 08 57 F4 59 3C 93 27 61 1C 1D,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 AF (S3C8+) RCA (KM v8.24),,,,,,,,,,,,
28 60 11 8B 12 95 45 04 08 00 FA 03 D4 00 FA 01 E0 0F 8C 07 D0 07 BC 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
0,147,,0,00 - 0,,Protocol ID,Fixed Data,0,,,,
1,139,,1,01 - 1,,,,1,,,,
2,163,,2,02 - 2,,,,2,,,,
3,155,,3,03 - 3,,,,3,,,,
4,115,,4,04 - 4,,,,4,,,,
5,107,,5,05 - 5,,,,5,,,,
6,131,,6,06 - 6,,,,6,,,,
7,123,,7,07 - 7,,,,7,,,,
8,211,,8,08 - 8,,,,8,,,,
9,203,,9,09 - 9,,,,9,,,,
Ch+,043,,vol up,,,,,Ch+,,,,
Ch-,051,,vol down,,,,,Ch-,,,,
Power,099,,mute,,,,,Power,,,,
Skip,,,channel up,10 - Ch+,,,,Fetch,,,,
Fetch,150,,channel down,11 - Ch-,,,,Go Back,,,,
Go Back,251,,power,12 - Power,,,,Guide,,,,
Guide,226,,enter,13 - Fetch,,,,Info,,,,
