Name:,Drake ESR-1824 Sat Receiver,,,,v9.06,,,,,,,CURRENT DATA
Devices:,NEC1,134,107,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1770,99 = 15-2117 / 15-2116,01 - Cable,OBC,USE,20 9E 29,1,No,,,,
15-2117 / 15-2116 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 66 EA (Cable/1770) Drake ESR-1824 Sat Receiver (KM v9.06),,,,,,,,,,,,
5A 00 FE FE FE FD 20 9E 29 ED 65 75 E5 7D BD 3D DD 5D 9D 95 55 D5 E7 B5 B7 A7 0D 67 4D 07 57 D7 25 0F 4F 6D 87 17 77 CD A5 FD 27 1D 97 6F C7 F5,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 2F F3 66 EA 8D«AUTO PK»¦2D F3 66 EA 47«TEXT»,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v9.06),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,205,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,072,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,089,,1,01 - num 1,,,,,,,,
num 2,081,,2,02 - num 2,,,,,,,,
num 3,088,,3,03 - num 3,,,,,,,,
num 4,065,,4,04 - num 4,,,,,,,,
num 5,066,,5,05 - num 5,,,,,,,,
num 6,067,,6,06 - num 6,,,,,,,,
num 7,068,,7,07 - num 7,,,,,,,,
num 8,069,,8,08 - num 8,,,,,,,,
num 9,070,,9,09 - num 9,,,,,,,,
vol up,086,,vol up,10 - vol up,,,,,,,,
vol down,085,,vol down,11 - vol down,,,,,,,,
mute,084,,mute,12 - mute,,,,,,,,
channel up,024,,channel up,13 - channel up,,,,,,,,
channel down,082,,channel down,14 - channel down,,,,,,,,
power,018,,power,15 - power,,,,,,,,
enter,071,,enter,16 - enter,,,,,,,,
tv/vcr,,,tv/video,36 - SAT,,,,,,,,
last (prev ch),,,last,38 - LOCK,,,,,,,,
menu,031,,menu,17 - menu,,,,,,,,
program guide,,,guide,23 - HELP,,,,,,,,
up arrow,021,,up arrow,18 - up arrow,Fine commands,,,,,,,
down arrow,020,,down arrow,19 - down arrow,Fine commands,,,,,,,
left arrow,091,,left arrow,20 - left arrow,Fine commands,,,,,,,
right arrow,015,,right arrow,21 - right arrow,Fine commands,,,,,,,
select,,,select,27 - C/KU,,,,,,,,
sleep,,,sleep,29 - FILTER,,,,,,,,
pip on/off,,,pip,25 - VIEW,,,,,,,,
display,,,info,28 - SETUP,,,,,,,,
pip swap,,,swap,30 - NXT PRG,,,,,,,,
pip move,,,move,22 - AUDIO SEL,,,,,,,,
play,,,play,32 - VC ->,,,,,,,,
pause,,,pause,33 - PRIORITY,,,,,,,,
rewind,,,rewind,24 - WEST,,,,,,,,
fast fwd,,,fast fwd,35 - EAST,,,,,,,,
stop,,,stop,26 - VC <-,,,,,,,,
record,,,record,40 - SOURCE,,,,,,,,
exit,,,exit,34 - CANCEL,,,,,,,,
surround,,,surround,,,,,,,,,
input toggle,,,input,,,,,,,,,
+100,,,+100,37 - AUTO PK,,,,,,,,
fav/scan,,,fav/scan,,,,,,,,,
device button,,,device button,,,,,,,,,
next track,,,next track,,,,,,,,,
prev track,,,prev track,,,,,,,,,
shift-left,,,shift-left,,,,,,,,,
shift-right,,,shift-right,,,,,,,,,
pip freeze,,,freeze,39 - AUDIO,,,,,,,,
slow,,,slow,,,,,,,,,
eject,,,eject,,,,,,,,,
slow+,,,slow+,,,,,,,,,
slow-,,,slow-,,,,,,,,,
x2,,,x2,,,,,,,,,
center,,,center,,,,,,,,,
rear,,,rear,,,,,,,,,
,,,phantom1,31 - TEXT,,,,,,,,
AUDIO SEL,009,,phantom2,,,,,,,,,
HELP,013,,phantom3,,,,,,,,,
WEST,017,,phantom4,,,,,,,,,
VIEW,022,,phantom5,,,,,,,,,
VC <-,023,,DiscreteON,,,,,,,,,
C/KU,025,,DiscreteOFF,,,,,,,,,
SETUP,026,,phantom8,,,,,,,,,
FILTER,027,,phantom9,,,,,,,,,
NXT PRG,028,,phantom10,,,,,,,,,
TEXT,029,,setup,,,,,,,,,
VC ->,030,,light,,,,,,,,,
PRIORITY,064,,my system,,,,,,,,,
CANCEL,073,,macro1,,,,,,,,,
