Name:,Cable/0237 (1237),[Cable-0237 (1237)] [URC-9960B01 (OFA Kameleon)] [EFC],,,v9.06,,,,,,,
Devices:,RC-5,10,110,0,,,,,,,,
Manual:,00E8,0 = 1-byte,MSB-COMP,86,NO,,,,,,,
Setup,1237,99 = URC-9960B01 (OFA Kameleon),01 - Cable,EFC,USE,15 55 1F,1,No,,,,
URC-9960B01 (OFA Kameleon) Device Upgrade Code:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Key Move Code:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,173,,num 0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,205,,num 1,01 - num 1,,,,,,,,
num 2,109,,num 2,02 - num 2,,,,,,,,
num 3,141,,num 3,03 - num 3,,,,,,,,
num 4,045,,num 4,04 - num 4,,,,,,,,
num 5,077,,num 5,05 - num 5,,,,,,,,
num 6,237,,num 6,06 - num 6,,,,,,,,
num 7,013,,num 7,07 - num 7,,,,,,,,
num 8,172,,num 8,08 - num 8,,,,,,,,
num 9,204,,num 9,09 - num 9,,,,,,,,
Vol UP,191,,Vol UP,10 - Vol UP,,,,,,,,
Vol DOWN,223,,Vol DOWN,11 - Vol DOWN,,,,,,,,
MUTE,092,,MUTE,12 - MUTE,,,,,,,,
Channel UP,043,,Channel UP,13 - Channel UP,,,,,,,,
Channel DOWN,139,,Channel DOWN,14 - Channel DOWN,,,,,,,,
POWER,044,,POWER,15 - POWER,,,,,,,,
(enter),,,(enter),,,,,,,,,
INPUT,136,,INPUT,17 - INPUT,,,,,,,,
(prev ch),,,(prev ch),,,,,,,,,
MENU,197,,MENU,19 - MENU,,,,,,,,
GUIDE,179,,GUIDE,20 - GUIDE,,,,,,,,
UP ARROW,101,,UP ARROW,21 - UP ARROW,,,,,,,,
DOWN ARROW,165,,DOWN ARROW,22 - DOWN ARROW,,,,,,,,
LEFT ARROW,007,,LEFT ARROW,23 - LEFT ARROW,,,,,,,,
RIGHT ARROW,107,,RIGHT ARROW,24 - RIGHT ARROW,,,,,,,,
OK,075,,OK,25 - OK,,,,,,,,
(sleep),,,(sleep),,,,,,,,,
(pip on/off),,,(pip on/off),,,,,,,,,
INFO,051,,INFO,28 - INFO,,,,,,,,
(pip swap),,,(pip swap),,,,,,,,,
(pip move),,,(pip move),,,,,,,,,
PLAY,036,,PLAY,31 - PLAY,,,,,,,,
PAUSE,167,,PAUSE,32 - PAUSE,,,,,,,,
REWIND,199,,REWIND,33 - REWIND,,,,,,,,
FAST FWD,071,,FAST FWD,34 - FAST FWD,,,,,,,,
STOP,231,,STOP,35 - STOP,,,,,,,,
RECORD,165,,RECORD,36 - RECORD,,,,,,,,
EXIT,115,,EXIT,37 - EXIT,,,,,,,,
(surround),,,(surround),,,,,,,,,
(input),,,(input),,,,,,,,,
(+100),,,(+100),,,,,,,,,
(fav/scan),,,(fav/scan),,,,,,,,,
(device button),,,(device button),,,,,,,,,
SKIP FWD,083,,SKIP FWD,43 - SKIP FWD,,,,,,,,
SKIP BACK,,,SKIP BACK,,,,,,,,,
(shift-left),,,(shift-left),,,,,,,,,
REPLAY,,,REPLAY,,,,,,,,,
(pip freeze),,,(pip freeze),,,,,,,,,
SKIP,,,SKIP,,,,,,,,,
RAND,243,,RAND,49 - RAND,,,,,,,,
AUDIO,,,AUDIO,,,,,,,,,
SUBTITLE,,,SUBTITLE,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,
Cable/0237 (1237),,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
