Name:,Cable/1291 (1291),[Cable-1291 (1291)] [URC-8206 (Euro Kameleon)] [EFC],,,v9.06,,,,,,,
Devices:,Manual Settings,245,,,,,,,,,,
Manual:,004B,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup,1291,99 = URC-8206 (Euro Kameleon),01 - Cable,EFC,USE,50,2,No,,,,
URC-8206 (Euro Kameleon) Device Upgrade Code:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Key Move Code:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,029,,num 0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,189,,num 1,01 - num 1,,,,,,,,
num 2,061,,num 2,02 - num 2,,,,,,,,
num 3,188,,num 3,03 - num 3,,,,,,,,
num 4,173,,num 4,04 - num 4,,,,,,,,
num 5,045,,num 5,05 - num 5,,,,,,,,
num 6,172,,num 6,06 - num 6,,,,,,,,
num 7,221,,num 7,07 - num 7,,,,,,,,
num 8,093,,num 8,08 - num 8,,,,,,,,
num 9,220,,num 9,09 - num 9,,,,,,,,
Vol UP,079,,Vol UP,10 - Vol UP,,,,,,,,
Vol DOWN,095,,Vol DOWN,11 - Vol DOWN,,,,,,,,
MUTE,109,,MUTE,12 - MUTE,,,,,,,,
Channel UP,111,,Channel UP,13 - Channel UP,,,,,,,,
Channel DOWN,143,,Channel DOWN,14 - Channel DOWN,,,,,,,,
POWER,236,,POWER,15 - POWER,,,,,,,,
(enter),,,(enter),,,,,,,,,
(tv/vcr),,,(tv/vcr),,,,,,,,,
PP,,,PP,,,,,,,,,
MENU,044,,MENU,19 - MENU,,,,,,,,
