Name:,CBL/1959,,,,v9.19,,,,,,,,CURRENT DATA
Devices:,Manual Settings,,,,00 10 B8 E0,,,,,,,,
Manual:,,0 = 1-byte,MSB,88,NO,,,,,,,,
Setup:,1959,99 = URC-8820 / 10820 / 6820,01 - Cable,OBC,USE,00 10 B8 E0,1,No,,,,,
URC-8820 / 10820 / 6820 Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 0F A7 (Cable/1959) CBL/1959 (KM v9.19),,,,,,,,,,,,,
55 0C 76 F6 FF 00 10 B8 E0 83 84 0C 86 85 0F 8D 87 8C 88 8B 27 8E 5E 25 32 32 31 33 30 34,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 01 55 (HCS08) Custom Protocol for Cable/1959 CBL/1959 (KM v9.19),,,,,,,,,,,,,
20 0C 22 47 41 00 00 D1 00 84 00 4D 00 84 AD 41 19 61 6E 80 62 B6 64 B7 63 0E 64 14 62 A4 0C BA 62 B7 62 38 63 38 63 AD 1D 24 04 18 62 20 F8 81 3F 62 3F 63 A4 0F 99 39 63 39 62 98 4B F9 AD 06 25 FC 3F 62 3F 63 B6 61 A8 80 B7 61 AD 03 CC FF 92 15 61 17 61 AD 4E 3F 55 3F 56 8C BE 56 E6 60 AD 19 3C 56 05 56 F4 AE 6E CD FF 65 45 70 26 CD FF 74 45 00 01 CD FF 74 11 25 81 B7 54 62 44 A4 07 AD 06 B6 54 44 44 A4 07 B7 53 AE 6E 00 55 04 AE 6A 10 55 CD FF 65 B6 53 27 09 45 00 24 CD FF 74 3B 53 F7 81 B6 60 A4 C0 B7 60 3F 52 45 00 04 E6 5F AD 0C 5B FA 40 A4 0F 48 48 BA 60 B7 60 81 B7 50 62 44 AD 04 B6 50 44 44 A4 07 BB 52 B7 52 81,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,477,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,000,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,1F
num 1,001,,1,01 - num 1,,,,,,,,,15
num 2,002,,2,02 - num 2,,,,,,,,,16
num 3,003,,3,03 - num 3,,,,,,,,,17
num 4,004,,4,04 - num 4,,,,,,,,,19
num 5,005,,5,05 - num 5,,,,,,,,,1A
num 6,006,,6,06 - num 6,,,,,,,,,1B
num 7,007,,7,07 - num 7,,,,,,,,,1C
num 8,008,,8,08 - num 8,,,,,,,,,1D
num 9,009,,9,09 - num 9,,,,,,,,,1E
MUTE,012,,vol up,27 - vol up,,,,,,,,,04
POWER,015,,vol down,28 - vol down,,,,,,,,,05
MENU,037,,mute,10 - mute,,,,,,,,,08
Guide,039,,channel up,30 - channel up,,,,,,,,,06
STOP,048,,channel down,29 - channel down,,,,,,,,,07
REWIND,049,,power,11 - power,,,,,,,,,03
PLAY,050,,enter,,,,,,,,,,12
PAUSE,050,,,,,,,,,,,,
FAST FWD,051,,prev,,,,,,,,,,13
RECORD,052,,menu,12 - menu,,,,,,,,,27
red,064,,guide,13 - guide,,,,,,,,,2C
yellow,065,,up arrow,35 - up arrow,,,,,,,,,31
blue,067,,down arrow,31 - down arrow,,,,,,,,,32
green,068,,left arrow,34 - left arrow,,,,,,,,,33
txt-off,080,,right arrow,32 - right arrow,,,,,,,,,34
sel,083,,ok,33 - SELECT,,,,,,,,,35
AV,094,,sleep,,,,,,,,,,28
Vol UP,131,,pip,,,,,,,,,,36
Vol DOWN,132,,info,,,,,,,,,,26
Channel DOWN,133,,swap,,,,,,,,,,37
Channel UP,134,,move,,,,,,,,,,14
DOWN ARROW,135,,play,16 - play,,,,,,,,,0C
RIGHT ARROW,136,,pause,17 - pause,,,,,,,,,0F
SELECT,139,,rewind,15 - rewind,,,,,,,,,0B
LEFT ARROW,140,,fast fwd,18 - fast fwd,,,,,,,,,0D
UP ARROW,141,,stop,14 - stop,,,,,,,,,0E
EXIT,142,,record,19 - record,,,,,,,,,10
,,,exit,36 - exit,,,,,,,,,2B
,,,,,,,,,,,,,
,,,input,26 - AV,,,,,,,,,20
,,,+100,,,,,,,,,,38
play,,,fav,,,,,,,,,,18
pause,,,,,,,,,,,,,
rewind,,,skip+,,,,,,,,,,2D
fast fwd,,,skip-,,,,,,,,,,2E
stop,,,,,,,,,,,,,
record,,,,,,,,,,,,,
skip+/next+,,,,,,,,,,,,,
skip-/next-,,,,,,,,,,,,,
list/PVR menu,,,,,,,,,,,,,
replay,,,,,,,,,,,,,
advance/jump,,,,,,,,,,,,,
live TV,,,,,,,,,,,,,
thumbs up,,,,,,,,,,,,,
thumbs down,,,,,,,,,,,,,
open-close/eject,,,phantom1,,,,,,,,,,3B
pip on/off,,,phantom2,,,,,,,,,,3F
pip swap,,,phantom3,,,,,,,,,,40
pip move,,,phantom4,,,,,,,,,,41
pip freeze,,,,,,,,,,,,,
pip channel up,,,,,,,,,,,,,
pip channel down,,,,,,,,,,,,,
caption,,,,,,,,,,,,,
aspect,,,,,,,,,,,,,
zoom,,,,,,,,,,,,,
,,,setup,,,,,,,,,,02
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,M1,,,,,,,,,,3C
,,,M2,,,,,,,,,,3D
,,,(M3),,,,,,,,,,3E
,,,,,,,,,,,,,
,,,L1,,,,,,,,,,23
,,,L2,,,,,,,,,,24
,,,L3,,,,,,,,,,25
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,CC,,,,,,,,,,30
,,,format,,,,,,,,,,2F
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
