Name:,Cable/0041,,,,v9.17,,,,,,,,CURRENT DATA
Devices:,NEC1,118,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,0041,01 = 15-1994,01 - Cable,EFC,USE,00 91 91,1,No,,,,,
15-1994 Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 00 29 (Cable/0041) Cable/0041 (KM v9.17),,,,,,,,,,,,,
5A 0C 7E 00 04 09 00 91 91 FF 7F 4D 6F AF 05 AD 65 E5 55 2D,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8) NEC1 (KM v9.17),,,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 33 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 36 F6 01 33 37 01 03 46 29 0D 46 29 01 8D 01 36 E4 20 1E E4 21 1F 37 01 EB F6 01 36 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,229,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,165,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,1F
num 1,169,,1,01 - num 1,,,,,,,,,15
num 2,167,,2,02 - num 2,,,,,,,,,16
num 3,171,,3,03 - num 3,,,,,,,,,17
num 4,164,,4,04 - num 4,,,,,,,,,19
num 5,168,,5,05 - num 5,,,,,,,,,1A
num 6,166,,6,06 - num 6,,,,,,,,,1B
num 7,170,,7,07 - num 7,,,,,,,,,1C
num 8,037,,8,08 - num 8,,,,,,,,,1D
num 9,041,,9,09 - num 9,,,,,,,,,1E
Vol UP,181,,vol up,10 - vol up,,,,,,,,,04
Vol DOWN,185,,vol down,11 - vol down,,,,,,,,,05
MUTE,040,,mute,12 - mute,,,,,,,,,08
Channel UP,057,,channel up,13 - channel up,,,,,,,,,06
Channel DOWN,055,,channel down,14 - channel down,,,,,,,,,07
POWER,234,,power,15 - power,,,,,,,,,03
ENTER,039,,enter,16 - enter,,,,,,,,,12
TV/VCR,233,,tv/vcr,17 - TV/VCR,,,,,,,,,18
LAST,229,,last,18 - LAST,,,,,,,,,13
select,104,,menu,,,,,,,,,,29
Exit,043,,program / guide,,,,,,,,,,28
,,,up arrow,,,,,,,,,,31
,,,down arrow,,,,,,,,,,32
,,,left arrow,,,,,,,,,,33
,,,right arrow,,,,,,,,,,34
,,,select,19 - SELECT,,,,,,,,,35
,,,sleep,,,,,,,,,,2C
,,,pip,,,,,,,,,,2D
,,,display,,,,,,,,,,2A
,,,swap,,,,,,,,,,2F
,,,move,,,,,,,,,,2E
,,,play,,,,,,,,,,0C
,,,pause,,,,,,,,,,0F
,,,rewind,,,,,,,,,,0B
,,,fast fwd,,,,,,,,,,0D
,,,stop,,,,,,,,,,0E
