Name:,Cable/1175 (1175),,,,v9.19,,,,,,,,CURRENT DATA
Devices:,RC6-M-20n,0,12,6,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,00,NO,,,,,,,,
Setup:,1175,99 = URC-8060 (Euro Kameleon),01 - Cable,OBC,USE,EC 00,1,No,,,,,
URC-8060 (Euro Kameleon) Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 04 97 (Cable/1175) Cable/1175 (1175) (KM v9.19),,,,,,,,,,,,,
20 04 3E FE 3E 0E F2 E1 EC 00 FB 7B CF 50 E5 65 A5 25 C5 2C FE 3E CC 49 89 09 F1 C3 83 FD 43 EB 03 DB C3 DE 41 7E 81,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 20 (S3C8+) RC6-M-20n (KM v9.19),,,,,,,,,,,,,
40 9A 21 8B 13 87 85 00 08 04 00 DE 00 00 00 00 00 CA F1 38 05 35 01 A8 E4 03 2D E4 04 2E E4 05 2F 08 2D F6 FF 62 19 03 E6 04 03 08 2E F6 FF 62 19 05 F6 FF 62 19 06 08 2D F0 C0 F6 FF 62 19 07 08 2F F6 FF 62 19 08 F6 FF 62 19 09 2C 04 10 09 10 08 10 07 10 06 10 05 10 04 2A F2 E6 10 06 8D 01 46 2C 04 CF 10 C1 DF 10 C1 90 C0 FB 03 B6 C1 03 2A F1 AF,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,729,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
0,255,,0,00 - 0,,Protocol ID,Fixed Data,,,,,,1F
1,127,,1,01 - 1,,,,,,,,,15
2,191,,2,02 - 2,,,,,,,,,16
3,063,,3,03 - 3,,,,,,,,,17
4,223,,4,04 - 4,,,,,,,,,19
5,095,,5,05 - 5,,,,,,,,,1A
6,159,,6,06 - 6,,,,,,,,,1B
7,031,,7,07 - 7,,,,,,,,,1C
8,239,,8,08 - 8,,,,,,,,,1D
9,111,,9,09 - 9,,,,,,,,,1E
Vol UP,,,vol up,,,,,,,,,,04
Vol DOWN,,,vol down,,,,,,,,,,05
MUTE,,,mute,,,,,,,,,,08
Channel UP,251,,channel up,10 - Channel UP,,,,,,,,,06
Channel DOWN,123,,channel down,11 - Channel DOWN,,,,,,,,,07
POWER,207,,power,12 - POWER,,,,,,,,,03
BACK,062,,back,13 - BACK,,,,,,,,,60
TV/SAT,254,,tv/sat,14 - TV/SAT,,,,,,,,,59
PP,,,pp,,,,,,,,,,34
MENU,080,,menu,15 - MENU,,,,,,,,,14
GUIDE,204,,guide,16 - GUIDE,,,,,,,,,25
Arrow UP,229,,up arrow,17 - Arrow UP,,,,,,,,,29
Arrow DOWN,101,,down arrow,18 - Arrow DOWN,,,,,,,,,2A
Arrow LEFT,165,,left arrow,19 - Arrow LEFT,,,,,,,,,2C
Arrow RIGHT,037,,right arrow,20 - Arrow RIGHT,,,,,,,,,2B
OK,197,,ok,21 - OK,,,,,,,,,27
SLEEP,,,sleep,,,,,,,,,,43
(pip on/off),,,,,,,,,,,,,
INFO,044,,info,22 - INFO,,,,,,,,,52
FAV,,,,,,,,,,,,,
(pip move),,,,,,,,,,,,,
PLAY,131,,play,23 - PLAY,,,,,,,,,31
PAUSE,253,,pause,24 - PAUSE,,,,,,,,,10
REWIND,067,,rewind,25 - REWIND,,,,,,,,,33
FAST FWD,235,,fast fwd,26 - FAST FWD,,,,,,,,,0F
STOP,003,,stop,27 - STOP,,,,,,,,,35
RECORD,219,,record,28 - RECORD,,,,,,,,,32
EXIT,,,exit,,,,,,,,,,26
(surround),,,,,,,,,,,,,
SUBTITLE,,,,,,,,,,,,,
-/--,,,-/--,,,,,,,,,,20
(fav/scan),,,,,,,,,,,,,
(device button),,,,,,,,,,,,,
NEXT TRACK,,,next track,,,,,,,,,,23
PREV TRACK,,,prev track,,,,,,,,,,24
RED,073,,,,,,,,,,,,
GREEN,137,,,,,,,,,,,,
BLUE,241,,,,,,,,,,,,
YELLOW,009,,,,,,,,,,,,
(eject),,,,,,,,,,,,,
(slow+),,,bright+ ($_ch+),,,,,,,,,,46
(slow-),,,bright- ($_ch-),,,,,,,,,,47
(x2),,,,,,,,,,,,,
(center),,,,,,,,,,,,,
(rear),,,,,,,,,,,,,
(phantom1),,,phantom1,,,,,,,,,,3A
TELETEXT ON,195,,phantom2,,,,,,,,,,3B
TELETEXT OFF,195,,phantom3,,,,,,,,,,3C
(phantom4),,,phantom4,,,,,,,,,,3D
(phantom5),,,teletext on,33 - TELETEXT ON,,,,,,,,,71
(phantom6),,,teletext off,34 - TELETEXT OFF,,,,,,,,,72
(phantom7),,,teletext mix,,,,,,,,,,50
(phantom8),,,teletext index,,,,,,,,,,75
(phantom9),,,teletext expand,,,,,,,,,,73
(phantom10),,,teletext hold,,,,,,,,,,4F
(setup),,,,,,,,,,,,,
(light),,,,,,,,,,,,,
(theater),,,,,,,,,,,,,
M1,222,,M1,35 - M1,,,,,,,,,2D
M2,065,,M2,36 - M2,,,,,,,,,2E
M3,126,,M3,37 - M3,,,,,,,,,2F
M4,129,,M4,38 - M4,,,,,,,,,30
,,,subtitle,,,,,,,,,,55
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,yellow,32 - YELLOW,,,,,,,,,0E
,,,blue,31 - BLUE,,,,,,,,,0D
,,,red,29 - RED,,,,,,,,,0B
,,,green,30 - GREEN,,,,,,,,,0C
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,color+ ($_vol+),,,,,,,,,,44
,,,color- ($_vol-),,,,,,,,,,45
,,,discreteON,,,,,,,,,,3E
,,,discreteOFF,,,,,,,,,,3F
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Cable/1175 (1175),,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
