Name:,Cable/0899 (1899),,,,v9.10,,,,,,,CURRENT DATA
Devices:,NEC1,33,156,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1899,99 = URC-6131 PVR,01 - Cable,EFC,USE,20 7B C6,1,No,,,,
URC-6131 PVR Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 07 6B (Cable/1899) Cable/0899 (1899) (KM v9.10),,,,,,,,,,,,
5A 08 7E BE B0 16 C1 20 7B C6 B7 27 AF 1F 7F A7 36 0E F7 9E BE 2E 76 EE 46 C6 1E AE 87 07 6F DF 5F,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v9.10),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,226,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,054,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,183,,1,01 - num 1,,,,,,,,
num 2,123,,2,02 - num 2,,,,,,,,
num 3,052,,3,03 - num 3,,,,,,,,
num 4,118,,4,04 - num 4,,,,,,,,
num 5,116,,5,05 - num 5,,,,,,,,
num 6,122,,6,06 - num 6,,,,,,,,
num 7,245,,7,07 - num 7,,,,,,,,
num 8,056,,8,08 - num 8,,,,,,,,
num 9,249,,9,09 - num 9,,,,,,,,
Vol UP,119,,vol up,10 - Vol UP,,,,,,,,
Vol DOWN,251,,vol down,11 - Vol DOWN,,,,,,,,
MUTE,055,,mute,12 - MUTE,,,,,,,,
Channel UP,186,,channel up,13 - Channel UP,,,,,,,,
Channel DOWN,185,,channel down,14 - Channel DOWN,,,,,,,,
POWER,247,,power,15 - POWER,,,,,,,,
ENTER,,,enter,,,,,,,,,
TV/VID,,,tv/vid,,,,,,,,,
PREV,190,,prev,16 - PREV,,,,,,,,
MENU,131,,menu,17 - MENU,,,,,,,,
GUIDE,252,,guide,18 - GUIDE,,,,,,,,
ARROW UP,067,,up arrow,19 - ARROW UP,,,,,,,,
ARROW DOWN,129,,down arrow,20 - ARROW DOWN,,,,,,,,
ARROW LEFT,061,,left arrow,21 - ARROW LEFT,,,,,,,,
ARROW RIGHT,000,,right arrow,22 - ARROW RIGHT,,,,,,,,
SELECT,117,,select,23 - SELECT,,,,,,,,
(sleep),,,angle/sleep,,,,,,,,,
(pip on/off),,,pip,,,,,,,,,
INFO,066,,info,24 - INFO,,,,,,,,
(pip swap),,,swap,,,,,,,,,
(pip move),,,move,,,,,,,,,
PLAY,246,,play,25 - PLAY,,,,,,,,
PAUSE,,,pause (yellow),,,,,,,,,
REWIND,250,,rewind,26 - REWIND,,,,,,,,
FAST FWD,057,,fast fwd,27 - FAST FWD,,,,,,,,
STOP,180,,stop,28 - STOP,,,,,,,,
RECORD,184,,record,29 - RECORD,,,,,,,,
EXIT,191,,exit,30 - EXIT,,,,,,,,
(surround),,,surround,,,,,,,,,
(input),,,audio/CC,,,,,,,,,
(+100),,,+100,,,,,,,,,
(fav/scan),,,fav/scan,,,,,,,,,
(device button),,,device button,,,,,,,,,
ADVANCE,,,advance,,,,,,,,,
REPLAY,,,replay,,,,,,,,,
NEXT TRACK,194,,next track,31 - NEXT TRACK,,,,,,,,
PREV TRACK,063,,prev track,32 - PREV TRACK,,,,,,,,
PVR MENU,,,PVR menu (blue),,,,,,,,,
SLOW,,,subtitle,,,,,,,,,
(eject),,,slow,,,,,,,,,
THUMBS UP,,,thumbs up (green),,,,,,,,,
THUMBS DOWN,,,thumbs down (red),,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
