Name:,DVD/1906 (LG),,,,v9.14,,,,,,,CURRENT DATA,
Devices:,NECx1,44,44,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,1906,99 = 15-2138 (RS Kameleon 8-in-1),06 - DVD,EFC,USE,30 CB CB,1,No,,,,,
15-2138 (RS Kameleon 8-in-1) Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 37 72 (DVD/1906) DVD/1906 (LG) (KM v9.14),,,,,,,,,,,,,
5A 00 FE FE FE F1 30 CB CB 2D 7D BD 3D DD 5D 9D 1D ED 6D 17 97 07 1A 9A 87 DF 0D 9F 1F 5F BC DA 1A 9A EA 6A AA 8A 0A BA 9F 3A 8D 2A 3F 1F,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NECx1 (KM v9.14),,,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,218,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,043,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,1F
num 1,169,,1,01 - num 1,,,,,,,,,15
num 2,167,,2,02 - num 2,,,,,,,,,16
num 3,171,,3,03 - num 3,,,,,,,,,17
num 4,164,,4,04 - num 4,,,,,,,,,19
num 5,168,,5,05 - num 5,,,,,,,,,1A
num 6,166,,6,06 - num 6,,,,,,,,,1B
num 7,170,,7,07 - num 7,,,,,,,,,1C
num 8,037,,8,08 - num 8,,,,,,,,,1D
num 9,041,,9,09 - num 9,,,,,,,,,1E
Vol UP,122,,vol up,10 - Vol UP,,,,,,,,,06
Vol DOWN,118,,vol down,11 - Vol DOWN,,,,,,,,,07
MUTE,250,,mute,12 - MUTE,,,,,,,,,08
Channel UP,226,,channel up,13 - Channel UP,,,,,,,,,04
Channel DOWN,222,,channel down,14 - Channel DOWN,,,,,,,,,05
POWER,246,,power,15 - POWER,,,,,,,,,03
PREV,038,,enter,36 - FORMAT,,,,,,,,,39
MENU,220,,tv/vcr[a/b],33 - INPUT,,,,,,,,,33
GUIDE,098,,last,16 - PREV,,,,,,,,,24
ARROW UP,226,,menu,17 - MENU,,,,,,,,,14
ARROW DOWN,222,,guide,18 - GUIDE,,,,,,,,,25
ARROW LEFT,093,,up arrow,19 - ARROW UP,,,,,,,,,29
ARROW RIGHT,097,,down arrow,20 - ARROW DOWN,,,,,,,,,2A
OK,095,,left arrow,21 - ARROW LEFT,,,,,,,,,2C
SLEEP,175,,right arrow,22 - ARROW RIGHT,,,,,,,,,2B
INFO,227,,ok,23 - OK,,,,,,,,,27
PLAY,180,,sleep,,,,,,,,,,3B
PAUSE,042,,,,,,,,,,,,
REWIND,182,,info,25 - INFO,,,,,,,,,31
F-FWD,186,,,,,,,,,,,,
STOP,184,,,,,,,,,,,,
EXIT,223,,play,26 - PLAY,,,,,,,,,0C
CC,099,,pause,27 - PAUSE,,,,,,,,,0F
INPUT,187,,rewind,28 - REWIND,,,,,,,,,0B
SKIP-FWD,186,,fast fwd,29 - F-FWD,,,,,,,,,0D
SKIP-REV,182,,stop,30 - STOP,,,,,,,,,0E
FORMAT,094,,record,24 - SLEEP,,,,,,,,,10
,,,exit,31 - EXIT,,,,,,,,,32
,,,s.sound,,,,,,,,,,3C
,,,,,,,,,,,,,
,,,+100,32 - CC,,,,,,,,,20
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,slow,35 - SKIP-REV,,,,,,,,,3A
,,,,,,,,,,,,,
,,,,,,,,,,,,,
