Name:,AMX,,,,v9.13,,,,,,,CURRENT DATA,
Devices:,Manual Settings,,,,,,,,,,,,
Manual:,01FF,0 = 1-byte,LSB,88,NO,,,,,,,,
Setup:,2000,27 = URC-9910 / 8910 / UEI HTPro,01 - Cable,OBC,USE,,1,No,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 6F D0 (Cable/2000) AMX (KM v9.13),,,,,,,,,,,,,
FF 00 01,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,,
Upgrade Protocol 0 = 01 FF (S3C8+) Custom Protocol for Cable/2000 AMX (KM v9.13),,,,,,,,,,,,,
43 8C 01 8B 0E 84 01 08 08 03 E3 03 CF 00 F5 06 BC 3E 80 8D 01 46,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
1,001,,0,,,Protocol ID,Fixed Data,,,,,,1F
2,002,,1,,,,,,,,,,15
3,003,,2,,,,,,,,,,16
4,004,,3,,,,,,,,,,17
5,005,,4,,,,,,,,,,19
6,006,,5,,,,,,,,,,1A
7,007,,6,,,,,,,,,,1B
8,008,,7,,,,,,,,,,1C
9,009,,8,,,,,,,,,,1D
10,010,,9,,,,,,,,,,1E
11,011,,vol up,,,,,,,,,,04
12,012,,vol down,,,,,,,,,,05
13,013,,mute,,,,,,,,,,08
14,014,,channel up,,,,,,,,,,06
15,015,,channel down,,,,,,,,,,07
16,016,,power,,,,,,,,,,03
17,017,,enter,,,,,,,,,,18
18,018,,tv/vid,,,,,,,,,,20
19,019,,prev,,,,,,,,,,38
20,020,,menu,,,,,,,,,,14
21,021,,guide,,,,,,,,,,36
22,022,,up arrow,,,,,,,,,,31
23,023,,down arrow,,,,,,,,,,32
24,024,,left arrow,,,,,,,,,,33
25,025,,right arrow,,,,,,,,,,34
26,026,,select,,,,,,,,,,35
27,027,,sleep,,,,,,,,,,30
28,028,,pip,,,,,,,,,,3A
29,029,,info,,,,,,,,,,13
