Name:,NAD HTR2,,,,v9.14,,,,,,,CURRENT DATA,
Devices:,NEC1,135,124,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,0752,99 = URC-6131 PVR,12 - Misc Audio,EFC,USE,20 1E C1,1,No,,,,,
URC-6131 PVR Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 32 F0 (Misc Audio/0752) NAD HTR2 (KM v9.14),,,,,,,,,,,,,
5A 00 F2 9E FE 36 F9 20 1E C1 4E BC FC 7C F3 73 87 5E 6E 44 EE CE D6 B4 74 FE 54 F4 8B 9B 7E FB 1B EB 6B AB BE B3 FB 94 14 CC FB 4C E4 64 5B EC,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v9.14),,,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,226,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0 (TAPE),064,,0,00 - num 0 (TAPE),,Protocol ID,Fixed Data,,,,,,1F
num 1 (DVD),175,,1,01 - num 1 (DVD),,,,,,,,,15
num 2 (SAT),173,,2,02 - num 2 (SAT),,,,,,,,,16
num 3 (VCR),177,,3,03 - num 3 (VCR),,,,,,,,,17
num 4 (video 4),149,,4,04 - num 4 (video 4),,,,,,,,,19
num 5 (video 5),153,,5,05 - num 5 (video 5),,,,,,,,,1A
num 6 (video 6),246,,6,06 - num 6 (video 6),,,,,,,,,1B
num 7 (CD),192,,7,07 - num 7 (CD),,,,,,,,,1C
num 8 (DISC),065,,8,08 - num 8 (DISC),,,,,,,,,1D
num 9 (TUNER),240,,9,09 - num 9 (TUNER),,,,,,,,,1E
vol up,061,,vol up,10 - vol up,,,,,,,,,04
vol down,060,,vol down,11 - vol down,,,,,,,,,05
mute,124,,mute,12 - mute,,,,,,,,,08
channel up,111,,channel up,13 - channel up,,,,,,,,,06
channel down,113,,channel down,14 - channel down,,,,,,,,,07
power,189,,power,15 - power,,,,,,,,,03
power on,216,,enter,,,,,,,,,,12
power off,045,,tv/vid,28 - num +10 (EXT 7.1),,,,,,,,,13
menu (FM),193,,prev,26 - return (sleep),,,,,,,,,23
title (AM),191,,menu,18 - menu (FM),,,,,,,,,21
up arrow,218,,guide,19 - title (AM),,,,,,,,,14
down arrow,085,,up arrow,20 - up arrow,,,,,,,,,31
left arrow,089,,down arrow,21 - down arrow,,,,,,,,,32
right arrow,087,,left arrow,22 - left arrow,,,,,,,,,33
enter,151,,right arrow,23 - right arrow,,,,,,,,,34
display,214,,select,24 - enter,,,,,,,,,35
return (sleep),213,,angle/sleep,26 - return (sleep),,,,,,,,,26
surround,044,,pip,,,,,,,,,,2F
num +10 (EXT 7.1),086,,info,25 - display,,,,,,,,,18
center+,109,,swap,,,,,,,,,,20
center-,112,,move,,,,,,,,,,30
sub+,237,,play,,,,,,,,,,0C
sub-,241,,pause (yellow),,,,,,,,,,0F
rear+,110,,rewind,30 - center-,,,,,,,,,0B
rear-,114,,fast fwd,29 - center+,,,,,,,,,0D
test,048,,stop,,,,,,,,,,0E
,,,record,,,,,,,,,,10
,,,exit,26 - return (sleep),,,,,,,,,24
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,next track,33 - rear+,,,,,,,,,2B
,,,prev track,34 - rear-,,,,,,,,,2A
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,slow,,,,,,,,,,2E
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,phantom1,,,,,,,,,,3D
,,,phantom2,,,,,,,,,,3E
,,,phantom3,,,,,,,,,,3F
,,,phantom4,,,,,,,,,,40
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,setup,,,,,,,,,,02
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,subtitle,,,,,,,,,,25
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,PVR menu (blue),35 - test,,,,,,,,,36
,,,replay,32 - sub-,,,,,,,,,27
,,,advance,31 - sub+,,,,,,,,,29
,,,,,,,,,,,,,
,,,thumbs up (green),16 - power on,,,,,,,,,2C
,,,thumbs down (red),17 - power off,,,,,,,,,2D
,,,audio/CC,27 - surround,,,,,,,,,37
,,,,,,,,,,,,,
,,,,,,,,,,,,,
