Name:,RCA Home Theater 1609 Upgrade,,,,v7.51,,,,,,,CURRENT DATA
Devices:,NEC1 Combo,133,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1610,99 = 15-2117 / 15-2116,05 - Tuner,EFC,USE,,,,,,,
15-2117 / 15-2116 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = AE 4A (Tuner/1610),,,,,,,,,,,,
40 00 FE DE FF 00 5E A9 6E A9 FE A9 7E A9 BE A9 3E A9 4B A9 5E A9 9E A9 1E A9 EE A9 06 A9 86 A9 66 A9 0E A9 A0 A9 16 A9 69 A6 BD A6 DD A6 78 A6 F8 A6 3D A6 59 A6 99 A6 45 A6 85 A6 F9 A6 05 A6 65 A6 19 A6 65 A6 65,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 30 F4 A6 4A A9 26 25 F4 A6 4A A6 3D 27 F4 A6 4A A9 28 26 F4 A6 4A A9 A9 2F F4 A6 4A A9 4B 96 F4 A6 4A A9 76 99 F4 A6 4A A6 0F 9A F4 A6 4A A9 56 9B F4 A6 4A A9 9B 9C F4 A6 4A A9 DB 9D F4 A6 4A A9 F6 9E F4 A6 4A A9 5B,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 01 40 (S3C8+),,,,,,,,,,,,
43 8B 22 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 E4 06 07 60 07 20 10 08 03 37 01 03 46 29 0D 46 29 01 8D 01 49,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,205,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,065,106,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,189,106,1,01 - num 1,,,,,,,,
num 2,193,106,2,02 - num 2,,,,,,,,37 - Tuner
num 3,191,106,3,03 - num 3,,,,,,,,
num 4,195,106,4,04 - num 4,,,,,,,,36 - DVD/CD
num 5,088,106,5,05 - num 5,,,,,,,,39 - Tape
num 6,192,106,6,06 - num 6,,,,,,,,41 - VCR
num 7,190,106,7,07 - num 7,,,,,,,,38 - Aux
num 8,194,106,8,08 - num 8,,,,,,,,42 - TV
num 9,061,106,9,09 - num 9,,,,,,,,40 - Sat
vol up,002,106,vol up,10 - vol up,,,,,,,,
vol down,254,106,vol down,11 - vol down,,,,,,,,
mute,001,106,mute,12 - mute,,,,,,,,
channel up,066,106,channel up,13 - channel up,FM Tuner Next Station,,,,,,,
channel down,015,106,channel down,14 - channel down,Fm Tuner Prev Station,,,,,,,
power,130,106,power,15 - power,,,,,,,,
enter,233,154,enter,16 - enter,,,,,,,,
tv/vcr,200,154,tv/video,17 - tv/vcr,Advance to Next Disc in changer,,,,,,,
last (prev ch),073,106,last,18 - last (prev ch),FM Tuner Memory,,,,,,,
menu,233,154,menu,19 - menu,,,,,,,,
program guide,233,154,guide,19 - menu,,,,,,,,
up arrow,232,154,up arrow,21 - up arrow,,,,,,,,
down arrow,230,154,down arrow,22 - down arrow,,,,,,,,
left arrow,197,154,left arrow,23 - left arrow,,,,,,,,
right arrow,234,154,right arrow,24 - right arrow,,,,,,,,
select,198,154,select,25 - select,Says Enter on orig remote key,,,,,,,
sleep,003,106,sleep,26 - sleep,,,,,,,,
pip on/off,,,pip,35 - slow-,,,,,,,,
display,,,info,,,,,,,,,
pip swap,,,swap,44 - Tunning Mode,,,,,,,,
pip move,,,move,43 - FM Mode,,,,,,,,
play,167,154,play,27 - play,,,,,,,,
pause,171,154,pause,28 - pause,,,,,,,,
rewind,209,154,rewind,29 - rewind,,,,,,,,
fast fwd,205,154,fast fwd,30 - fast fwd,,,,,,,,
stop,164,154,stop,31 - stop,,,,,,,,
record,,,record,,,,,,,,,
