Name:,Yamaha AX-620,,,,v7.03,,,,,,,CURRENT DATA
Devices:,NEC1,122,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup,1176,06 = URC-7560,15 - Amp,EFC,USE,,,,,,,
Device Upgrade Code:,,,,Device Upgrade Code (cont'd):,,,,,,,,
Upgrade code 0 = 34 98 (Amp/1176),,,,,,,,,,,,
5A 00 FE 7C 94 81 00 A1 A1 1E 57 97 6C 7C D5 0F,,,,,,,,,,,,
D7 55 37 A7 27 C7 F7 77 07 95 F6 C6 E6 66 35 B5,,,,,,,,,,,,
E7 9E 5E BC 15,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
95 F3 34 98 EE 96 F3 34 98 6E 97 F3 34 98 AE 99,,,,,,,,,,,,
F3 34 98 2E 9A F3 34 98 CE 9B F3 34 98 4E 9C F3,,,,,,,,,,,,
34 98 8E 9D F3 34 98 0E 9E F3 34 98 F6,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,Key Move Code:,,,224,
Upgrade protocol 0 = 00 5A (S3C8+),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03,,,,,,,,,,,,
39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01,,,,,,,,,,,,
46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80,,,,,,,,,,,,
B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07,,,,,,,,,,,,
20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06,,,,,,,,,,,,
F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D,,,,,,,,,,,,
01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28,,,,,,,,,,,,
C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Functions,EFC,byte2,Buttons,Functions,Notes,Device Combiner,,kmFunctions,Bound Device,Bound Key,Shift,$-Functions
num 0,194,,0,00 - num 0,6 CH Input,Protocol ID,Fixed Data,,,,,
num 1,120,,1,01 - num 1,CD,,,,,,,27 - fav/scan
num 2,118,,2,02 - num 2,Tuner,,,,,,,28 - device button
num 3,049,,3,03 - num 3,MD/CD-R,,,,,,,29 - shift-up
num 4,177,,4,04 - num 4,DVD,,,,,,,30 - shift-down
