Name:,Sony SDP-E800 (remote RM-E800),,,,v8.07,,,,,,,CURRENT DATA
Devices:,Sony20,26,233,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,87,NO,,,,,,,
Setup:,1159,24 = URC-881x / 801x / 601x,12 - Misc Audio,EFC,USE,,,,,,,
URC-881x / 801x / 601x Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 24 87 (Misc Audio/1159),,,,,,,,,,,,
DE 00 EA 84 6F 58 97 00 F2 32 B2 42 64 E4 C2 2A 72 6A 48 C8 28 50 D0 9E D2 5E DE 1E AA EA 50 D0,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 3B F3 24 87 FC 18 F3 24 87 D2 20 F3 24 87 7C 3C F3 24 87 3C,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 DE (S3C8+),,,,,,,,,,,,
3A 8A 31 8B 14 F6 15 05 07 02 58 01 18 01 2C 01 18 57 D0 04 B0 01 18 08 03 76 06 01 6B 06 E6 28 F5 E6 01 02 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,229,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
Input - <,140,,0,13 - Level Rear -,,Protocol ID,Fixed Data,,,,,
Sound Field Off/On,173,,1,06 - Front Bal - L,,,,,,,,
Mode <,192,,2,07 - Front Bal - R,,,,,,,,
Mode >,188,,3,15 - Effect +,,,,,,,,
Mode ^,194,,4,08 - Rear Bal - L,,,,,,,,
Mode v,190,,5,25 - Rear Bal - R,,,,,,,,
Front Bal - L,163,,6,16 - Effect -,,,,,,,,
Front Bal - R,159,,7,09 - Level Center +,,,,,,,,
Rear Bal - L,241,,8,10 - Level Rear +,,,,,,,,
Level Center +,099,,9,11 - Level Sub Whoofer +,,,,,,,,
Level Rear +,161,,vol up,22 - Vol Up,,,,,,,,
Level Sub Whoofer +,097,,vol down,21 - Vol Down,,,,,,,,
Level Center -,095,,mute,23 - Mute,,,,,,,,
Level Rear -,157,,channel up,24 - Input - >,,,,,,,,
Level Sub Whoofer -,093,,channel down,00 - Input - <,,,,,,,,
Effect +,032,,power,,,,,,,,,
Effect -,028,,enter,12 - Level Center -,,,,,,,,
Test Tone,160,,tv/vid,14 - Level Sub Whoofer -,,,,,,,,
Genre,179,,prev,,,,,,,,,
Mode,177,,menu,,,,,,,,,
Display,156,,guide,20 - Display,,,,,,,,
Vol Down,076,,up arrow,04 - Mode ^,,,,,,,,
Vol Up,080,,down arrow,05 - Mode v,,,,,,,,
Mute,083,,left arrow,02 - Mode <,,,,,,,,
Input - >,144,,right arrow,03 - Mode >,,,,,,,,
Rear Bal - R,237,,select,,,,,,,,,
,,,sleep,,,,,,,,,
,,,pip,01 - Sound Field Off/On,,,,,,,,
,,,info,20 - Display,,,,,,,,
