Name:,RCVR-0695 - Sony STR-DE695,,,,v9.05,,,,,,,CURRENT DATA
Devices:,Sony12/15,48,176,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,57,NO,,,,,,,
Setup:,0695,99 = URC-9960 (OFA Kameleon),05 - Tuner,EFC5,USE,0C 0D C0,1,No,,,,
URC-9960 (OFA Kameleon) Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 62 B7 (Tuner/0695) RCVR-0695 - Sony STR-DE695 (KM v9.05),,,,,,,,,,,,
CA 09 7E F6 FE FE FE F9 0C 0D C0 48 C8 28 97 57 A8 8F 28 88 08 15 70 15 E3 0D D2 1F 9F 5F DF 83 93 C3 53 30 D2 EF 77 D5 35 B5 4E 44 78 42 BE 56 96 A4 84 B8,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 AA F3 62 B7 B2«Dimmer - rotate down»  ¦B2 F3 62 B7 06«Sleep»  ¦A7 F3 62 B7 33«Equalizer - on/off» ¦B9 F3 62 B7 F7«Sound Field - rotate -»¦B6 F3 62 B7 F0«Tuner - AM/FM toggle»  ¦EA F3 62 B7 63«SB Decoding»  ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 CA (S3C8+) Sony12/15 (KM v9.05),,,,,,,,,,,,
3A 8A 31 8B 14 F5 15 05 07 02 58 01 18 01 2C 01 18 57 D0 04 B0 01 18 00 03 08 05 76 06 01 6B 04 20 01 10 C0 10 C0 FB 03 E6 12 08 8D 01 49,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fNo,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
Video-1,00240,48,0,53 - Tuner-Alt-0/10,,Protocol ID,Fixed Data,,,,,
Video-2,00209,48,1,44 - Tuner-Alt-1,,,,,,,,
Video-3,00032,48,2,45 - Tuner-Alt-2,,,,,,,,
DVD,00191,48,3,46 - Tuner-Alt-3,,,,,,,,
TV/Sat,00128,48,4,47 - Tuner-Alt-4,{not with the model STR-DE695},,,,,,,
MD/Tape(1),00126,48,5,48 - Tuner-Alt-5,,,,,,,,
CD/SACD,00239,48,6,49 - Tuner-Alt-6,,,,,,,,
Tuner,00238,48,7,50 - Tuner-Alt-7,,,,,,,,
Phono,00242,48,8,51 - Tuner-Alt-8,{not with the model STR-DE695},,,,,,,
Aux,00207,48,9,52 - Tuner-Alt-9,,,,,,,,
Multi.Channel - toggle,00064,48,vol up,22 - Master Vol +,,,,,,,,
Input Mode (Auto/A/C/O),00042,176,vol down,23 - Master Vol -,,,,,,,,
2 CH,00022,176,mute,21 - Muting,,,,,,,,
A.F.D.(1),00021,176,channel up,70 - Input Mode - rotate +,,,,,,,,
Movie(1),00020,176,channel down,71 - Input Mode - rotate -,,,,,,,,
Music,00150,176,power,20 - Power,,,,,,,,
Test Tone,00152,176,enter,,,,,,,,,
