Name:,0715 Meridian,,,,v7.37,,,,,,,CURRENT DATA
Devices:,RC-5,19,119,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,86,NO,,,,,,,
Setup,0715,99 = URC-6131 PVR Extender,15 - Amp,OBC,USE,,,,,,,
Device Upgrade Code:,,,,Protocol Code:,,,,,,,,
Upgrade code 0 = 32 CB (Amp/0715),,,,Upgrade protocol 0 = 00 E8 (S3C8+),,,,,,,,
E8 00 FE C2 F4 30 E1 0C 4C 4C 00 51 4D 00 00 2D,,,,40 9A 31 8B 0F C5 81 10 08 06 01 C2 01 A4 01 C2,,,,,,,,
3D 00 35 31 BC B8 C8 BD B9 CC 28 3C 34 2C 24 38,,,,01 A4 DE 2C 08 06 56 C0 03 09 01 76 00 01 6B 09,,,,,,,,
BD B9 A9 A5 44 7C 78 89 15 D0,,,,87 10 03 B6 C1 20 97 10 03 8D 01 46,,,,,,,,
End,,,,End,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Key Move Code:,,,226,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
CD,107,1,0,,,Protocol ID,Fixed Data,,,,,
Radio,108,1,1,00 - CD,,,,,,,,
LP,114,1,2,01 - Radio,,,,,,,,
TV,115,1,3,,,,,,,,,
Tape 1,109,1,4,,,,,,,,,
Tape 2,110,1,5,08 - Text,,,,,,,,
CDR,117,1,6,09 - VCR 1,,,,,,,,
DVD,111,1,7,,,,,,,,,
Text,116,1,8,02 - LP,,,,,,,,
VCR 1,112,1,9,03 - TV,,,,,,,,
VCR 2,113,1,vol up,29 - Volume up,,,,,,,,
LD,076,0,vol down,38 - Volume down,,,,,,,,
1,001,0,mute,46 - mute,,,,,,,,
2,002,0,channel up,34 - Menu up,,,,,,,,
3,003,0,channel down,42 - Menu down,,,,,,,,
Previous,033,0,power,20 - Off,,,,,,,,
Play,053,0,enter,,,,,,,,,
Next,032,0,tv/vid,,,,,,,,,
Pause,048,0,prev,,,,,,,,,
Repeat,029,0,menu,,,,,,,,,
Off,012,0,guide,,,,,,,,,
4,004,0,up arrow,34 - Menu up,,,,,,,,
5,005,0,down arrow,42 - Menu down,,,,,,,,
6,006,0,left arrow,41 - Menu left,,,,,,,,
<<,050,0,right arrow,43 - Menu right,,,,,,,,
Stop,054,0,select,28 - Store,,,,,,,,
>>,052,0,angle/sleep,,,,,,,,,
Subtitle,040,0,pip,,,,,,,,,
Store,046,0,info,,,,,,,,,
Volume up,016,0,swap,,,,,,,,,
7,007,0,move,,,,,,,,,
8,008,0,play,16 - play,,,,,,,,
9,009,0,pause,18 - pause,,,,,,,,
Return,083,1,rewind,24 - <<,,,,,,,,
Menu up,080,1,fast fwd,26 - >>,,,,,,,,
Enter,087,1,stop,25 - stop,,,,,,,,
Menu,082,1,record,,,,,,,,,
Clear,049,0,exit,37 - Clear,,,,,,,,
Volume down,017,0,surround,,,,,,,,,
0,000,0,audio/CC,,,,,,,,,
Top menu,121,1,+100,,,,,,,,,
Menu left,085,1,fav/scan,,,,,,,,,
Menu down,081,1,device button,,,,,,,,,
Menu right,086,1,advance,45 - display,,,,,,,,
DSP,093,1,replay,47 - 2nd Display,,,,,,,,
Display,122,1,next track,17 - Next,,,,,,,,
Mute,013,0,prev track,15 - Previous,,,,,,,,
2nd Display,011,0,PVR menu,44 - DSP,,,,,,,,
shift Play,035,0,subtitle,,,,,,,,,
shift Pause,055,0,slow,,,,,,,,,
shift Repeat,059,0,thumbs up,,,,,,,,,
shift Off,060,0,thumbs down,,,,,,,,,
shift Stop,045,0,x2,,,,,,,,,
shift >>,010,0,center,,,,,,,,,
shift <<,068,0,rear,,,,,,,,,
shift subtitle,042,0,phantom1,,,,,,,,,
shift Previous,058,0,phantom2,,,,,,,,,
shift Next,051,0,phantom3,,,,,,,,,
shift Menu,069,0,phantom4,,,,,,,,,
shift Top menu,067,0,phantom5,,,,,,,,,
shift DSP,014,0,phantom6,,,,,,,,,
shift Volume Up,102,1,phantom7,,,,,,,,,
shift Volume down,103,1,phantom8,,,,,,,,,
shift Menu up,094,1,phantom9,,,,,,,,,
shift Menu down,095,1,phantom10,,,,,,,,,
shift Menu left,096,1,setup,,,,,,,,,
shift Menu right,097,1,light,,,,,,,,,
shift Clear,047,0,theater,,,,,,,,,
shift Store,041,0,macro1,,,,,,,,,
shift Display,011,0,macro2,,,,,,,,,
shift Mute,091,1,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Meridian 500 series (561_ 565_ etc)_ generated from RC5 codes,,,,,,,,,,,,,
found on www.remotecentral.com for Pronto.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
