Name:,Nakamichi RE-1 keymap-master Device Upgrade,,,,v8.11,,,,,,,CURRENT DATA
Devices:,NEC1,92,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,0114,01 = 15-1994,05 - Tuner,OBC,USE,,,,,,,
15-1994 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 40 72 (Tuner/0114),,,,,,,,,,,,
5A 00 F0 30 16 81 00 C5 C5 00 5D 6D 9D 00 1D ED AD 9F 1F BF 3F 7F B7 37 FF DF 5F 7D FD BD 3D,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 33 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 36 F6 01 33 37 01 03 46 29 0D 46 29 01 8D 01 36 E4 20 1E E4 21 1F 37 01 EB F6 01 36 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,214,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,,,0,,,Protocol ID,Fixed Data,,,,,
Input_CD,069,,1,00 - Input_CD,,,,,,,,
Input_Tape1,073,,2,01 - Input_Tape1,,,,,,,,
Input_Tuner,070,,3,02 - Input_Tuner,,,,,,,,
num 4,,,4,,,,,,,,,
Input_Video1,071,,5,03 - Input_Video1,,,,,,,,
Input_Video2,072,,6,04 - Input_Video2,,,,,,,,
Input_Tape2,074,,7,05 - Input_Tape2,,,,,,,,
AM,006,,8,06 - AM,,,,,,,,
FM,007,,9,07 - FM,,,,,,,,
Vol+,002,,vol up,08 - Vol+,,,,,,,,
Vol-,003,,vol down,09 - Vol-,,,,,,,,
Mute,001,,mute,10 - mute,,,,,,,,
Preset+,018,,channel up,11 - Preset+,,,,,,,,
Preset-,019,,channel down,12 - Preset-,,,,,,,,
Power,000,,power,13 - power,,,,,,,,
enter,,,enter,,,,,,,,,
tv/vcr,,,tv/vcr,,,,,,,,,
last (prev ch),,,last,,,,,,,,,
menu,,,menu,,,,,,,,,
program guide,,,program / guide,,,,,,,,,
Tune+,004,,up arrow,14 - Tune+,,,,,,,,
Tune-,005,,down arrow,15 - Tune-,,,,,,,,
left arrow,,,left arrow,,,,,,,,,
right arrow,,,right arrow,,,,,,,,,
select,,,select,,,,,,,,,
sleep,,,sleep,,,,,,,,,
pip on/off,,,pip,,,,,,,,,
display,,,display,,,,,,,,,
pip swap,,,swap,,,,,,,,,
pip move,,,move,,,,,,,,,
play,,,play,17 - Speakers_B,,,,,,,,
pause,,,pause,,,,,,,,,
rewind,,,rewind,16 - Speakers_A,,,,,,,,
fast fwd,,,fast fwd,18 - Speakers_A&B,,,,,,,,
stop,,,stop,19 - Speakers_Off,,,,,,,,
record,,,record,,,,,,,,,
exit,,,exit,,,,,,,,,
surround,,,surround,,,,,,,,,
input toggle,,,input,,,,,,,,,
+100,,,+100,,,,,,,,,
fav/scan,,,fav/scan,,,,,,,,,
device button,,,device button,,,,,,,,,
