Name:,Elan Z-630 Pre-Amp,,,,v8.34,,,,,,,CURRENT DATA
Devices:,RECS80 (90),0,0,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,36,NO,,,,,,,
Setup:,2000,24 = URC-881x / 801x / 601x,15 - Amp,OBC,USE,38,1,,,,,
URC-881x / 801x / 601x Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 27 D0 (Amp/2000) Elan Z-630 Pre-Amp (KM v8.34),,,,,,,,,,,,
90 00 F8 86 7F 38 00 DC D8 D4 D0 CC 5C 00 00 00 EC 6C F4 BC 3C 1C 64 60 E0 C0 E4 98 F0 9C B8 38,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,
Upgrade Protocol 0 = 00 90 (S3C8+) RECS80 (90) (KM v8.34),,,,,,,,,,,,
00 00 11 8B 18 C5 41 05 06 00 06 09 BF 00 06 0E AB EC 40 00 06 06 DB 00 06 0A 4F AC AA 76 03 01 6B 0A 1C 0A 87 21 1D 97 21 13 1A F8 08 00 E0 C0 E0 C0 60 C0 56 C0 C0 56 03 3F 44 C0 03 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
BASS-,038,,0,,,Protocol ID,Fixed Data,,,,,
BASS+,006,,1,07 - SRC 1,,,,,,,,
DND,003,,2,08 - SRC 2,,,,,,,,
ENH,025,,3,09 - SRC 3,,,,,,,,
EQ FLAT,015,,4,10 - SRC 4,,,,,,,,
LOUD,024,,5,11 - SRC 5,,,,,,,,
MUTE,002,,6,12 - SRC 6,,,,,,,,
SRC 1,008,,7,,,,,,,,,
SRC 2,009,,8,,,,,,,,,
SRC 3,010,,9,,,,,,,,,
SRC 4,011,,vol up,17 - VOL UP,,,,,,,,
SRC 5,012,,vol down,16 - VOL DN,,,,,,,,
SRC 6,040,,mute,06 - mute,,,,,,,,
SYS Off,056,,channel up,21 - Zone On,,,,,,,,
TREB-,039,,channel down,20 - Zone Off,,,,,,,,
TREB+,007,,power,13 - SYS Off,,,,,,,,
VOL DN,036,,enter,03 - ENH,,,,,,,,
VOL UP,004,,tv/vid,05 - LOUD,,,,,,,,
WHM Off,049,,prev,02 - DND,,,,,,,,
WHM ON,017,,menu,,,,,,,,,
Zone Off,048,,guide,,,,,,,,,
Zone On,016,,up arrow,01 - BASS+,,,,,,,,
,,,down arrow,00 - BASS-,,,,,,,,
,,,left arrow,14 - TREB-,,,,,,,,
,,,right arrow,15 - TREB+,,,,,,,,
,,,select,04 - EQ FLAT,,,,,,,,
,,,sleep,,,,,,,,,
,,,pip,,,,,,,,,
,,,info,,,,,,,,,
,,,swap,,,,,,,,,
,,,move,,,,,,,,,
,,,play,,,,,,,,,
,,,pause,,,,,,,,,
,,,rewind,,,,,,,,,
,,,fwd,,,,,,,,,
,,,stop,,,,,,,,,
,,,record,,,,,,,,,
,,,exit,,,,,,,,,
,,,surround,,,,,,,,,
,,,input,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav,,,,,,,,,
,,,device button,,,,,,,,,
,,,f fwd,19 - WHM ON,,,,,,,,
,,,f rew,18 - WHM Off,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,M4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
