Name:,Pioneer VSX-53TX Receiver,,,,v7.54,,,,,,,CURRENT DATA
Devices:,Pioneer 3DEV,165,170,164,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,2002,05 = RCU810,05 - Tuner,OBC,USE,,,,,,,
RCU810 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = A7 C1 (Tuner/2002),,,,,,,,,,,,
6A 00 F2 2E F1 A5 55 25 00 00 32 80 A1 80 E2 80 30 80 F0 80 70 80 EA 00 00 00 6A 00 50 80 D0 80 48 80 08 00 88 00 38 80 BA 92 D9 8D 21 80 BA 92 5A 9C 5A 82 EA 92 EA 82 AA 80,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 6A (S3C8+),,,,,,,,,,,,
3F 84 32 8B 12 E5 44 08 08 01 06 03 00 01 06 00 F2 D2 DC 10 13 08 51 08 07 37 0F 0B 37 0D 05 E4 05 03 8B 03 E4 04 03 08 07 90 C0 77 00 90 C0 77 00 90 C0 77 00 76 C0 FF 6B 1E 18 06 77 04 37 13 04 77 03 8B 02 77 02 37 10 04 77 01 8B 02 77 00 19 06 19 04 09 05 8B 06 E4 06 04 E4 06 05 E6 10 01 E6 11 02 F6 01 46 20 10 F6 01 46 00 10 F6 01 0A 7B F1 AF,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,214,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
DVD/LD,133,1,0,,,Protocol ID,Fixed Data,,,,,
VCR1/DVR,015,1,1,03 - CD,,,,,,,,
TUNER,071,1,2,00 - DVD/LD,,,,,,,,
CD,076,1,3,02 - TUNER,,,,,,,,
VCR2,014,1,4,05 - TV/SAT,,,,,,,,
TV/SAT,012,1,5,01 - VCR1/DVR,,,,,,,,
Tune Station -,087,3,6,04 - VCR2,,,,,,,,
Tune Station +,086,3,7,06 - Tune Station -,,,,,,,,
Volume +,010,1,8,,,,,,,,,
Volume -,011,1,9,07 - Tune Station +,,,,,,,,
Mute,018,1,vol up,08 - Volume +,,,,,,,,
Station Preset +,016,3,vol down,09 - Volume -,,,,,,,,
Station Preset Class A/B/C,017,3,mute,10 - Mute,,,,,,,,
Power On/Off,028,1,channel up,11 - Station Preset +,,,,,,,,
Menu/System Setup,155,1 214,channel down,12 - Station Preset Class A/B/C,,,,,,,,
Surround Movie,090,1 199,on/off,13 - Power On/Off,does not work in 3DEV - learn instead,,,,,,,
Surround Music,090,1 200,enter,,does not work in 3DEV - learn instead,,,,,,,
Surround Mode -,087,1 009,tv/vcr,,,,,,,,,
Surround Mode +,087,1 008,go back,21 - Return,,,,,,,,
Surround Enter,132,1,menu,14 - Menu/System Setup,,,,,,,,
Input Scroll,085,1,guide,,,,,,,,,
Return,093,1 009,up arrow,15 - Surround Movie,,,,,,,,
Power On (discrete),026,1,down arrow,16 - Surround Music,,,,,,,,
Power Off (discrete),027,1,left arrow,17 - Surround Mode -,,,,,,,,
Mute On (discrete),081,1,right arrow,18 - Surround Mode +,,,,,,,,
Mute Off (discrete),082,1,select,19 - Surround Enter,,,,,,,,
Band AM/FM,019,3,sleep,,,,,,,,,
,,,pip on/off,,,,,,,,,
,,,info,,,,,,,,,
,,,pip swap,,,,,,,,,
,,,pip move,,,,,,,,,
,,,play,,,,,,,,,
,,,pause,,,,,,,,,
,,,rewind,,,,,,,,,
,,,fast fwd,,,,,,,,,
,,,stop,,,,,,,,,
,,,record,,,,,,,,,
,,,clear,21 - Return,,,,,,,,
,,,surround,,,,,,,,,
,,,input,20 - Input Scroll,,,,,,,,
,,,+100,,,,,,,,,
,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,next track,,,,,,,,,
,,,prev track,,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
