Name:,Technics SH-AC500D,,,,v6.12,,CURRENT DATA
Devices:,Panasonic,160,18,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,
Setup,1521,01 = 15-1994,15 - Amp,EFC,USE,,
15-1994 Device Upgrade Code (34 bytes):,,,,,,,
Upgrade code 0 = 45 F1 (Amp/1521),,,,,,,
C9 00 B2 FE E1 B2 BF FB FA B7 90 AE 2E CE EE EA,,,,,,,
00 9B 00 1B DE 5E 83 B3 CA 8A EC 6C 7B FB 02 03,,,,,,,
2A 82,,,,,,,
End,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Protocol Code:,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Functions,EFC,byte2,Buttons,Functions,Notes,Device Combiner (max 16):,
power,024,,0,12 - test,,Protocol ID,Fixed Data
digital 1,063,,1,01 - digital 1,,,
digital 2,067,,2,02 - digital 2,,,
digital 3,060,,3,03 - digital 3,,,
surround,099,,4,40 - Line,,,
DTS,092,,5,07 - dr comp,,,
stereo,094,,6,,,,
dr comp,093,,7,08 - balance left,,,
balance left,214,,8,,,,
balance right,218,,9,09 - balance right,,,
volume -,217,,vol up,,,,
volume +,213,,vol down,,,,
test,142,,mute,,,,
level,030,,channel up,15 - level +,,,
level -,192,,channel down,14 - level -,,,
level +,188,,power,21 - power on,,,
delay,034,,enter,,,,
delay -,049,,tv/vcr,,,,
delay +,045,,last,19 - muting,,,
muting,151,,menu,05 - DTS,,,
dimmer,130,,program / guide,06 - stereo,,,
power on,022,,up arrow,18 - delay +,,,
power off,026,,down arrow,17 - delay -,,,
AC-3,098,,left arrow,10 - volume -,,,
Aux/CD,255,,right arrow,11 - volume +,,,
Center Down,050,,select,16 - delay,,,
Center Up,046,,sleep,22 - power off,,,
Channel Select,035,,pip,,,,
Cinema Re-EQ,097,,display,13 - level,,,
Dig Space On,149,,swap,,,,
Dig Space Pr,191,,move,,,,
Dolby Pro Logic,156,,play,,,,
Down,032,,pause,,,,
EQ Effect Down,049,,rewind,,,,
EQ Effect Up,045,,fast fwd,,,,
EQ On/Flat,149,,stop,,,,
EQ SFP,149,,record,,,,
EQ SFP,191,,exit,,,,
Game/VCR2,222,,surround,04 - surround,,,
Help,025,,input,,,,
Line,061,,+100,,,,
Preset-Fix/Ur,191,,fav/scan,,,,
Snd Field Press,149,,device button,,,,
Space,153,,shift-up,,,,
Surround Down,088,,shift-down,,,,
Surround Up,084,,shift-left,,,,
TV,252,,shift-right,,,,
Up,028,,pip freeze,,,,
VCR 1,254,,slow,,,,
Vid CD Power,128,,eject,,,,
,,,slow+,,,,
,,,slow-,,,,
,,,X2,,,,
,,,center,,,,
,,,rear,,,,
,,,Phantom1,,,,
,,,Phantom2,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
*** bottom ***,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Line Notes:,,,,Free-form Notes:,,,
This device code developed by Richard Webb.,,,,,,,
If you find errors or updates please forward them to Richard Webb,,,,,,,
at rlwebb@puc.edu.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,EOF Marker - DO NOT DELETE
