Name:,Kenwood 313,,,,v9.19,,,,,,,,CURRENT DATA
Devices:,NEC1,184,0,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,0313,18 = 15-2104,12 - Misc Audio,EFC,USE,20 E2 FF,1,No,,,,,
15-2104 Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 31 39 (Misc Audio/0313) Kenwood 313 (KM v9.19),,,,,,,,,,,,,
5A 00 70 02 91 20 E2 FF 26 A6 C6 66 CE 46 EF 2B 46,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v9.19),,,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
0,018,,0,,,Protocol ID,Fixed Data,,,,,,1F
1,129,,1,,,,,,,,,,15
2,126,,2,,,,,,,,,,16
3,124,,3,,,,,,,,,,17
4,128,,4,,,,,,,,,,19
5,181,,5,,,,,,,,,,1A
6,131,,6,,,,,,,,,,1B
7,018,,7,,,,,,,,,,1C
8,066,,8,,,,,,,,,,1D
9,018,,9,,,,,,,,,,1E
Vol UP,003,,vol up,10 - vol up,,,,,,,,,04
Vol DOWN,255,,vol down,11 - vol down,,,,,,,,,05
