Name:,Yamaha HTR-5650/5640 HTR Receiver,,,,v7.51,,,,,,,CURRENT DATA
Devices:,NEC1,122,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1176,99 = 15-2117 / 15-2116,05 - Tuner,EFC,USE,,,,,,,
15-2117 / 15-2116 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = A4 98 (Tuner/1176),,,,,,,,,,,,
5A 00 F0 00 61 00 A1 A1 B7 EE 6E AE 2E CE 4E 8E 0E F6 A7 27 C7 F7 77 47 35 B5,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 30 F3 A4 98 15 2A F3 A4 98 47 2B F3 A4 98 87 9F F3 A4 98 B7 95 F3 A4 98 57 96 F3 A4 98 97 97 F3 A4 98 E7 99 F3 A4 98 7C 9A F3 A4 98 55 9B F3 A4 98 0F 9C F3 A4 98 17,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,205,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
CD Input,120,,0,18 - Menu/(Presets A/B/C/D/E),,Protocol ID,Fixed Data,,,,,18 - Menu/(Presets A/B/C/D/E)
Tuner Input,118,,1,33 - Concert Hall,,,,,,,,00 - CD Input
VCR input,058,,2,37 - Jazz Club,,,,,,,,01 - Tuner Input
