Name:,AUDIO Technics SA-GX330,,,,v7.12c,,,,,,,CURRENT DATA
Devices:,Panasonic (old),9,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,66,NO,,,,,,,
Setup,0039,99 = 15-2117 / 15-2116,05 - Tuner,EFC,USE,,,,,,,
Device Upgrade Code:,,,FALSE,Protocol Code:,,,,,,,,
Upgrade code 0 = A0 27 (Tuner/0039),,,,Upgrade protocol 0 = 00 00 (S3C8+),,,,,,,,
00 03 70 06 61 B4 B4 B4 27 A7 E7 BB 3B 07 D7 7F,,,,28 60 31 8B 12 D5 45 05 06 01 A4 01 90 01 A4 04,,,,,,,,
DF 2F,,,,E2 C4 CC 06 90 06 7C 60 06 08 06 56 C0 03 09 01,,,,,,,,
End,,,,87 10 03 90 C1 97 10 03 8D 01 46,,,,,,,,
,,,,End,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Key Move Code:,,,205,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
0,214,,0,00 - 0,,Protocol ID,Fixed Data,,,,,
1,090,,1,01 - 1,,,,,,,,
2,086,,2,02 - 2,,,,,,,,
3,088,,3,03 - 3,,,,,,,,
4,084,,4,04 - 4,,,,,,,,
5,091,,5,05 - 5,,,,,,,,
6,087,,6,06 - 6,,,,,,,,
7,089,,7,07 - 7,,,,,,,,
8,085,,8,08 - 8,,,,,,,,
9,218,,9,09 - 9,,,,,,,,
Volume +,251,,vol up,10 - Volume +,,,,,,,,
Volume -,247,,vol down,11 - Volume -,,,,,,,,
Mute,245,,mute,12 - Mute,,,,,,,,
channel up,,,channel up,18 - Rear Vol +,,,,,,,,
channel down,,,channel down,19 - Rear Vol -,,,,,,,,
Power,250,,power,13 - Power,,,,,,,,
enter,,,enter,,,,,,,,,
tv/vcr,,,tv/video,,,,,,,,,
last (prev ch),,,last,,,,,,,,,
menu,,,menu,,,,,,,,,
program guide,,,guide,,,,,,,,,
up arrow,,,up arrow,15 - Source VCR1,,,,,,,,
down arrow,,,down arrow,,,,,,,,,
left arrow,,,left arrow,17 - Source CD,,,,,,,,
right arrow,,,right arrow,16 - Source VCR2,,,,,,,,
select,,,select,14 - Surround,,,,,,,,
sleep,,,sleep,,,,,,,,,
pip on/off,,,pip,,,,,,,,,
display,,,info,,,,,,,,,
pip swap,,,swap,,,,,,,,,
pip move,,,move,,,,,,,,,
play,,,play,,,,,,,,,
pause,,,pause,,,,,,,,,
rewind,,,rewind,,,,,,,,,
fast fwd,,,fast fwd,,,,,,,,,
stop,,,stop,,,,,,,,,
record,,,record,,,,,,,,,
exit,,,exit,,,,,,,,,
Surround,116,,surround,,,,,,,,,
input toggle,,,input,,,,,,,,,
+100,,,+100,,,,,,,,,
fav/scan,,,fav/scan,,,,,,,,,
device button,,,device button,,,,,,,,,
shift-up,,,shift-up,,,,,,,,,
shift-down,,,shift-down,,,,,,,,,
shift-left,,,shift-left,,,,,,,,,
shift-right,,,shift-right,,,,,,,,,
pip freeze,,,freeze,,,,,,,,,
slow,,,slow,,,,,,,,,
eject,,,eject,,,,,,,,,
slow+,,,slow+,,,,,,,,,
slow-,,,slow-,,,,,,,,,
X2,,,X2,,,,,,,,,
center,,,center,,,,,,,,,
rear,,,rear,,,,,,,,,
Source VCR1,185,,phantom1,,,,,,,,,
Source VCR2,059,,phantom2,,,,,,,,,
Source CD,180,,phantom3,,,,,,,,,
,182,,phantom4,,,,,,,,,
Rear Vol +,215,,phantom5,,,,,,,,,
Rear Vol -,219,,DiscreteON,,,,,,,,,
,,,DiscreteOFF,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,my system,,,,,,,,,
