Name:,Technics SA-GX770 Dolby,,,,v8.19,,,,,,,CURRENT DATA
Devices:,Panasonic,160,0,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,0039,02 = URC-7800 / 6800,15 - Amp,EFC,USE,FA BF FB FA FF,1,,,,,
URC-7800 / 6800 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 40 27 (Amp/0039),,,,,,,,,,,,
C9 00 48 0A 42 E1 FA BF FB FA FF FB 7B B3 43 06 86 F3 8C 0C 4B CB,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 26 F3 40 27 B6 27 F3 40 27 D6 2F F3 40 27 86 30 F3 40 27 06 35 F3 40 27 B6 36 F3 40 27 D6 A5 F3 40 27 32,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 C9 (S3C8),,,,,,,,,,,,
45 91 51 8B 12 8F 44 08 08 00 DA 00 C6 00 DA 02 7B 90 C9 06 D0 03 54 E6 0C E8 60 03 20 01 E4 08 09 B4 03 09 20 10 F6 01 33 F6 01 0A FB 0D 00 0C EB F4 C6 3E 00 00 B0 4A F6 01 0A AF,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,230,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,249,,0,,,Protocol ID,Fixed Data,,,,,
num 1,117,,1,,,,,,,,,
num 2,121,,2,,,,,,,,,
num 3,119,,3,,,,,,,,,
num 4,123,,4,,,,,,,,,
num 5,116,,5,,,,,,,,,
num 6,120,,6,,,,,,,,,
num 7,118,,7,,,,,,,,,
num 8,122,,8,,,,,,,,,
num 9,245,,9,,,,,,,,,
vol up,213,,vol up,10 - vol up,,,,,,,,
vol down,217,,vol down,11 - vol down,,,,,,,,
mute,151,,mute,12 - mute,,,,,,,,
channel up,148,,channel up,,,,,,,,,
channel down,152,,channel down,,,,,,,,,
power,024,,power,15 - power,,,,,,,,
menu,,,enter,24 - select VCR2,,,,,,,,
