Name:,Luxman R117,,,,v9.21,,,,,,,,CURRENT DATA
Devices:,NEC1,204,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,2012,99 = URC-8820N / 10820N / 6820N,15 - Amp,OBC,USE,00 CC CC,1,No,,,,,
URC-8820N / 10820N / 6820N Device Upgrade/Key Move Code:,,,,,,,,,,,,,
Upgrade Code2 0 = 57 DC (Amp/2012) Luxman R117 (KM v9.21),,,,,,,,,,,,,
00 5A 00 E0 00 02 E1 00 CC CC 00 DD 9D 3D BD 7D FD D5 4D 8D 45 C5 00 37 D7 8F 0F 37 D7,,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,,
 3B F0 04 57 DC 65 E9«discrete on»  ¦3F F0 04 57 DC 05 EA«discrete off» ,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (HCS08) NEC1 (KM v9.21),,,,,,,,,,,,,
20 15 22 47 31 CF 44 08 08 01 17 01 1A 01 17 03 4D D2 F0 11 93 08 CA 3C AC 05 60 1D CD FF 98 24 18 0A 60 07 4E 62 61 33 62 20 16 B6 61 A8 80 B7 61 B6 62 A8 80 B7 62 20 08 0A 60 05 4E 61 62 33 62 4E 63 64 33 64 6E 02 AA 07 60 05 CD FF 8F 25 10 08 60 12 03 60 05 AD 0A CD FF 5F 00 60 02 16 A3 10 A3 CC FF 5C 55 78 35 76 00 60 F4 AD F4 6E C1 A2 33 61 6E 01 6A 20,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,477,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,,,0,,,Protocol ID,Fixed Data,,,,,,1F
num 1,,,1,00 - fm,,,,,,,,,15
num 2,,,2,01 - am,,,,,,,,,16
num 3,,,3,04 - tape-1 Satellite radio,,,,,,,,,17
num 4,,,4,05 - tape-2 audio from cable,,,,,,,,,19
num 5,,,5,06 - phono,,,,,,,,,1A
num 6,,,6,07 - cd,,,,,,,,,1B
num 7,,,7,08 - video disc iPod dock,,,,,,,,,1C
